domain,split_scope,method,samples,HR@10,NDCG@10,MRR,parse_success_rate,coverage@10,head_exposure_ratio@10,longtail_coverage@10,domain_winner,role,source_file
beauty,full973,direct,973,1.0,0.6140307799644382,0.4899990211912103,0.9948612538540597,1.0042625745950555,0.21657707646956822,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_local_rank_full973/tables/ranking_metrics.csv
beauty,full973,structured_risk,973,1.0,0.6140777971356092,0.4900479616306954,0.9948612538540597,1.0,0.2144570058239123,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_local_structured_risk_full973/tables/rerank_results.csv
beauty,full973,SRPD-v1,973,1.0,0.6261187576622534,0.5064576909900651,1.0,1.0,0.2144570058239123,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v1_full973/tables/ranking_metrics.csv
beauty,full973,SRPD-v2,973,1.0,0.6353658182685563,0.518448098663926,0.998972250770812,1.000852514919011,0.2144570058239123,1.0,yes,domain_winner,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v2_full973/tables/ranking_metrics.csv
beauty,full973,SRPD-v3,973,1.0,0.623807033106589,0.503357314148681,0.998972250770812,1.000852514919011,0.21449374678773342,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v3_full973/tables/ranking_metrics.csv
beauty,full973,SRPD-v4,973,1.0,0.6257765233847018,0.5061322370674889,1.0,1.0,0.21449374678773342,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v4_full973/tables/ranking_metrics.csv
beauty,full973,SRPD-v5,973,1.0,0.6249916383815426,0.5051901336073998,1.0,1.0,0.21432242590371767,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v5_full973/tables/ranking_metrics.csv
books,small500,direct,500,1.0,0.6398271002354915,0.5239000000000001,0.998,0.9989994997498749,0.2063439065108514,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_local_rank_small500/tables/ranking_metrics.csv
books,small500,structured_risk,500,1.0,0.6395142413461731,0.5235,0.998,1.0,0.206,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_local_structured_risk_small500/tables/rerank_results.csv
books,small500,SRPD-v2,500,1.0,0.7057074243106245,0.6117666666666667,0.998,1.0,0.206,0.9987261146496815,yes,domain_winner,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_rank_srpd_v2_small500/tables/ranking_metrics.csv
books,small500,SRPD-v4,500,1.0,0.6987160482239136,0.6024666666666667,1.0,0.9994997498749375,0.20613742494996665,0.9987261146496815,no,,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_rank_srpd_v4_small500/tables/ranking_metrics.csv
books,small500,SRPD-v5,500,1.0,0.6973998951450392,0.6008000000000001,1.0,0.9984992496248124,0.20627503337783712,0.9961783439490446,no,,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_rank_srpd_v5_small500/tables/ranking_metrics.csv
electronics,small500,direct,500,1.0,0.6583007651522705,0.5471666666666666,1.0,1.0,0.22866666666666666,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_local_rank_small500/tables/ranking_metrics.csv
electronics,small500,structured_risk,500,1.0,0.6583007651522705,0.5471666666666666,1.0,1.0,0.22866666666666666,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_local_structured_risk_small500/tables/rerank_results.csv
electronics,small500,SRPD-v2,500,1.0,0.6429579068580471,0.5278333333333333,0.998,0.9465731246627092,0.2333577176298464,0.9335180055401662,no,,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_rank_srpd_v2_small500/tables/ranking_metrics.csv
electronics,small500,SRPD-v4,500,1.0,0.6594050381443246,0.5492333333333334,1.0,1.0,0.22866666666666666,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_rank_srpd_v4_small500/tables/ranking_metrics.csv
electronics,small500,SRPD-v5,500,1.0,0.6621001800786173,0.5528333333333333,1.0,1.0,0.22840946982327442,1.0,yes,domain_winner,server_sync/week7_20260421/week7_7_four_domain_final/electronics_qwen3_rank_srpd_v5_small500/tables/ranking_metrics.csv
movies,small500,direct,500,1.0,0.5730601060765828,0.43896666666666667,0.992,1.001034661148474,0.20927903871829107,0.9974259974259975,no,,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_local_rank_small500/tables/ranking_metrics.csv
movies,small500,structured_risk,500,1.0,0.5731826885570888,0.43910000000000005,0.992,1.0,0.209,1.0,yes,domain_winner,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_local_structured_risk_small500/tables/rerank_results.csv
movies,small500,SRPD-v2,500,1.0,0.5373477157607484,0.39223333333333327,0.998,0.999482669425763,0.2092092092092092,0.9987129987129987,no,,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_rank_srpd_v2_small500/tables/ranking_metrics.csv
movies,small500,SRPD-v4,500,1.0,0.546388555376638,0.40436666666666665,1.0,1.0,0.209,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_rank_srpd_v4_small500/tables/ranking_metrics.csv
movies,small500,SRPD-v5,500,1.0,0.5433505118993123,0.40020000000000006,1.0,1.0,0.209,1.0,no,,server_sync/week7_20260421/week7_7_four_domain_final/movies_qwen3_rank_srpd_v5_small500/tables/ranking_metrics.csv
