dataset_version,split,position,positive_count,positive_rate,num_users,candidate_pool_size_mean
old_listwise_json_strict,train,1,96,0.15434083601286175,622,6
old_listwise_json_strict,train,2,108,0.17363344051446947,622,6
old_listwise_json_strict,train,3,95,0.1527331189710611,622,6
old_listwise_json_strict,train,4,111,0.17845659163987138,622,6
old_listwise_json_strict,train,5,114,0.1832797427652733,622,6
old_listwise_json_strict,train,6,98,0.15755627009646303,622,6
shuffled_listwise_seed42,train,1,99,0.15916398713826366,622,6
shuffled_listwise_seed42,train,2,109,0.1752411575562701,622,6
shuffled_listwise_seed42,train,3,96,0.15434083601286175,622,6
shuffled_listwise_seed42,train,4,120,0.19292604501607716,622,6
shuffled_listwise_seed42,train,5,110,0.17684887459807075,622,6
shuffled_listwise_seed42,train,6,88,0.1414790996784566,622,6
old_pointwise,train,1,622,1.0,622,6
old_pointwise,train,2,0,0.0,622,6
old_pointwise,train,3,0,0.0,622,6
old_pointwise,train,4,0,0.0,622,6
old_pointwise,train,5,0,0.0,622,6
old_pointwise,train,6,0,0.0,622,6
shuffled_pointwise_seed42,train,1,99,0.15916398713826366,622,6
shuffled_pointwise_seed42,train,2,109,0.1752411575562701,622,6
shuffled_pointwise_seed42,train,3,96,0.15434083601286175,622,6
shuffled_pointwise_seed42,train,4,120,0.19292604501607716,622,6
shuffled_pointwise_seed42,train,5,110,0.17684887459807075,622,6
shuffled_pointwise_seed42,train,6,88,0.1414790996784566,622,6
old_listwise_json_strict,valid,1,102,0.1639871382636656,622,6
old_listwise_json_strict,valid,2,99,0.15916398713826366,622,6
old_listwise_json_strict,valid,3,84,0.13504823151125403,622,6
old_listwise_json_strict,valid,4,109,0.1752411575562701,622,6
old_listwise_json_strict,valid,5,119,0.19131832797427653,622,6
old_listwise_json_strict,valid,6,109,0.1752411575562701,622,6
shuffled_listwise_seed42,valid,1,82,0.13183279742765272,622,6
shuffled_listwise_seed42,valid,2,119,0.19131832797427653,622,6
shuffled_listwise_seed42,valid,3,100,0.1607717041800643,622,6
shuffled_listwise_seed42,valid,4,111,0.17845659163987138,622,6
shuffled_listwise_seed42,valid,5,105,0.16881028938906753,622,6
shuffled_listwise_seed42,valid,6,105,0.16881028938906753,622,6
old_pointwise,valid,1,622,1.0,622,6
old_pointwise,valid,2,0,0.0,622,6
old_pointwise,valid,3,0,0.0,622,6
old_pointwise,valid,4,0,0.0,622,6
old_pointwise,valid,5,0,0.0,622,6
old_pointwise,valid,6,0,0.0,622,6
shuffled_pointwise_seed42,valid,1,82,0.13183279742765272,622,6
shuffled_pointwise_seed42,valid,2,119,0.19131832797427653,622,6
shuffled_pointwise_seed42,valid,3,100,0.1607717041800643,622,6
shuffled_pointwise_seed42,valid,4,111,0.17845659163987138,622,6
shuffled_pointwise_seed42,valid,5,105,0.16881028938906753,622,6
shuffled_pointwise_seed42,valid,6,105,0.16881028938906753,622,6
old_listwise_json_strict,test,1,87,0.13987138263665594,622,6
old_listwise_json_strict,test,2,99,0.15916398713826366,622,6
old_listwise_json_strict,test,3,131,0.21061093247588425,622,6
old_listwise_json_strict,test,4,89,0.14308681672025725,622,6
old_listwise_json_strict,test,5,107,0.1720257234726688,622,6
old_listwise_json_strict,test,6,109,0.1752411575562701,622,6
shuffled_listwise_seed42,test,1,104,0.16720257234726688,622,6
shuffled_listwise_seed42,test,2,109,0.1752411575562701,622,6
shuffled_listwise_seed42,test,3,105,0.16881028938906753,622,6
shuffled_listwise_seed42,test,4,93,0.1495176848874598,622,6
shuffled_listwise_seed42,test,5,117,0.18810289389067525,622,6
shuffled_listwise_seed42,test,6,94,0.15112540192926044,622,6
old_pointwise,test,1,622,1.0,622,6
old_pointwise,test,2,0,0.0,622,6
old_pointwise,test,3,0,0.0,622,6
old_pointwise,test,4,0,0.0,622,6
old_pointwise,test,5,0,0.0,622,6
old_pointwise,test,6,0,0.0,622,6
shuffled_pointwise_seed42,test,1,104,0.16720257234726688,622,6
shuffled_pointwise_seed42,test,2,109,0.1752411575562701,622,6
shuffled_pointwise_seed42,test,3,105,0.16881028938906753,622,6
shuffled_pointwise_seed42,test,4,93,0.1495176848874598,622,6
shuffled_pointwise_seed42,test,5,117,0.18810289389067525,622,6
shuffled_pointwise_seed42,test,6,94,0.15112540192926044,622,6
