domain,strategy,min_user_interactions,min_item_interactions,is_iterative_kcore,users_after_filter,items_after_filter,interactions_after_filter,avg_user_interactions,median_user_interactions,avg_item_interactions,median_item_interactions,would_sample_to_10000,recommended,reason
beauty,user_min4,4,0,False,622,1158,5473,8.79903536977492,6.0,4.726252158894646,,False,True,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
beauty,user_min5,5,0,False,438,1119,4737,10.815068493150685,8.0,4.233243967828418,,False,False,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
beauty,5-core,5,5,True,23,35,137,36.34782608695652,32.0,3.914285714285714,,False,False,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
books,user_min4,4,0,False,1104817,961971,10622235,9.614474614347897,6.0,11.042157196006949,,True,True,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
books,user_min5,5,0,False,779589,954647,9321323,11.956714371290513,7.0,9.76415680350957,,True,False,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
books,5-core,5,5,True,603543,395508,7112351,13.780968381706026,8.0,17.98282462048808,,True,False,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
electronics,user_min4,4,0,False,1852743,532141,14042513,7.57930970458396,5.0,26.38870712837387,,True,True,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
electronics,user_min5,5,0,False,1251322,526404,11636829,9.299627913518663,7.0,22.106270089133062,,True,False,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
electronics,5-core,5,5,True,1148006,284211,10588011,9.672891953526376,7.0,37.2540506876933,,True,False,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
movies,user_min4,4,0,False,754113,257884,6633083,8.795874093139888,6.0,25.721188596423197,,True,True,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
movies,user_min5,5,0,False,527705,256969,5727451,10.853509062828664,7.0,22.28849005132915,,True,False,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
movies,5-core,5,5,True,497449,153977,5314347,11.191979479303406,7.0,34.513901426836476,,True,False,"Recommended first foundation: closest to leave-one-out CEP schema, preserves enough users, and avoids over-filtering long-tail items."
