overlap_type,num_overlap,rate,examples_path,status
candidate_item_id:train_vs_valid,1020,0.9586466165413534,data_done\framework_day95_pointwise_overlap_examples.jsonl,pass
candidate_item_id:train_vs_test,1028,0.9661654135338346,data_done\framework_day95_pointwise_overlap_examples.jsonl,pass
candidate_item_id:valid_vs_test,1039,0.9532110091743119,data_done\framework_day95_pointwise_overlap_examples.jsonl,pass
history_signature_candidate:train_vs_valid,1,0.00026838432635534085,data_done\framework_day95_pointwise_overlap_examples.jsonl,needs_review
history_signature_candidate:train_vs_test,1,0.00026838432635534085,data_done\framework_day95_pointwise_overlap_examples.jsonl,needs_review
history_signature_candidate:valid_vs_test,18,0.004828326180257511,data_done\framework_day95_pointwise_overlap_examples.jsonl,needs_review
sample_id:train_vs_valid,0,0.0,,pass
sample_id:train_vs_test,0,0.0,,pass
sample_id:valid_vs_test,0,0.0,,pass
user_id_candidate_item_id,NA,NA,,not_applicable_user_id_missing_in_data_done_lora_pointwise
