method,split,num_users,num_rows,AUROC,ECE,Brier,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,recommend_true_rate,score_mean,score_std,unique_count,notes
logit_ptrue,valid,100,600,0.63432,0.07583659508147707,0.13961219268928374,0.6683287172408652,0.5619999999999999,0.36,0.68,0.5435673556428624,0.618459711045742,1.0,6,True,0.07333333333333333,0.15724725180502463,0.19489182201235702,600,same Day1f user subset
calibrated_logit_ptrue,valid,100,600,0.63432,0.011266129603308906,0.12946116743123723,0.6683287172408652,0.5619999999999999,0.36,0.68,0.5435673556428624,0.618459711045742,1.0,6,True,0.025,0.1666700917994696,0.09548153013510431,600,same Day1f user subset
self_consistency_true_frequency,valid,100,600,0.58676,0.15533333333333335,0.15853333333333333,0.6260673509456087,0.5072416666666667,0.30166666666666664,0.5945,0.46741729361071854,0.5779200128215077,1.0,6,True,0.06166666666666667,0.066,0.2225099248722777,5,same Day1f user subset
calibrated_self_consistency,valid,100,600,0.58676,0.00384181968966824,0.1307008751231328,0.6260673509456087,0.5072416666666667,0.30166666666666664,0.5945,0.46741729361071854,0.5779200128215077,1.0,6,True,0.043333333333333335,0.16666671034835173,0.0892411433007267,5,same Day1f user subset
random,valid,100,600,NA,NA,NA,0.5507777176645691,0.4083333333333333,0.16666666666666666,0.5,0.35515495892857624,0.4914098531465654,1.0,,,NA,NA,NA,NA,expected random ranking baseline
oracle,valid,100,600,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,True,NA,NA,NA,NA,oracle ranking upper bound
logit_ptrue,test,100,600,0.57436,0.10728145301678169,0.15502987394868592,0.6061429379369933,0.48083333333333333,0.26,0.58,0.4422580581071478,0.5562739317418701,1.0,6,True,0.075,0.15997226178723697,0.19479169670986482,600,same Day1f user subset
calibrated_logit_ptrue,test,100,600,0.57436,0.024757948014260508,0.1369644839583818,0.6061429379369933,0.48083333333333333,0.26,0.58,0.4422580581071478,0.5562739317418701,1.0,6,True,0.023333333333333334,0.16774034549798228,0.09461901136569392,600,same Day1f user subset
self_consistency_true_frequency,test,100,600,0.53713,0.17099999999999999,0.1706,0.5881358602526113,0.45764166666666667,0.23833333333333334,0.5385,0.4075760539392899,0.533339321302494,1.0,6,True,0.05,0.05633333333333333,0.19517485038350157,6,same Day1f user subset
calibrated_self_consistency,test,100,600,0.53713,0.023258808800338867,0.13712106600435617,0.5881358602526113,0.45764166666666667,0.23833333333333334,0.5385,0.4075760539392899,0.533339321302494,1.0,6,True,0.028333333333333332,0.1622285983525181,0.07694427342609769,6,same Day1f user subset
random,test,100,600,NA,NA,NA,0.5507777176645691,0.4083333333333333,0.16666666666666666,0.5,0.35515495892857624,0.4914098531465654,1.0,,,NA,NA,NA,NA,expected random ranking baseline
oracle,test,100,600,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,True,NA,NA,NA,NA,oracle ranking upper bound
