split,field,count,mean,std,min,q05,q25,q50,q75,q95,max,near_zero_rate,near_one_rate
valid,relevance_probability,1000,0.4180500000000001,0.21891921597503297,0.05,0.15,0.25,0.35000000000000003,0.65,0.75,0.9500000000000001,0.004,0.002
valid,positive_evidence,1000,0.38989999999999997,0.25400296751712864,0.05,0.1,0.2,0.30000000000000004,0.7000000000000001,0.8,0.9500000000000001,0.004,0.002
valid,negative_evidence,1000,0.47880000000000006,0.18748522797999503,0.05,0.2,0.30000000000000004,0.5,0.7000000000000001,0.7000000000000001,0.9500000000000001,0.002,0.004
valid,abs_evidence_margin,1000,0.40149999999999963,0.19293774896316948,0.0,0.099999999999999,0.2,0.399999999999999,0.6000000000000001,0.7000000000000001,0.899999999999999,0.001,0.0
valid,ambiguity,1000,0.30035,0.11822163022837173,0.05,0.1,0.2,0.30000000000000004,0.4,0.5,0.8,0.001,0.0
valid,missing_information,1000,0.3898500000000001,0.1283976770173957,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.9,0.0,0.0
valid,evidence_risk,1000,0.4295666666666663,0.12846349928452908,0.08333333333333301,0.23333333333333303,0.33333333333333304,0.4,0.533333333333333,0.6666666666666661,0.9,0.0,0.0
test,relevance_probability,1000,0.42501000000000005,0.21776046362808732,0.05,0.15,0.25,0.35000000000000003,0.65,0.75,0.85,0.003,0.0
test,positive_evidence,1000,0.39770000000000005,0.2534639105552386,0.05,0.1,0.2,0.30000000000000004,0.7000000000000001,0.8,0.9,0.003,0.0
test,negative_evidence,1000,0.47270000000000006,0.1848617967127981,0.1,0.2,0.30000000000000004,0.5,0.6000000000000001,0.7000000000000001,0.9500000000000001,0.0,0.003
test,abs_evidence_margin,1000,0.3975999999999997,0.18870572288579351,0.099999999999999,0.099999999999999,0.2,0.399999999999999,0.6000000000000001,0.7000000000000001,0.899999999999999,0.0,0.0
test,ambiguity,1000,0.30100000000000005,0.11485726878257291,0.1,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.0,0.0
test,missing_information,1000,0.3906,0.12612512655116567,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.0,0.0
test,evidence_risk,1000,0.431333333333333,0.12467910094135613,0.133333333333333,0.23333333333333303,0.33333333333333304,0.433333333333333,0.533333333333333,0.6666666666666661,0.7333333333333331,0.0,0.0
