case_type,user_id,candidate_item_id,label,relevance_probability,calibrated_relevance_probability,positive_evidence,negative_evidence,abs_evidence_margin,ambiguity,missing_information,evidence_risk,old_rank,new_rank,rank_delta,candidate_title_or_text,reason
promoted,AEFMCBLYNEBUKFSKBXOBRV7QFRLA,B0B8NLVLPD,0,0.15,0.10493827160000001,0.1,0.8,0.7000000000000001,0.1,0.30000000000000004,0.2333333333,6,1,5,10 Pairs D Curl Fake Eyelashes Russian Strip Lashes False Eyelashes Faux Mink Lashes Natural Wispy Fluffy Russian Eyelashes reusable eyelashes (left.14-middle.16mm-right.8 -dense c,"The user history shows gaming headphones and a bronzer duo, neither of which relates to false eyelashes."
promoted,AEO2PYOMD4VBHU7ILLWBCUJNC5UA,B08S2LYN64,0,0.15,0.1144578313,0.1,0.8,0.7000000000000001,0.1,0.4,0.2666666667,6,1,5,Long Black Wavy Wig with Bangs for Women Synthetic Wigs Natural Looking Realistic Wigs Hair for Daily Party Cosplay Use,"The user's history shows interest in dental care products, which is unrelated to wigs or cosplay items."
promoted,AEYERBW72D3BWUI4EVNBONPQWQYQ,B08K8P7LN6,0,0.15,0.10493827160000001,0.1,0.8,0.7000000000000001,0.1,0.30000000000000004,0.2333333333,6,2,4,ROSEGIN 23 Pcs Gel Nail Polish Set with Glossy and Matte Top and Base Coat Soak Off Gel Polish Colors Pink Red Green Neon Long Lasting Nail Gel Polish,"The user interacted with a hair clipper, which is a grooming tool for hair, while the candidate is nail polish, a completely different product category with no clear overlap in user interest."
promoted,AFOZ2MWPNNC7TZSCT5KLE7USLCFQ,B09492T3QR,1,0.15,0.10493827160000001,0.1,0.8,0.7000000000000001,0.1,0.30000000000000004,0.2333333333,6,2,4,"BooYoor 6 Packs Butterfly Locs Crochet Hair 12 Inch Handmade Butterfly Faux Locs Crochet Hair Pre Looped Distressed Locs Crochet Braids (12Strands/Pack,1B#)","The user's interest in a bath tub pillow does not align with crochet hair extensions, indicating a different product category."
promoted,AEBD4EQFW4THUDUVAETCYTEDJU6Q,B09G22586Y,0,0.15,0.1144578313,0.1,0.8,0.7000000000000001,0.1,0.4,0.2666666667,6,2,4,"Automatic Curling Iron, Rechargeable Cordless Hair Curler with LCD Digital Display and 6 Temperature Settings, Fast Heating Portable Automatic Hair Curler for Styling Hair Anytime ","The user's history shows interest in Halloween costumes and rocker accessories, while the candidate is a hair styling tool with no thematic or functional overlap."
promoted,AE22XHMBOBJBXUFCTNYLFMD4UKMA,B08CXWTK1G,0,0.15,0.10493827160000001,0.1,0.7000000000000001,0.6000000000000001,0.2,0.5,0.36666666670000003,6,2,4,Women's Pleated Scarves Pashmina Shawl Wraps for Wedding Bride Bridesmaid Gifts (Black),"User history shows skincare interest, but candidate is a fashion accessory with no topical or functional overlap."
promoted,AFJCRMSGWYMAVOASYUUBR63OTLQQ,B09NKFQL53,0,0.15,0.10493827160000001,0.1,0.7000000000000001,0.6000000000000001,0.2,0.5,0.36666666670000003,6,2,4,8PC Lazy Bird's Nest Plate Hairpin Velvet Bird Nest Shaped Hair Clips Expandable Ponytail Holder Hair Loops Nest Plate Hairpin Hair Claw Clip barrette,"The user's history shows nail polish remover, while the candidate is hair accessories with no clear topical overlap."
promoted,AHLQVJPH73V2UVWJCRLAXXFKOGLQ,B09HGVRZCS,0,0.65,0.192139738,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.2,0.4,6,2,4,"Magnetic Eyelashes with Eyeliner, 10 Pairs Magnetic Eyelash Natural Look, Upgraded 3D False Lashes Magnetic Eyeliner Kit with Tweezers and 2pcs Magnetic Eyeliner, Reusable, No Glue","User has shown interest in beauty and makeup accessories, and magnetic eyelashes align with that category."
promoted,AH5BEMAKZE5RJ3JSHUYOJ7S2WKBA,B08T7GPT1D,0,0.15,0.10493827160000001,0.1,0.8,0.7000000000000001,0.1,0.2,0.2,6,3,3,"Florona Hibiscus Air Freshener Room Spray for Deep Sleep 100 ml - Pure & Unrefined Pillow Mist & Linen Spray (Hibiscus,100 ml)","User history focuses on cosmetics, nail care, and beauty tools, while the candidate is a home air freshener with no clear topical overlap."
promoted,AEPXJ6OJS6CTQSLIARWD77LD74GQ,B08JP74M51,0,0.15,0.10493827160000001,0.1,0.8,0.7000000000000001,0.1,0.30000000000000004,0.2333333333,6,3,3,"Bold Men, Mens Hair Gel""Casual Hold"" 100ml, Mens Styling Gel","The user's history shows a facial cleanser for sensitive skin, while the candidate is a men's hair gel, indicating a different product category and use case."
