method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
A_Backbone_only,llmesr_gru4rec,0.0,1.0,0.0,minmax,1.0,0.5201127387566313,0.36833333333333335,1.0,0.0,0.0,0.9999999999999999,0.019216554446559255,0.0,0.0
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,minmax,1.0,0.5574929068011015,0.4146666666666667,1.0,0.6666666666666665,0.97,0.5413333333333333,0.019216554446559255,0.07186935688948957,0.1257918552036199
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,minmax,1.0,0.5383465105061238,0.392,1.0,0.40333333333333327,0.85,0.7839999999999999,0.019216554446559255,0.03505734505384675,0.06425339366515838
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,minmax,1.0,0.528647551717938,0.3791666666666667,1.0,0.215,0.51,0.9013333333333332,0.019216554446559255,0.016409544172499527,0.02941176470588243
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.0,1.0,0.0,minmax,1.0,0.5201127387566313,0.36833333333333335,1.0,0.0,0.0,0.9999999999999999,0.019216554446559255,0.0,0.0
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.5,0.5,minmax,1.0,0.5574929068011015,0.4146666666666667,1.0,0.6666666666666665,0.97,0.5413333333333333,0.019216554446559255,0.07186935688948957,0.1257918552036199
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.75,0.25,minmax,1.0,0.5383465105061238,0.392,1.0,0.40333333333333327,0.85,0.7839999999999999,0.019216554446559255,0.03505734505384675,0.06425339366515838
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.9,0.09999999999999998,minmax,1.0,0.528647551717938,0.3791666666666667,1.0,0.215,0.51,0.9013333333333332,0.019216554446559255,0.016409544172499527,0.02941176470588243
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,minmax,1.0,0.523169571336449,0.37216666666666676,1.0,0.07666666666666666,0.22,0.969333333333333,0.019216554446559255,0.0058772499730064135,0.010407239819004734
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,minmax,1.0,0.5596942218460795,0.41800000000000004,1.0,0.67,0.96,0.5293333333333333,0.019216554446559255,0.07610173745036647,0.1348416289592761
