method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
A_Backbone_only,llmesr_gru4rec,0.0,1.0,0.0,minmax,1.0,0.5328790438643841,0.3846865364850976,1.0,0.0,0.0,0.9999999999999998,-0.005412980508617966,0.0,0.0
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,minmax,1.0,0.5907596392554791,0.46032887975334025,1.0,0.6334361082562521,0.9486125385405961,0.5362795477903392,-0.005412980508617966,0.10861863692621666,0.19663371627037166
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,minmax,1.0,0.5511413808412485,0.40866735183281944,1.0,0.3672490578965399,0.775950668036999,0.811716341212744,-0.005412980508617966,0.03427107368386608,0.06233858758571561
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,minmax,1.0,0.5412954637049827,0.3957862281603289,1.0,0.1644398766700925,0.41623843782117165,0.9247687564234326,-0.005412980508617966,0.01579424062084256,0.02885386053967416
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.0,1.0,0.0,minmax,1.0,0.5328790438643841,0.3846865364850976,1.0,0.0,0.0,0.9999999999999998,-0.005412980508617966,0.0,0.0
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.5,0.5,minmax,1.0,0.5907596392554791,0.46032887975334025,1.0,0.6334361082562521,0.9486125385405961,0.5362795477903392,-0.005412980508617966,0.10861863692621666,0.19663371627037166
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.75,0.25,minmax,1.0,0.5511413808412485,0.40866735183281944,1.0,0.3672490578965399,0.775950668036999,0.811716341212744,-0.005412980508617966,0.03427107368386608,0.06233858758571561
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.9,0.09999999999999998,minmax,1.0,0.5412954637049827,0.3957862281603289,1.0,0.1644398766700925,0.41623843782117165,0.9247687564234326,-0.005412980508617966,0.01579424062084256,0.02885386053967416
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,minmax,1.0,0.5341436105268459,0.3863994518670778,1.0,0.09575196985268927,0.25590955806783144,0.9587529976019183,-0.005412980508617966,0.0023730838677596833,0.00445275625612274
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,minmax,1.0,0.6001058050342941,0.47300445357999316,1.0,0.6397738951695786,0.9496402877697842,0.5288797533401849,-0.005412980508617966,0.1261576373549773,0.2295841125656783
