case_type,user_id,candidate_item_id,label,old_rank,new_rank,rank_delta,backbone_score,calibrated_relevance_probability,evidence_risk,ambiguity,missing_information,abs_evidence_margin,candidate_text_short
promoted_positive,AHXCOH4ABGDUF6PLAWTVRWDNTIVA,B09VH7M73X,1,6,1,5,-2.1635959148406982,0.5806451613,0.1666666667,0.1,0.2,0.8,"invisibobble Pink Ball Hair Ties with Coil, TWINS Prima Ballerina - Ponytail Holder - No Damage, Wrap and Twist - Pain-Free Hair Accessories for Girls and Women - Gentle for Girls "
promoted_positive,AHR4NVRGPOS6GIJ3O4WQ3D4KUKRA,B08GCJZW9V,1,6,1,5,-1.0463171005249023,0.2658730159,0.3333333333,0.2,0.3,0.5,"KLAVUU Pure Pearlsation pH Balancing Quick Cleansing Pad 100ea - Powerful Makeup Mild Exfoliating Cleansing Pad without Skin Irritation, Intense Moisturizing"
promoted_positive,AHJ57LR4KNFBJW7XYTZCIGYILPEA,B01CVQALFE,1,6,1,5,-1.8226691484451294,0.4556962025,0.1333333333,0.1,0.1,0.8,Beard Oil - Tea Tree Scent - Huge Man-Sized 4 oz Bottle - 100% Natural - Softens Your Beard and Stops Itching - Scent Women Love - Best Beard Oil And Conditioner For Men
promoted_positive,AE7S6QS5XPGQGVGUH4NQIIT5DZPA,B00X6P92OG,1,6,1,5,0.6931471805599453,0.5806451613,0.1666666667,0.1,0.2,0.8,"OZNaturals Tinted Moisturizer, SPF 30 Sunscreen. Broad Spectrum Protection. Zinc Oxide + Minerals In This Tinted Sunscreen Protects, Moisturizes And Blends Well To Provide A Rich, "
promoted_positive,AEG2APVZSEZULB4ENINTBABQF7BQ,B00VXEQ0WO,1,6,1,5,-0.7252377271652222,0.2658730159,0.2666666667,0.2,0.2,0.6,"Retinol 2.5% Cream From Majestic Pure for Face and Eye Area Will Nourish Your Skin, Potent Anti Aging Formula Reduces Wrinkles, Stretch Marks & Redness, 50ml"
promoted_positive,AEF37WTIU37I3QUD5JEX76YV6UCQ,B094TBJ2QN,1,6,1,5,-2.777570962905884,0.3352601156,0.3,0.2,0.3,0.6,"Sibu NotOr Omega 7 Sea Buckthorn Oil Soft Gels, Anytime Face Wash, Facial Defense Oil, Skin Cleansing, Skin Moisturizing Core Kit"
promoted_positive,AGUZ47LMOO52XAB2IXT3ANDN3ZBA,B09XX4VR4Y,1,6,1,5,-0.669235348701477,0.5806451613,0.1666666667,0.1,0.2,0.8,"SOTICA Rotary Machine Pen Kit, Complete Makeup Pen Kit Professional Machine Pen Kit with 2Pcs Power Supply Machine Pen 40Pcs Cartridges Ink Caps Practice Skin and Machine Parts for"
promoted_positive,AEHVZBMXQ2RGLZHD2P62VR7PVYOA,B08Y7HV8CQ,1,6,1,5,-0.611573338508606,0.195,0.3666666667,0.2,0.3,0.4,"Squalane + Cucumber Rapid Eye Lift Cream for Dark Circles and Puffiness, Peptide-Complex Infused - 0.4 oz"
promoted_positive,AH6M3JVGK34YJF3Z2H454ZPK2FLQ,B01CUPHRQM,1,6,1,5,0.0,0.5806451613,0.1666666667,0.1,0.2,0.8,Beard Oil - Rousing Citrus Scent - Huge Man-Sized 4 oz Bottle - 100% Natural - Softens Your Beard and Stops Itching - Scent Women Love - Best Beard Oil And Conditioner For Men
promoted_positive,AH665SQ6SQF6DXAGYIQFCX76LALA,B0B8NLVLPD,1,6,1,5,-1.3467490673065186,0.3352601156,0.1666666667,0.1,0.1,0.7,10 Pairs D Curl Fake Eyelashes Russian Strip Lashes False Eyelashes Faux Mink Lashes Natural Wispy Fluffy Russian Eyelashes reusable eyelashes (left.14-middle.16mm-right.8 -dense c
