seed,method,normalization,alpha,beta,lambda,HR@10,NDCG@10,MRR@10,Recall@10,join_coverage,fallback_rate,relative_NDCG_vs_gru4rec,relative_MRR_vs_gru4rec
42,A_GRU4Rec_only,none,1.0,0.0,0.0,1.0,0.5328790438643841,0.3846865364850976,1.0,1.0,0.13360739979445016,0.0,0.0
42,B_GRU4Rec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,1.0,0.5910291293117967,0.460859883521754,1.0,1.0,0.13360739979445016,0.10912436155438611,0.1980140707097694
42,C_GRU4Rec_plus_evidence_risk,zscore,1.0,0.0,0.5,1.0,0.5436982595407538,0.39965741692360396,1.0,1.0,0.13360739979445016,0.020303323617138016,0.03891708967851107
42,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,1.0,0.6020090904615251,0.4755566974991436,1.0,1.0,0.13360739979445016,0.12972933988136773,0.236218719387301
43,A_GRU4Rec_only,none,1.0,0.0,0.0,1.0,0.5420692902484472,0.3970880438506338,1.0,1.0,0.13360739979445016,0.0,0.0
43,B_GRU4Rec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,1.0,0.5959548573917488,0.46767728674203496,1.0,1.0,0.13360739979445016,0.09940715718945116,0.177767233198171
43,C_GRU4Rec_plus_evidence_risk,zscore,1.0,0.0,0.5,1.0,0.5491548539851876,0.4068345323741007,1.0,1.0,0.13360739979445016,0.013071324762730745,0.024544905530152688
43,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,1.0,0.6065675120264254,0.4815347721822542,1.0,1.0,0.13360739979445016,0.11898519790415857,0.2126649987058925
44,A_GRU4Rec_only,none,1.0,0.0,0.0,1.0,0.5291631415799545,0.3799931483384721,1.0,1.0,0.13360739979445016,0.0,0.0
44,B_GRU4Rec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,1.0,0.5889545119055325,0.45810208975676603,1.0,1.0,0.13360739979445016,0.11299231867710079,0.20555355210962858
44,C_GRU4Rec_plus_evidence_risk,zscore,1.0,0.0,0.5,1.0,0.5433458615071081,0.3989379924631723,1.0,1.0,0.13360739979445016,0.02680216895834313,0.04985575189325633
44,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,1.0,0.6026384395553837,0.4764131551901336,1.0,1.0,0.13360739979445016,0.13885188177704427,0.25374143526866205
