method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
A_Backbone_only,llmesr_bert4rec,0.0,1.0,0.0,minmax,1.0,0.5198437109850833,0.36816666666666664,1.0,0.0,0.0,0.9999999999999999,0.08868777691373587,0.0,0.0
B_Backbone_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.5,0.5,minmax,1.0,0.592723703331365,0.4625,1.0,0.6666666666666665,0.99,0.524,0.08868777691373587,0.14019596814622806,0.2562245359891355
B_Backbone_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.75,0.25,minmax,1.0,0.5387608156302331,0.39199999999999996,1.0,0.36,0.78,0.8039999999999999,0.08868777691373587,0.03638998461538118,0.06473517428700766
B_Backbone_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.9,0.09999999999999998,minmax,1.0,0.5296496824255784,0.38016666666666665,1.0,0.195,0.49,0.9133333333333331,0.08868777691373587,0.018863306861812718,0.032593933906745164
C_Backbone_plus_evidence_risk,llmesr_bert4rec,0.0,1.0,0.0,minmax,1.0,0.5198437109850833,0.36816666666666664,1.0,0.0,0.0,0.9999999999999999,0.08868777691373587,0.0,0.0
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.5,0.5,minmax,1.0,0.592723703331365,0.4625,1.0,0.6666666666666665,0.99,0.524,0.08868777691373587,0.14019596814622806,0.2562245359891355
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.75,0.25,minmax,1.0,0.5387608156302331,0.39199999999999996,1.0,0.36,0.78,0.8039999999999999,0.08868777691373587,0.03638998461538118,0.06473517428700766
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.9,0.09999999999999998,minmax,1.0,0.5296496824255784,0.38016666666666665,1.0,0.195,0.49,0.9133333333333331,0.08868777691373587,0.018863306861812718,0.032593933906745164
C_Backbone_plus_evidence_risk,llmesr_bert4rec,0.05,1.0,0.0,minmax,1.0,0.5295966193186163,0.3808333333333333,1.0,0.075,0.21,0.9693333333333333,0.08868777691373587,0.01876123174607934,0.0344047080126754
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.5,0.5,minmax,1.0,0.5867106924769723,0.45516666666666666,1.0,0.6716666666666665,0.99,0.5306666666666667,0.08868777691373587,0.12862900921736395,0.23630602082390229
