method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_Bert4Rec_only,llmesr_bert4rec,0.0,1.0,0.0,minmax,1.0,0.5019712420527008,0.3456834532374101,1.0,0.0,0.0,0.9999999999999998,0.02283324525594344,0.0,0.0,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.5,0.5,minmax,1.0,0.5755645341215558,0.44099006509078453,1.0,0.6562178828365879,0.9547790339157246,0.5202466598150051,0.02283324525594344,0.14660858213293546,0.27570487091819024,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.75,0.25,minmax,1.0,0.5260225036882606,0.3766015758821515,1.0,0.38386433710174717,0.8006166495375129,0.8026721479958889,0.02283324525594344,0.047913624567828786,0.08944056290570342,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.9,0.09999999999999998,minmax,1.0,0.5084429971250252,0.3537855429941761,1.0,0.1642685851318945,0.42137718396711205,0.9260020554984584,0.02283324525594344,0.012892680954907934,0.023437887121549813,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.0,1.0,0.0,minmax,1.0,0.5019712420527008,0.3456834532374101,1.0,0.0,0.0,0.9999999999999998,0.02283324525594344,0.0,0.0,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.5,0.5,minmax,1.0,0.5755645341215558,0.44099006509078453,1.0,0.6562178828365879,0.9547790339157246,0.5202466598150051,0.02283324525594344,0.14660858213293546,0.27570487091819024,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.75,0.25,minmax,1.0,0.5260225036882606,0.3766015758821515,1.0,0.38386433710174717,0.8006166495375129,0.8026721479958889,0.02283324525594344,0.047913624567828786,0.08944056290570342,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.9,0.09999999999999998,minmax,1.0,0.5084429971250252,0.3537855429941761,1.0,0.1642685851318945,0.42137718396711205,0.9260020554984584,0.02283324525594344,0.012892680954907934,0.023437887121549813,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.05,1.0,0.0,minmax,1.0,0.5035470080834534,0.34777321000342587,1.0,0.08650222678999657,0.24254881808838644,0.9628639945186707,0.02283324525594344,0.0031391559889145304,0.006045290124374382,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.5,0.5,minmax,1.0,0.58015876243664,0.4472593353888318,1.0,0.6627269612881123,0.9568345323741008,0.5140801644398767,0.02283324525594344,0.155760955675884,0.2938407412913134,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.75,0.25,minmax,1.0,0.5268622085233564,0.3777834874957178,1.0,0.39157245632065774,0.8057553956834532,0.796368619390202,0.02283324525594344,0.0495864391929495,0.09285962043506271,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.9,0.09999999999999998,minmax,1.0,0.5108594633529046,0.35697156560465915,1.0,0.18311065433367593,0.4676258992805755,0.9169578622816033,0.02283324525594344,0.017706634475427918,0.032654476983301026,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.1,1.0,0.0,minmax,1.0,0.5038435600620971,0.34801301815690305,1.0,0.15296334361082564,0.41212744090441933,0.9321685508735869,0.02283324525594344,0.0037299308257975365,0.0067390119419254435,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.5,0.5,minmax,1.0,0.5812020445509757,0.4487667009249743,1.0,0.670606372045221,0.9558067831449126,0.5080507022953066,0.02283324525594344,0.1578393259627343,0.2982012784302064,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.75,0.25,minmax,1.0,0.5304931491981052,0.38259677971908185,1.0,0.40630352860568686,0.8232271325796505,0.7847207947927372,0.02283324525594344,0.05681980312013555,0.1067836083444822,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.9,0.09999999999999998,minmax,1.0,0.5118845664075852,0.3583418979102433,1.0,0.2211373758136348,0.5477903391572456,0.8987324426173346,0.02283324525594344,0.019748789421374,0.036618601655022065,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.2,1.0,0.0,minmax,1.0,0.5089555663139448,0.35471051730044534,1.0,0.26498800959232616,0.6392600205549845,0.87584789311408,0.02283324525594344,0.013913793612325483,0.026113671274961395,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.5,0.5,minmax,1.0,0.5860880101363268,0.45537855429941765,1.0,0.6697499143542308,0.9660842754367934,0.49284001370332303,0.02283324525594344,0.16757288274055104,0.31732817997126,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.75,0.25,minmax,1.0,0.534474516904055,0.3880267214799589,1.0,0.44621445700582385,0.841726618705036,0.7470366563891743,0.02283324525594344,0.06475126885444513,0.12249145235617655,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.9,0.09999999999999998,minmax,1.0,0.5181840692244581,0.36683795820486476,1.0,0.3317917094895513,0.7471736896197327,0.836793422404933,0.02283324525594344,0.032298318735269636,0.06119617461969186,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.5,1.0,0.0,minmax,1.0,0.5208037439987461,0.37029804727646454,1.0,0.5195272353545735,0.9290853031860226,0.7034600890715996,0.02283324525594344,0.037517093347885576,0.07120558941578696,0.0
