seed,method,normalization,alpha,beta,lambda,HR@10,NDCG@10,MRR@10,Recall@10,join_coverage,fallback_rate,relative_NDCG_vs_bert4rec,relative_MRR_vs_bert4rec
42,A_Bert4Rec_only,none,1.0,0.0,0.0,1.0,0.5019712420527008,0.3456834532374101,1.0,1.0,0.13360739979445016,0.0,0.0
42,B_Bert4Rec_plus_calibrated_relevance,minmax,0.5,0.5,0.0,1.0,0.5755645341215558,0.44099006509078453,1.0,1.0,0.13360739979445016,0.14660858213293546,0.27570487091819024
42,C_Bert4Rec_plus_evidence_risk,minmax,1.0,0.0,0.5,1.0,0.5208037439987461,0.37029804727646454,1.0,1.0,0.13360739979445016,0.037517093347885576,0.07120558941578696
42,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,minmax,0.5,0.5,0.5,1.0,0.5871481916417992,0.4566632408359027,1.0,1.0,0.13360739979445016,0.16968491908179045,0.32104454685099826
43,A_Bert4Rec_only,none,1.0,0.0,0.0,1.0,0.536453082530988,0.39032202809181227,1.0,1.0,0.13360739979445016,0.0,0.0
43,B_Bert4Rec_plus_calibrated_relevance,minmax,0.5,0.5,0.0,1.0,0.5950502102742811,0.466032887975334,1.0,1.0,0.13360739979445016,0.10923066648593305,0.19397024619300468
43,C_Bert4Rec_plus_evidence_risk,minmax,1.0,0.0,0.5,1.0,0.545738190178016,0.40208975676601577,1.0,1.0,0.13360739979445016,0.017308331239743777,0.030148769034976108
43,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,minmax,0.5,0.5,0.5,1.0,0.5971198599733338,0.4694073312778349,1.0,1.0,0.13360739979445016,0.11308869203644,0.20261552639662972
44,A_Bert4Rec_only,none,1.0,0.0,0.0,1.0,0.5308265346888217,0.3824426173347037,1.0,1.0,0.13360739979445016,0.0,0.0
44,B_Bert4Rec_plus_calibrated_relevance,minmax,0.5,0.5,0.0,1.0,0.5826838316899924,0.44931483384720794,1.0,1.0,0.13360739979445016,0.09769160660284289,0.17485555605320902
44,C_Bert4Rec_plus_evidence_risk,minmax,1.0,0.0,0.5,1.0,0.5427851563007127,0.3984926344638575,1.0,1.0,0.13360739979445016,0.02252830412650962,0.04196712500559862
44,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,minmax,0.5,0.5,0.5,1.0,0.595099509375953,0.46661527920520723,1.0,1.0,0.13360739979445016,0.12108093790904612,0.22009226497066317
