case_type,user_id,candidate_item_id,label,old_rank,new_rank,rank_delta,backbone_score,calibrated_relevance_probability,evidence_risk,ambiguity,missing_information,abs_evidence_margin,candidate_text_short
promoted_positive,AE4ECHUF4STGEQ6AQ5GI2SSJ5BTA,B0B5XFVSXY,1,6,1,5,-0.7907696962356567,0.5806451613,0.1666666667,0.1,0.2,0.8,"MilyBest Fluffy Lashes False Eyelashes Natural Look Cat Eye Lashes, Dramatic Faux Mink Lashes 3D Effect 18mm D Curl Volume Extension Reusable Wispy Lashes Pack 10 Pairs"
promoted_positive,AE3LGS2HORNDIVD75DIHRRIAEIEA,B01MF9PHAF,1,6,1,5,0.0,0.5806451613,0.1666666667,0.1,0.2,0.8,Kiss You By Laura Marano
promoted_positive,AGLLAOO4MTOC5RG6EIUCOSK4XXXA,B08HVRP54L,1,6,1,5,-0.47254690527915955,0.2658730159,0.3333333333,0.2,0.3,0.5,"So'Bio Étic | Moisturizing Fresh Gel Cream | Organic Face Moisturizer for Combination Skin | 24 hr Hydrating, Balancing & Plumping | 0.5 fl oz"
promoted_positive,AEI2TWH7BUSHC5YVK4KCCYPPMXZA,B091GG4N2X,1,6,1,5,-0.6810025572776794,0.195,0.3666666667,0.2,0.3,0.4,"4D Silk Fiber Lash Mascara, 2pcs Waterproof Mascara & Fiber Set, Longer Thicker Voluminous Eyelashes, No Clumping, No Smudging Lasting All Day"
promoted_positive,AEHH4ZCAU2UKQCG6XUGD7NXBVFNQ,B011EXDBAM,1,6,1,5,-1.0785688161849976,0.4744358283,0.1666666667,0.2,0.1,0.8,Beard Oil and Conditioner - Fragrance Free - Huge 4 oz Bottle - 100% Natural - Softens Your Beard and Stops Itching - With Five Nourishing All Natural Oils Including Argan Oil and 
promoted_positive,AGBNDXZPUN3OWN66TYCOMCBBDU5A,B0BDYXW42R,1,6,1,5,-0.9012643098831177,0.4556962025,0.1333333333,0.1,0.1,0.8,Satin Bridesmaid Scrunchies Bachelorette Hair Ties Set of 6 sunglasses Bridal Shower No Damage Hairties ideas Gift for Wedding Party Favors Bridesmaid Proposal Gifts (12pcs Sage Gr
promoted_positive,AGWP5SUKOM7MA55NKIYI7RR2OMPQ,B01BZBE2VU,1,6,1,5,0.0,0.3352601156,0.2,0.1,0.2,0.7,Fan Makeup Brush - Powder Concealer Foundation Blush Blending Highlight Bronzer Contour Makeup Brush - with Premium Soft Synthetic Hair
promoted_positive,AHV6QCNBJNSGLATP56JAWJ3C4G2A,B0B8DZ7H5F,1,6,1,5,-0.7005530595779419,0.195,0.3666666667,0.3,0.2,0.4,"Frankies Bikinis Lip Butter Gloss, Sleeping Vegan Lip Mask Overnight, Moisturizing Lip Plumper, Vitamin E Lip Balm Moisturizer, Hydrating Lip Oil with Cocoa Butter, Made in USA, Gu"
promoted_positive,AHXNCEINHHLAW5HEL6QUU2BCNE2A,B0BGP4H52V,1,6,1,5,-0.775502622127533,0.3352601156,0.3,0.2,0.3,0.6,"Beanie Hat Wig,Knit Hat with Hair for Women, LONAI Black Knit Hat Wig with 18"" Blonde Long Wavy Hair Extension for Winter, Black Beanie Hat with Faus Fur Pom Hat Attached with Blac"
promoted_positive,AHWLAJMDMMY3U64I5ISWYBVE3S7Q,B0BDYXW42R,1,6,1,5,-0.7188851237297058,0.2658730159,0.2666666667,0.2,0.2,0.6,Satin Bridesmaid Scrunchies Bachelorette Hair Ties Set of 6 sunglasses Bridal Shower No Damage Hairties ideas Gift for Wedding Party Favors Bridesmaid Proposal Gifts (12pcs Sage Gr
demoted_negative,AHTLWVDXSMG5YMVMEIWWOU6XBZMA,B09LBK3TNZ,0,1,6,-5,0.49547794461250305,0.1358428805,0.5666666667,0.4,0.5,0.2,WING Fly Grl Mane-Taming Gel Wand 8ml
demoted_negative,AFEYHZ6ZZCDYHVCZKIEDM2HZTVSA,B088GWCVVJ,0,1,6,-5,0.22401195764541626,0.1358428805,0.5666666667,0.4,0.5,0.2,"Easydew Daily Double Hydra Cream 2.02 fl oz - Moisturizing Cream with EGF & Serine of NMFHydrating, Soothing, Anti-Aging EGF, Serine - N.M.F(Natural Moisturizing Factors) for Oily,"
demoted_negative,AF74NKETE4HBXNUQVQP7I6UUUFFA,B089NJG212,0,1,6,-5,1.3862943611198906,0.1358428805,0.5666666667,0.4,0.5,0.2,AMOREPACIFIC Color Control Cushion Compact Broad Spectrum SPF 50+
demoted_negative,AFATNFWGYVVMEZWGDNLDUXRBRFLQ,B08BB3P4VQ,0,1,6,-5,0.4111272990703583,0.130044843,0.5,0.4,0.3,0.2,"Hemp Lotion for Dry Skin - Soothing Rose Flower & Aloe Hydrate Your Complexion - Non-Greasy, Vegan, 7Oz, 250Mg Hemp, Fragrance & Paraben Free - Guayaquil By La La Leaf"
demoted_negative,AF4YK6ETKIRQ36LYVR4YY3ZS4ANQ,B08PQ6YXSH,0,1,6,-5,0.9467309713363647,0.1358428805,0.5666666667,0.4,0.5,0.2,Dose of Colors Cold Pressed Booster Multi-Use Oil 1oz
demoted_negative,AG3GU5MHHM662AATYNDWYOKOZP7A,B0B2L218H2,0,1,6,-5,0.37497225403785706,0.1548042705,0.6666666667,0.6,0.5,0.1,"PINROSE Perfumes Bold Soul - Eau de Parfum Petals (Fragrance Towelettes) - Vegan, Cruelty-free, and Hypoallergenic Scent with Essential Oils - Notes of Crushed Blackberry, Tuberose"
demoted_negative,AEHGY7TZA4IMOXXBGPTZC7UPM6UQ,B08G149DSD,0,1,6,-5,0.3827556371688843,0.130044843,0.5333333333,0.4,0.4,0.2,Nxconsu 8Pcs Rhinestone Headbands for Women Girls Teens Kids Fashion Comfort No Hurting Hair Accessories Thin Hair Bands Crystal Exquisite Color Selection
demoted_negative,AGEG5UCY42IYI2H4J5X5XNDZPENA,B08G4VWFNS,0,1,6,-5,0.6662365794181824,0.1358428805,0.6,0.4,0.6,0.2,Molequle Glow & Go Brightening Mask
demoted_negative,AHWLAJMDMMY3U64I5ISWYBVE3S7Q,B084WP4XS8,0,1,6,-5,0.2748539447784424,0.1548042705,0.6666666667,0.6,0.5,0.1,"CELIMAX The Real Sedum Aqua Boosting Essence - with 65.33% Sedum Extract, Hyaluronic Acid Complex, 150ml"
demoted_negative,AEQFUZYJRNPKUZTZ3Z7RHWDY76HA,B08SG2MBRY,0,1,6,-5,1.9459101490553132,0.1358428805,0.5666666667,0.4,0.5,0.2,"HASK CUCUMBER + ALOE Body Wash 2 Pack- Refreshing, vegan formula, hypoallergenic, dermatologist tested, pH balanced- 2 Pack of 24.5 oz Bottles"
corrected_positive,AE53545QTFI7RPWHC2BSGOAD3NYA,B0190K63GA,1,2,1,1,0.08278075605630875,0.2658730159,0.2666666667,0.2,0.2,0.6,"Best Anti-bacterial Body Wash : Tea Tree Oil, Argan Oil and Coconut Oil 3-in-1 Formula By Keeva. 100% Natural Ingredients Are Perfect for Moisturizing Dry, Sensitive Skin, & Fighti"
corrected_positive,AEEMHCO2KYLSSU547E7HNK4PMAMA,B08XJWLLKQ,1,2,1,1,0.534479022026062,0.2008368201,0.5,0.4,0.5,0.4,"John Frieda Detox and Repair Shampoo and Conditioner Set with Nourishing Avocado Oil and Green Tea, 8.45 Fl Oz (Pack of 2)"
corrected_positive,AEHLKY7Q5O3D3E6YEV67JIBVFNFA,B0971Z28DS,1,2,1,1,0.25246143341064453,0.2658730159,0.3333333333,0.2,0.3,0.5,"BABOR Power Serum Ampoule: Beta Glucan | Calms, Strengthens, Soothes | 2D Hyaluronic Acid & Microsilver | Clean & Vegan | Visible Results in 7 Days"
corrected_positive,AEIOFJ7NJD76HBIP7NVPEZKTZ4JQ,B00OS9YWJY,1,2,1,1,0.4302947521209717,0.3352601156,0.3,0.2,0.3,0.6,"Pure Hyaluronic Acid Serum with Vitamin C for Face - Organic Anti Aging & Anti-Wrinkle Skin Treatment - Penetrates Deeply & Activates Collagen Production for a Younger, Firmer & Br"
corrected_positive,AELRWE7QQJRKDFHDQHVAODTF5FRA,B08R3F946X,1,2,1,1,0.19476060569286346,0.2658730159,0.2666666667,0.2,0.2,0.6,LXIANGN Nail Glass Cup With Lid Cute Dappen Dishes 2PCS Heart Shaped Bowl Glass Mini Crystal Bowls for Nail Art Manicure Care Tools
corrected_positive,AEORT2SOUGKL76PYWWGS4SUL3OSA_1,B0B4RV6X1H,1,2,1,1,-0.05680933967232704,0.195,0.3666666667,0.3,0.2,0.4,"MRTREUP Chrome Nail Powder Palette , Metallic Mirror Effect Chrome Powder for Nails , Rose Gold Sliver Pink Holographic Nail Glitter Nail Pigment Powder for DIY Salon Nail Art Deco"
corrected_positive,AEPS33MI7LANKDAHRYF2MRKNYTIQ,B07YXB7TJ4,1,2,1,1,0.01662687584757805,0.2008368201,0.4333333333,0.3,0.4,0.4,"SKINESQUE Wake Up and Makeup Prep facial Sheet Mask antiaging detox moisturizing Nicinamicide essence korean skin care, 30 sheet masks per container"
corrected_positive,AETAGDPMO4CFZBXNG7W25DJTRUOQ,B08GCJZW9V,1,2,1,1,0.27540454268455505,0.3352601156,0.2,0.1,0.2,0.7,"KLAVUU Pure Pearlsation pH Balancing Quick Cleansing Pad 100ea - Powerful Makeup Mild Exfoliating Cleansing Pad without Skin Irritation, Intense Moisturizing"
corrected_positive,AEW7SGZCU5XUQQVPRXKRDZ4K73KQ,B01AYTGWA8,1,2,1,1,0.05192127451300621,0.1358428805,0.5666666667,0.4,0.5,0.2,"Fungus Nail Treatment,Sky-shop Fungus Nail Repair Oil, Fungal Nail Eliminator for Fingernails and Toenails, Repairs & Protects from Discoloration, Brittle and Cracked Nails (35ml)"
corrected_positive,AEXPTZ272HHG2KO2JAGU5IL45HIQ,B08JFF4PLP,1,2,1,1,-0.19394811987876892,0.1049382716,0.3,0.2,0.3,0.6,"Bold Men, Shampoo 250 ml- Mens Daily Shampoo (California Love)"
harmed_positive,AEY5YSMI644BYXAP7ODLJ2QWWSSQ,B08QYW2FJ2,1,1,6,-5,0.26764917373657227,0.1144578313,0.4666666667,0.3,0.5,0.4,Fog-free Dental Mirror and 4 Pieces of Stainless Steel Dental Pick Professional Oral Care Kit for Family including Dogs Oral Care
harmed_positive,AHLFYIOJCRSSMGT54XQJ7LVZ6W4Q,B08PQ6YXSH,1,2,6,-4,0.7907092571258545,0.1358428805,0.5666666667,0.4,0.5,0.2,Dose of Colors Cold Pressed Booster Multi-Use Oil 1oz
harmed_positive,AGHNXLQLVIBZ4654EZ7N4N2JSKDA,B07VRD5BQK,1,1,5,-4,0.0,0.1358428805,0.5666666667,0.4,0.5,0.2,"YNN Y-Not-Natural Organic Kakadu Plum Extract Anti-Aging Moisturizer by Jillaroo – 100g | Vitamins E, C, A | Fragrance Free Advanced Skin Care and Wrinkle Removal (Kakadu Plum)…"
harmed_positive,AFQYXBBABARRUEJZSQDCZ2RMQJHA,B0793JDW3W,1,1,5,-4,0.07584106177091599,0.1358428805,0.5666666667,0.4,0.5,0.2,ZEROID Intensive Lotion Korean Dermocosmetic Intensive Care for Severe Dry & Disordered Skin (200 mL)
harmed_positive,AE6I5KFJ2EJNRBBV7NWURRU2X6UQ_1,B08CZM3GH3,1,1,5,-4,0.02274012751877308,0.1358428805,0.5666666667,0.4,0.5,0.2,Leetaltree 6Pcs Makeup Sponge Set
harmed_positive,AHY37H4JF643FXWO3USRK3VSFFQA,B08M9TJ3NJ,1,2,6,-4,-0.030108649283647537,0.1358428805,0.5666666667,0.4,0.5,0.2,French Girl Hibernation Essentials
harmed_positive,AHEZKYETH4DLYBFQNVQ6VFDGJGGQ,B09VY96RBZ,1,2,5,-3,0.0,0.1358428805,0.5666666667,0.4,0.5,0.2,"Doctor Butler's Personal Cleansing Lotion – Safe, Hygienic, & Soothing Lotion for Sensitive Areas, Hygienic Cleansing Lotion for Men and Women to Cleanse, Soothe, and Moisturize (3"
harmed_positive,AEC4WROC543KSOU7GOBC2DDXND7Q,B0BL1J6HWH,1,3,6,-3,0.0,0.1358428805,0.5666666667,0.4,0.5,0.2,"LSxia 8PCS Braided Hair Clips for Braids, Four-Leaf Clover Chopped Hairpin Duckbill Clip with 3 Small Hair Clips for Styling, Sparkling Rhinestone Crystal Stone Braided Hair Clip f"
