backbone,method,NDCG@10_mean,MRR_mean,HR@1_mean,HR@3_mean,NDCG@3_mean,NDCG@5_mean,B_exceeds_A_NDCG,C_weaker_than_B_NDCG,D_exceeds_B_NDCG,main_contributor,hr10_trivial_flag
SASRec-style,Backbone only,0.5446339551000305,0.399571771154505,0.1459403905447071,0.513189448441247,0.3530685820046056,0.4931370613146296,True,True,True,baseline,True
SASRec-style,Backbone + calibrated relevance,0.6052841046994109,0.4789768185451639,0.24837273038711885,0.5954093867762932,0.44579840995326725,0.5644038691114742,True,True,True,calibrated_relevance_posterior,True
SASRec-style,Backbone + evidence risk,0.5560325835622358,0.41463400708005027,0.1671805412812607,0.5292908530318602,0.37133567080825647,0.5047797508848225,True,True,True,evidence_risk,True
SASRec-style,Backbone + calibrated relevance + evidence risk,0.6098952985924221,0.4853146054584903,0.26104830421377184,0.5940390544707091,0.45032967276954455,0.5665744519246085,True,True,True,combined,True
LLM-ESR GRU4Rec,Backbone only,0.5347038252309285,0.3872559095580678,0.1394313120931826,0.4816718054128126,0.3318573596938823,0.4692954482902298,True,True,True,baseline,True
LLM-ESR GRU4Rec,Backbone + calibrated relevance,0.5919794995363593,0.46221308667351835,0.23706748886605,0.5556697499143542,0.4174950030600057,0.5425571251688537,True,True,True,calibrated_relevance_posterior,True
LLM-ESR GRU4Rec,Backbone + evidence risk,0.5453996583443498,0.401809980586959,0.16512504282288457,0.46077423775265497,0.3341208782753436,0.4831640758074909,True,True,True,evidence_risk,True
LLM-ESR GRU4Rec,Backbone + calibrated relevance + evidence risk,0.6037383473477781,0.4778348749571772,0.26139088729016785,0.5618362452894826,0.4316185920153717,0.557000645168137,True,True,True,combined,True
LLM-ESR Bert4Rec,Backbone only,0.5230836197575035,0.3728160328879753,0.13292223364165812,0.4436450839328537,0.30627024021313964,0.448156859605285,True,True,True,baseline,True
LLM-ESR Bert4Rec,Backbone + calibrated relevance,0.5844328586952764,0.45211259563777545,0.21788283658787255,0.5584104145255224,0.41182970533940716,0.5336681482338386,True,True,True,calibrated_relevance_posterior,True
LLM-ESR Bert4Rec,Backbone + evidence risk,0.5364423634924916,0.39029347950211263,0.15553271668379584,0.4614594039054471,0.326617204673816,0.4685933754719159,True,True,True,evidence_risk,True
LLM-ESR Bert4Rec,Backbone + calibrated relevance + evidence risk,0.593122520330362,0.46422861710631497,0.24391915039397052,0.5357999314833847,0.4118381566461166,0.5384528321411213,True,True,True,combined,True
