backbone,method,claim_level,hr10_trivial_flag,HR@1_mean,HR@1_std,HR@3_mean,HR@3_std,HR@5_mean,HR@5_std,HR@10_mean,HR@10_std,NDCG@1_mean,NDCG@1_std,NDCG@3_mean,NDCG@3_std,NDCG@5_mean,NDCG@5_std,NDCG@10_mean,NDCG@10_std,MRR_mean,MRR_std,positive_rank_mean_mean,positive_rank_mean_std,positive_rank_median_mean,positive_rank_median_std,candidate_pool_size_mean_mean,candidate_pool_size_mean_std,candidate_pool_size_min_mean,candidate_pool_size_min_std,candidate_pool_size_max_mean,candidate_pool_size_max_std,fallback_rate_mean,fallback_rate_std,relative_NDCG@10_vs_backbone_mean,relative_MRR_vs_backbone_mean
SASRec-style,Backbone only,full_multiseed_metric_repair,True,0.1459403905447071,0.007194244604316544,0.513189448441247,0.007291468535043725,0.8554299417608769,0.008307198117836354,1.0,0.0,0.1459403905447071,0.007194244604316544,0.3530685820046056,0.006267626416425095,0.4931370613146296,0.002130552287037104,0.5446339551000305,0.002827244476424479,0.399571771154505,0.0038239085543178425,3.471736896197328,0.014570860101498335,3.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0883864337101747,0.0,0.0,0.0
SASRec-style,Backbone + calibrated relevance,full_multiseed_metric_repair,True,0.24837273038711885,0.006607503090779682,0.5954093867762932,0.0069957443839198715,0.8852346694073313,0.005660401384672231,1.0,0.0,0.24837273038711885,0.006607503090779682,0.44579840995326725,0.003429275235693724,0.5644038691114742,0.0007591510912399793,0.6052841046994109,0.00163721630980803,0.4789768185451639,0.0023469024479278885,3.09660842754368,0.008412490001924441,3.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0883864337101747,0.0,0.11135947186443959,0.19872536831425672
SASRec-style,Backbone + evidence risk,full_multiseed_metric_repair,True,0.1671805412812607,0.012389956368636596,0.5292908530318602,0.0054383377411399685,0.8561151079136691,0.005722265532199395,1.0,0.0,0.1671805412812607,0.012389956368636596,0.37133567080825647,0.005820612918650463,0.5047797508848225,0.0027474058743449073,0.5560325835622358,0.004782357189141372,0.41463400708005027,0.0065338310961011534,3.4145255224391913,0.006279651517582426,3.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0883864337101747,0.0,0.02092897138613357,0.03769594604249727
SASRec-style,Backbone + calibrated relevance + evidence risk,full_multiseed_metric_repair,True,0.26104830421377184,0.008412490001924422,0.5940390544707091,0.006166495375128478,0.8783830078794108,0.0031398257587912618,1.0,0.0,0.26104830421377184,0.008412490001924422,0.45032967276954455,0.004660995941465205,0.5665744519246085,0.0017763243655147115,0.6098952985924221,0.0023570488213900723,0.4853146054584903,0.0032891692388248277,3.094895512161699,0.009549407238620418,3.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0883864337101747,0.0,0.1198260646095877,0.2145868164216
LLM-ESR GRU4Rec,Backbone only,full_multiseed_metric_repair,True,0.1394313120931826,0.013801464253842887,0.4816718054128126,0.006022060921975667,0.81637547105173,0.00784956439697813,1.0,0.0,0.1394313120931826,0.013801464253842887,0.3318573596938823,0.008266566530736975,0.4692954482902298,0.008300683570865124,0.5347038252309285,0.006643759375539951,0.3872559095580678,0.008832333872426353,3.5971223021582737,0.03267854695906404,4.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.1336073997944501,0.0,0.0,0.0
LLM-ESR GRU4Rec,Backbone + calibrated relevance,full_multiseed_metric_repair,True,0.23706748886605,0.010139533118841214,0.5556697499143542,0.006843091591448499,0.8612538540596094,0.003705602544156243,1.0,0.0,0.23706748886605,0.010139533118841214,0.4174950030600057,0.005380682199913008,0.5425571251688537,0.0025881151863412053,0.5919794995363593,0.0035956378995108287,0.46221308667351835,0.004928941915272942,3.235697156560466,0.0041535990589181455,3.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.1336073997944501,0.0,0.10711663467283876,0.1935598018400567
LLM-ESR GRU4Rec,Backbone + evidence risk,full_multiseed_metric_repair,True,0.16512504282288457,0.008243377468664586,0.46077423775265497,0.0041535990589181455,0.8252826310380268,0.004479855029332649,1.0,0.0,0.16512504282288457,0.008243377468664586,0.3341208782753436,0.005062027264141839,0.4831640758074909,0.001705144335676,0.5453996583443498,0.0032568645687615933,0.401809980586959,0.00436623217257382,3.5779376498800954,0.01443734669798264,4.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.1336073997944501,0.0,0.020003285199618557,0.03758256664307619
LLM-ESR GRU4Rec,Backbone + calibrated relevance + evidence risk,full_multiseed_metric_repair,True,0.26139088729016785,0.004278861252756703,0.5618362452894826,0.007434921005210959,0.868790681740322,0.0021394306263783423,1.0,0.0,0.26139088729016785,0.004278861252756703,0.4316185920153717,0.005591416649332307,0.557000645168137,0.0017813053004630884,0.6037383473477781,0.0024702529535787746,0.4778348749571772,0.0032326938536170993,3.1805412812607057,0.014869842010421661,3.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.1336073997944501,0.0,0.12910796380974993,0.23389950460014178
LLM-ESR Bert4Rec,Backbone only,full_multiseed_metric_repair,True,0.13292223364165812,0.025013257055528346,0.4436450839328537,0.046332382163937695,0.7896539910928401,0.019015675349610024,1.0,0.0,0.13292223364165812,0.025013257055528346,0.30627024021313964,0.035655510377886716,0.448156859605285,0.02516673831847328,0.5230836197575035,0.018499023742287957,0.3728160328879753,0.023825489236120836,3.7365536142514557,0.15077236486376258,4.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.1336073997944501,0.0,0.0,0.0
LLM-ESR Bert4Rec,Backbone + calibrated relevance,full_multiseed_metric_repair,True,0.21788283658787255,0.013439565087997955,0.5584104145255224,0.02291980634967826,0.8574854402192531,0.012389956368636624,1.0,0.0,0.21788283658787255,0.013439565087997955,0.41182970533940716,0.018342810802034426,0.5336681482338386,0.011840488923490097,0.5844328586952764,0.009859879075380733,0.45211259563777545,0.012753679774257242,3.2689277149708804,0.08370532184221031,3.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.1336073997944501,0.0,0.11728380821065244,0.21269622482579056
