model,domain,raw_ece,calibrated_ece,delta_ece,raw_brier,calibrated_brier,delta_brier,raw_auroc,calibrated_auroc,delta_auroc,calibration_method,valid_fit_test_eval_protocol,source_file,notes
DeepSeek,Beauty,0.3025,0.1166666666666666,-0.1858333333333334,0.297225,0.1953349673202614,-0.10189003267973862,0.7457729468599034,0.750805152979066,0.005032206119162663,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\beauty_deepseek\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Doubao,Beauty,0.3458,0.100497814584771,-0.245302185415229,0.333084,0.1944822784900559,-0.1386017215099441,0.7754407051282052,0.7704326923076923,-0.005008012820512886,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\beauty_doubao\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
GLM,Beauty,0.3790000000000001,0.0804807879219855,-0.29851921207801463,0.362,0.1796342174049874,-0.1823657825950126,0.7788036932958651,0.7788036932958651,0.0,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\beauty_glm\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Kimi,Beauty,0.3163,0.143998099461514,-0.172301900538486,0.3243989999999999,0.2421963669433928,-0.08220263305660708,0.7036,0.7004,-0.0031999999999999806,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\beauty_kimi\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Qwen,Beauty,0.3706,0.080814479638009,-0.289785520361991,0.3616159999999999,0.1589112605812489,-0.20270473941875097,0.8327922077922078,0.8323863636363636,-0.00040584415584410394,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\beauty_qwen\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
DeepSeek,Books-small,0.0764999999999999,0.0608460278460279,-0.015653972153972004,0.129075,0.1296552998609509,0.0005802998609509002,0.5796078431372549,0.5584313725490196,-0.02117647058823524,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\books_small_deepseek\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Doubao,Books-small,0.0776,0.1108702368958123,0.033270236895812294,0.1320299999999999,0.1330199541286499,0.0009899541286499947,0.5759966777408638,0.574750830564784,-0.001245847176079784,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\books_small_doubao\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
GLM,Books-small,0.0825000000000001,0.0418361292962358,-0.0406638707037643,0.153575,0.1261630356029973,-0.02741196439700269,0.7715617715617715,0.7715617715617715,0.0,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\books_small_glm\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Kimi,Books-small,0.0640999999999999,0.0959595959595959,0.031859595959596004,0.142453,0.137872325953134,-0.00458067404686599,0.5772549019607843,0.5435294117647059,-0.0337254901960784,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\books_small_kimi\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Qwen,Books-small,0.0626000000000001,0.0903653846153846,0.027765384615384497,0.102058,0.1079140717455621,0.0058560717455621025,0.5143003064351379,0.5209397344228804,0.00663942798774253,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\books_small_qwen\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
DeepSeek,Electronics-small,0.0645000000000001,0.0642258014316839,-0.00027419856831620293,0.1526249999999999,0.1563541334592418,0.00372913345924189,0.7065625,0.68125,-0.02531249999999996,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\electronics_small_deepseek\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Doubao,Electronics-small,0.1432,0.058399209486166,-0.08480079051383399,0.184914,0.1594591255396376,-0.025454874460362403,0.7466666666666667,0.7208,-0.025866666666666704,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\electronics_small_doubao\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
GLM,Electronics-small,0.1375000000000004,0.0507176391683434,-0.086782360831657,0.186975,0.1343742220818764,-0.05260077791812359,0.7668696093353627,0.7668696093353627,0.0,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\electronics_small_glm\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Kimi,Electronics-small,0.0644999999999999,0.0715262054507336,0.007026205450733694,0.1427449999999999,0.1482904306703761,0.005545430670376189,0.744375,0.72875,-0.015625,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\electronics_small_kimi\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Qwen,Electronics-small,0.1553,0.053766129032258,-0.101533870967742,0.181247,0.1406365049427679,-0.040610495057232104,0.7423146473779385,0.7423146473779385,0.0,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\electronics_small_qwen\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
DeepSeek,Movies-small,0.2785,0.0916387362637362,-0.18686126373626383,0.3048249999999999,0.2202869363980799,-0.08453806360192001,0.4951746323529412,0.5751378676470589,0.0799632352941177,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\movies_small_deepseek\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Doubao,Movies-small,0.2658999999999999,0.0790476190476192,-0.18685238095238071,0.2448509999999999,0.1873356009070294,-0.057515399092970515,0.4172783738001129,0.4864483342744212,0.06916996047430829,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\movies_small_doubao\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
GLM,Movies-small,0.153,0.0853928315412187,-0.0676071684587813,0.2239,0.1959231149137344,-0.027976885086265585,0.6306685366993923,0.6306685366993923,0.0,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\movies_small_glm\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Kimi,Movies-small,0.4255,0.0262520064205455,-0.3992479935794545,0.398925,0.210736965029668,-0.18818803497033199,0.3870811073336571,0.5082564351627004,0.12117532782904328,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\movies_small_kimi\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
Qwen,Movies-small,0.1448999999999999,0.0585307017543862,-0.0863692982456137,0.182641,0.1730428112496152,-0.00959818875038479,0.5467148884870404,0.5304400241109102,-0.016274864376130238,valid_set_calibration,fit calibration on valid split; evaluate reported values on test split,outputs\movies_small_qwen\tables\calibration_comparison.csv,delta = calibrated - raw; negative ECE/Brier means improvement
