model,domain,setting,raw_diagnostic_ece,raw_brier,raw_auroc,high_conf_error_rate,mean_confidence,std_confidence,num_samples,source_file,notes
DeepSeek,Beauty,raw_confidence_diagnostic,0.3025,0.297225,0.7457729468599034,0.32258064516129037,0.7944999999999999,0.1448956521086813,100.0,outputs\beauty_deepseek\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Doubao,Beauty,raw_confidence_diagnostic,0.3458,0.333084,0.7754407051282052,0.3866666666666667,0.8657999999999998,0.10136251772721512,100.0,outputs\beauty_doubao\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
GLM,Beauty,raw_confidence_diagnostic,0.3790000000000001,0.362,0.7788036932958651,0.48863636363636365,0.8490000000000002,0.07210409142344143,100.0,outputs\beauty_glm\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Kimi,Beauty,raw_confidence_diagnostic,0.3163,0.3243989999999999,0.7036,0.34615384615384615,0.7992999999999998,0.11277637163874356,100.0,outputs\beauty_kimi\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Qwen,Beauty,raw_confidence_diagnostic,0.3706,0.3616159999999999,0.8327922077922078,0.43999999999999995,0.9306,0.04242216401835247,100.0,outputs\beauty_qwen\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
DeepSeek,Books-small,raw_confidence_diagnostic,0.0764999999999999,0.129075,0.5796078431372549,0.1159420289855072,0.8255,0.09286953214052497,100.0,outputs\books_small_deepseek\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Doubao,Books-small,raw_confidence_diagnostic,0.0776,0.1320299999999999,0.5759966777408638,0.12790697674418605,0.8646000000000003,0.14593436881009214,100.0,outputs\books_small_doubao\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
GLM,Books-small,raw_confidence_diagnostic,0.0825000000000001,0.153575,0.7715617715617715,0.1460674157303371,0.8625000000000002,0.07529110173187797,100.0,outputs\books_small_glm\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Kimi,Books-small,raw_confidence_diagnostic,0.0640999999999999,0.142453,0.5772549019607843,0.12903225806451613,0.8160999999999997,0.1274118911248083,100.0,outputs\books_small_kimi\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Qwen,Books-small,raw_confidence_diagnostic,0.0626000000000001,0.102058,0.5143003064351379,0.10999999999999999,0.9456,0.03603664801282161,100.0,outputs\books_small_qwen\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
DeepSeek,Electronics-small,raw_confidence_diagnostic,0.0645000000000001,0.1526249999999999,0.7065625,0.1428571428571429,0.8505000000000001,0.09630550347721567,100.0,outputs\electronics_small_deepseek\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Doubao,Electronics-small,raw_confidence_diagnostic,0.1432,0.184914,0.7466666666666667,0.1954022988505747,0.8932000000000001,0.0794214076933921,100.0,outputs\electronics_small_doubao\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
GLM,Electronics-small,raw_confidence_diagnostic,0.1375000000000004,0.186975,0.7668696093353627,0.19999999999999996,0.8675000000000003,0.06647367900154166,100.0,outputs\electronics_small_glm\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Kimi,Electronics-small,raw_confidence_diagnostic,0.0644999999999999,0.1427449999999999,0.744375,0.1282051282051282,0.8405,0.07940245588141465,100.0,outputs\electronics_small_kimi\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Qwen,Electronics-small,raw_confidence_diagnostic,0.1553,0.181247,0.7423146473779385,0.20999999999999996,0.9453,0.029238844026397474,100.0,outputs\electronics_small_qwen\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
DeepSeek,Movies-small,raw_confidence_diagnostic,0.2785,0.3048249999999999,0.4951746323529412,0.21052631578947367,0.6455,0.264867419665009,100.0,outputs\movies_small_deepseek\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Doubao,Movies-small,raw_confidence_diagnostic,0.2658999999999999,0.2448509999999999,0.4172783738001129,0.23529411764705888,0.7299000000000001,0.1997423089883563,100.0,outputs\movies_small_doubao\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
GLM,Movies-small,raw_confidence_diagnostic,0.153,0.2239,0.6306685366993923,0.2441860465116279,0.8430000000000001,0.07246378405796927,100.0,outputs\movies_small_glm\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Kimi,Movies-small,raw_confidence_diagnostic,0.4255,0.398925,0.3870811073336571,0.25,0.4394999999999999,0.2678894361485723,100.0,outputs\movies_small_kimi\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
Qwen,Movies-small,raw_confidence_diagnostic,0.1448999999999999,0.182641,0.5467148884870404,0.20618556701030932,0.9158999999999996,0.10376988965976597,100.0,outputs\movies_small_qwen\tables\diagnostic_metrics.csv,computed from predictions/test_raw.jsonl
