backbone,score_proxy,ECE,Brier,AUROC,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,num_users,num_rows,candidate_pool_size_mean,hr10_trivial_flag,source_file,notes
SASRec-style,sigmoid_global_score,0.31385883434084105,0.25878342735268006,0.5147562818927064,0.5437611347760061,0.39826995546420013,0.1408016443987667,0.5035971223021583,0.34749721857290244,0.4939726687465189,973,5838,6.0,True,output-repaired\backbone\sasrec_beauty_full\candidate_scores.csv,sigmoid(raw backbone_score); diagnostic proxy only
SASRec-style,minmax_global_score,0.27685581768604967,0.23615627340922413,0.5147562818927064,0.5437611347760061,0.39826995546420013,0.1408016443987667,0.5035971223021583,0.34749721857290244,0.4939726687465189,973,5838,6.0,True,output-repaired\backbone\sasrec_beauty_full\candidate_scores.csv,global min-max diagnostic proxy; fallback_rows=0
SASRec-style,minmax_user_score,0.3689778777174294,0.36383842576867637,0.5085490145543233,0.5437611347760061,0.39826995546420013,0.1408016443987667,0.5035971223021583,0.34749721857290244,0.4939726687465189,973,5838,6.0,True,output-repaired\backbone\sasrec_beauty_full\candidate_scores.csv,per-user min-max diagnostic proxy; fallback_rows=0
SASRec-style,softmax_user_score,0.08260282032473693,0.1494106369281634,0.5076405180363124,0.5437611347760061,0.39826995546420013,0.1408016443987667,0.5035971223021583,0.34749721857290244,0.4939726687465189,973,5838,6.0,True,output-repaired\backbone\sasrec_beauty_full\candidate_scores.csv,per-user softmax diagnostic proxy; fallback_rows=0
GRU4Rec,sigmoid_global_score,0.31158259858604254,0.26739108325970573,0.4844394752880708,0.5360050460355498,0.3885748544021926,0.13463514902363824,0.49537512846865367,0.3382845296689231,0.4755999218085985,973,5838,6.0,True,output-repaired\backbone\llmesr_gru4rec_beauty_full\candidate_scores.csv,sigmoid(raw backbone_score); diagnostic proxy only
GRU4Rec,minmax_global_score,0.37611124756290104,0.30763546749559617,0.4844394752880708,0.5360050460355498,0.3885748544021926,0.13463514902363824,0.49537512846865367,0.3382845296689231,0.4755999218085985,973,5838,6.0,True,output-repaired\backbone\llmesr_gru4rec_beauty_full\candidate_scores.csv,global min-max diagnostic proxy; fallback_rows=0
GRU4Rec,minmax_user_score,0.44202166948314775,0.41377387483141786,0.47318683593721117,0.5360050460355498,0.3885748544021926,0.13463514902363824,0.49537512846865367,0.3382845296689231,0.4755999218085985,973,5838,6.0,True,output-repaired\backbone\llmesr_gru4rec_beauty_full\candidate_scores.csv,per-user min-max diagnostic proxy; fallback_rows=0
GRU4Rec,softmax_user_score,0.08598365153527386,0.15316288985546547,0.47508378849702504,0.5360050460355498,0.3885748544021926,0.13463514902363824,0.49537512846865367,0.3382845296689231,0.4755999218085985,973,5838,6.0,True,output-repaired\backbone\llmesr_gru4rec_beauty_full\candidate_scores.csv,per-user softmax diagnostic proxy; fallback_rows=0
Bert4Rec,sigmoid_global_score,0.31067109462892106,0.2599742053491235,0.43533249747287767,0.5055899675644603,0.350256937307297,0.1079136690647482,0.3987667009249743,0.2711024948318936,0.42504980192852515,973,5838,6.0,True,output-repaired\backbone\llmesr_bert4rec_beauty_full\candidate_scores.csv,sigmoid(raw backbone_score); diagnostic proxy only
Bert4Rec,minmax_global_score,0.2345766532636257,0.2199317522787258,0.43533249747287767,0.5055899675644603,0.350256937307297,0.1079136690647482,0.3987667009249743,0.2711024948318936,0.42504980192852515,973,5838,6.0,True,output-repaired\backbone\llmesr_bert4rec_beauty_full\candidate_scores.csv,global min-max diagnostic proxy; fallback_rows=0
Bert4Rec,minmax_user_score,0.43902590945608244,0.41573589345874956,0.41954096684478875,0.5055899675644603,0.350256937307297,0.1079136690647482,0.3987667009249743,0.2711024948318936,0.42504980192852515,973,5838,6.0,True,output-repaired\backbone\llmesr_bert4rec_beauty_full\candidate_scores.csv,per-user min-max diagnostic proxy; fallback_rows=0
Bert4Rec,softmax_user_score,0.08195521828431537,0.14990137056411537,0.4181188069658794,0.5055899675644603,0.350256937307297,0.1079136690647482,0.3987667009249743,0.2711024948318936,0.42504980192852515,973,5838,6.0,True,output-repaired\backbone\llmesr_bert4rec_beauty_full\candidate_scores.csv,per-user softmax diagnostic proxy; fallback_rows=0
