condition,method,normalization,alpha,beta,lambda,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,positive_rank_mean,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_clean,relative_MRR_vs_clean,degradation_NDCG,degradation_MRR
clean,A_SASRec_only,zscore,1.0,0.0,0.0,0.5501692086746005,0.4067666666666667,0.152,0.522,0.3624003721928628,0.49673813060839717,3.438,6.0,True,0.0,0.0,0.0,0.0
clean,B_SASRec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,0.6225681870787687,0.5021333333333333,0.288,0.614,0.4714250415571474,0.5805357390000221,3.034,6.0,True,0.0,0.0,0.0,0.0
clean,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,0.6217653712797317,0.5011,0.284,0.608,0.46851991761429074,0.576170851329905,3.046,6.0,True,0.0,0.0,0.0,0.0
history_dropout_0.1,A_SASRec_only,zscore,1.0,0.0,0.0,0.5501692086746005,0.4067666666666667,0.152,0.522,0.3624003721928628,0.49673813060839717,3.438,6.0,True,0.0,0.0,0.0,0.0
history_dropout_0.1,B_SASRec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,0.6127532382618299,0.4890333333333333,0.264,0.592,0.4520910746571482,0.5671587183120029,3.078,6.0,True,-0.015765259164610954,-0.026088688263409456,0.009814948816938784,0.0131
history_dropout_0.1,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,0.6163147335893935,0.49373333333333336,0.268,0.592,0.45592409120714866,0.5685829705169185,3.064,6.0,True,-0.008766389931172331,-0.014700991152797112,0.005450637690338267,0.0073666666666666325
history_dropout_0.2,A_SASRec_only,zscore,1.0,0.0,0.0,0.5501692086746005,0.4067666666666667,0.152,0.522,0.3624003721928628,0.49673813060839717,3.438,6.0,True,0.0,0.0,0.0,0.0
history_dropout_0.2,B_SASRec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,0.615831049741001,0.4930666666666667,0.27,0.608,0.46230549613571953,0.5745110160364706,3.058,6.0,True,-0.010821525220200995,-0.018056293149229845,0.006737137337767707,0.009066666666666612
history_dropout_0.2,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,0.6188218830962345,0.4970666666666667,0.274,0.6,0.461876653178577,0.5710901200237596,3.052,6.0,True,-0.004734081889184109,-0.008048958956961241,0.0029434881834972115,0.004033333333333278
history_dropout_0.3,A_SASRec_only,zscore,1.0,0.0,0.0,0.5501692086746005,0.4067666666666667,0.152,0.522,0.3624003721928628,0.49673813060839717,3.438,6.0,True,0.0,0.0,0.0,0.0
history_dropout_0.3,B_SASRec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,0.6119238353144242,0.4881333333333333,0.266,0.582,0.44730549613571946,0.5663293153645973,3.098,6.0,True,-0.01709748744838737,-0.027881040892193332,0.010644351764344528,0.014000000000000012
history_dropout_0.3,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,0.6174893462009743,0.49520000000000003,0.272,0.606,0.4625673556428624,0.5711824118769314,3.046,6.0,True,-0.006877232596528251,-0.011774096986629337,0.004276025078757462,0.005899999999999961
candidate_text_dropout_0.1,A_SASRec_only,zscore,1.0,0.0,0.0,0.5501692086746005,0.4067666666666667,0.152,0.522,0.3624003721928628,0.49673813060839717,3.438,6.0,True,0.0,0.0,0.0,0.0
candidate_text_dropout_0.1,B_SASRec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,0.6130024740112838,0.4890333333333334,0.26,0.616,0.46235293416429113,0.5752445121778335,3.046,6.0,True,-0.015364924302299127,-0.026088688263409345,0.009565713067484882,0.013099999999999945
candidate_text_dropout_0.1,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,0.60841421178261,0.48306666666666664,0.252,0.604,0.45287665317857695,0.5663817637038633,3.08,6.0,True,-0.021472986618154805,-0.035987494179471856,0.013351159497121734,0.018033333333333346
candidate_text_dropout_0.2,A_SASRec_only,zscore,1.0,0.0,0.0,0.5501692086746005,0.4067666666666667,0.152,0.522,0.3624003721928628,0.49673813060839717,3.438,6.0,True,0.0,0.0,0.0,0.0
candidate_text_dropout_0.2,B_SASRec_plus_calibrated_relevance,zscore,0.5,0.5,0.0,0.6139016034407084,0.49023333333333335,0.26,0.614,0.4626622317000057,0.57400639848461,3.046,6.0,True,-0.013920697873635103,-0.023698884758364246,0.008666583638060277,0.011899999999999966
candidate_text_dropout_0.2,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,zscore,0.5,0.5,0.2,0.6142146014749241,0.4907,0.262,0.596,0.4546622317000057,0.5757442252672577,3.046,6.0,True,-0.012144082243220548,-0.020754340451007713,0.007550769804807622,0.010399999999999965
candidate_text_dropout_0.3,A_SASRec_only,zscore,1.0,0.0,0.0,0.5501692086746005,0.4067666666666667,0.152,0.522,0.3624003721928628,0.49673813060839717,3.438,6.0,True,0.0,0.0,0.0,0.0
