split,field,count,mean,std,min,q05,q25,q50,q75,q95,max,near_zero_rate,near_one_rate
valid,relevance_probability,12000,0.4595208333333333,0.1260896649859677,0.05,0.15,0.35,0.5,0.5,0.65,0.95,0.001,0.0016666666666666
valid,positive_evidence,12000,0.2964125,0.172501887677172,0.0,0.1,0.2,0.3,0.3,0.7000000000000001,0.95,0.0015,0.0016666666666666
valid,negative_evidence,12000,0.3456041666666666,0.1698036741552391,0.0,0.1,0.3,0.3,0.5,0.7000000000000001,0.95,0.002,0.001
valid,abs_evidence_margin,12000,0.1451416666666665,0.201766669892838,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.899999999999999,0.5345,0.0
valid,ambiguity,12000,0.4595916666666667,0.1594238102035803,0.0,0.2,0.4,0.4,0.6000000000000001,0.8,0.8,0.002,0.0
valid,missing_information,12000,0.6622458333333334,0.1943441415884539,0.05,0.3,0.5,0.7000000000000001,0.8,0.9,1.0,0.00075,0.0003333333333333
valid,evidence_risk,12000,0.6588986111111108,0.1683461368504772,0.066666666666666,0.333333333333333,0.5666666666666661,0.7333333333333331,0.799999999999999,0.9,0.9,0.0,0.0
test,relevance_probability,12000,0.4578133333333333,0.1236527098568546,0.05,0.15,0.35,0.5,0.5,0.65,0.95,0.0006666666666666,0.0008333333333333
test,positive_evidence,12000,0.2927958333333333,0.1691469554569357,0.0,0.1,0.2,0.3,0.3,0.7000000000000001,0.95,0.0008333333333333,0.001
test,negative_evidence,12000,0.3459375,0.1704084534694053,0.0,0.1,0.3,0.3,0.5,0.7000000000000001,0.95,0.0011666666666666,0.0006666666666666
test,abs_evidence_margin,12000,0.1422583333333331,0.1973828258204926,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.899999999999999,0.5369166666666667,0.0
test,ambiguity,12000,0.4622666666666667,0.1570586445897697,0.0,0.2,0.4,0.4,0.6000000000000001,0.8,0.8,0.0011666666666666,0.0
test,missing_information,12000,0.66665,0.19093951657942,0.05,0.3,0.5,0.7000000000000001,0.8,0.9,1.0,0.0005,0.0001666666666666
test,evidence_risk,12000,0.662219444444444,0.1648378423940966,0.066666666666666,0.333333333333333,0.5666666666666661,0.7333333333333331,0.799999999999999,0.9,0.9,0.0,0.0
