method,backbone_name,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
A_Backbone_only,bm25,0.0,1.0,0.0,none,0.6465146446941085,0.5319166666666666,0.2965,0.695,0.5263875623357211,0.6148122050414946,1.0,2.761,2.0,6.0,6.0,6.0,True,0.0,0.0,1.0,-0.057630213214796285,0.0,0.0
B_Backbone_plus_calibrated_relevance,bm25,0.0,0.5,0.5,minmax,0.6872065693051718,0.585375,0.371,0.7425,0.5850962916482206,0.6629844805818261,1.0,2.52,2.0,6.0,6.0,6.0,True,0.5805,0.8645,0.5619333333333333,0.18027885823474055,0.06294045300445786,0.10050133166222791
B_Backbone_plus_calibrated_relevance,bm25,0.0,0.75,0.25,minmax,0.6766599846038873,0.5713833333333334,0.3485,0.73,0.5694947730750067,0.6506568599450017,1.0,2.572,2.0,6.0,6.0,6.0,True,0.4533333333333333,0.7765,0.6953999999999999,0.18027885823474055,0.04662746645753369,0.07419708600971349
B_Backbone_plus_calibrated_relevance,bm25,0.0,0.9,0.09999999999999998,minmax,0.6711537545942731,0.5641583333333333,0.3385,0.723,0.5613220974589354,0.6439039047805095,1.0,2.6055,2.0,6.0,6.0,6.0,True,0.39875,0.7065,0.7351333333333333,0.18027885823474055,0.03811067560862807,0.06061413128622916
C_Backbone_plus_evidence_risk,bm25,0.0,1.0,0.0,minmax,0.6465146446941085,0.5319166666666666,0.2965,0.695,0.5263875623357211,0.6148122050414946,1.0,2.761,2.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999999,0.18027885823474055,0.0,0.0
C_Backbone_plus_evidence_risk,bm25,0.05,1.0,0.0,minmax,0.6597969974403136,0.5493833333333333,0.3205,0.7035,0.542441167705364,0.6295193865361316,1.0,2.6845,2.0,6.0,6.0,6.0,True,0.393,0.6975,0.7494666666666665,0.18027885823474055,0.02054455046797827,0.03283722387592056
C_Backbone_plus_evidence_risk,bm25,0.1,1.0,0.0,minmax,0.6596877088126889,0.54925,0.3205,0.7035,0.5423757028285782,0.6294100979085071,1.0,2.686,2.0,6.0,6.0,6.0,True,0.40525,0.723,0.7429333333333333,0.18027885823474055,0.020375507696060204,0.03258655804480669
C_Backbone_plus_evidence_risk,bm25,0.2,1.0,0.0,minmax,0.6592083660095893,0.5487000000000001,0.321,0.699,0.5401138433214353,0.6283964443247455,1.0,2.6955,2.0,6.0,6.0,6.0,True,0.42425,0.758,0.7319333333333332,0.18027885823474055,0.019634081640156432,0.03155256149146198
C_Backbone_plus_evidence_risk,bm25,0.5,1.0,0.0,minmax,0.6562796637267456,0.5451416666666666,0.322,0.684,0.5311498970178634,0.6233304989192536,1.0,2.735,2.0,6.0,6.0,6.0,True,0.4721666666666666,0.8165,0.6926666666666665,0.18027885823474055,0.015104095650079778,0.02486291712360967
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.0,0.5,0.5,minmax,0.6872065693051718,0.585375,0.371,0.7425,0.5850962916482206,0.6629844805818261,1.0,2.52,2.0,6.0,6.0,6.0,True,0.5805,0.8645,0.5619333333333333,0.18027885823474055,0.06294045300445786,0.10050133166222791
