domain,split,vocab_definition,train_vocab_size,num_rows,num_positive_rows,num_negative_rows,positive_cold_rows,positive_cold_rate,negative_cold_rows,negative_cold_rate,all_candidate_cold_rows,all_candidate_cold_rate,unique_candidate_items,unique_cold_candidate_items,unique_positive_items,unique_positive_cold_items,unique_negative_items,unique_negative_cold_items
books,valid,train_candidate_vocab,48541,12000,2000,10000,1753,0.8765,9487,0.9487,11240,0.9366666666666666,11895,11162,1960,1738,9955,9443
books,valid,train_history_vocab,7966,12000,2000,10000,2000,1.0,10000,1.0,12000,1.0,11895,11895,1960,1960,9955,9955
books,valid,train_backbone_vocab,56507,12000,2000,10000,1753,0.8765,9487,0.9487,11240,0.9366666666666666,11895,11162,1960,1738,9955,9443
books,test,train_candidate_vocab,48541,12000,2000,10000,1750,0.875,9513,0.9513,11263,0.9385833333333333,11863,11165,1949,1732,9940,9458
books,test,train_history_vocab,7966,12000,2000,10000,2000,1.0,10000,1.0,12000,1.0,11863,11863,1949,1949,9940,9940
books,test,train_backbone_vocab,56507,12000,2000,10000,1750,0.875,9513,0.9513,11263,0.9385833333333333,11863,11165,1949,1732,9940,9458
electronics,valid,train_candidate_vocab,34297,12000,2000,10000,1491,0.7455,9385,0.9385,10876,0.9063333333333333,11700,10729,1823,1451,9912,9300
electronics,valid,train_history_vocab,5293,12000,2000,10000,2000,1.0,10000,1.0,12000,1.0,11700,11700,1823,1823,9912,9912
electronics,valid,train_backbone_vocab,39590,12000,2000,10000,1491,0.7455,9385,0.9385,10876,0.9063333333333333,11700,10729,1823,1451,9912,9300
electronics,test,train_candidate_vocab,34297,12000,2000,10000,1528,0.764,9378,0.9378,10906,0.9088333333333334,11733,10764,1844,1484,9913,9299
electronics,test,train_history_vocab,5293,12000,2000,10000,2000,1.0,10000,1.0,12000,1.0,11733,11733,1844,1844,9913,9913
electronics,test,train_backbone_vocab,39590,12000,2000,10000,1528,0.764,9378,0.9378,10906,0.9088333333333334,11733,10764,1844,1484,9913,9299
