domain,split,vocab_definition,train_vocab_size,num_rows,num_positive_rows,num_negative_rows,positive_cold_rows,positive_cold_rate,negative_cold_rows,negative_cold_rate,all_candidate_cold_rows,all_candidate_cold_rate,unique_candidate_items,unique_cold_candidate_items,unique_positive_items,unique_positive_cold_items,unique_negative_items,unique_negative_cold_items
books,valid,train_candidate_vocab,3216,3000,500,2500,27,0.054,47,0.0188,74,0.024666666666666667,1992,50,498,27,1762,36
books,valid,train_history_vocab,1843,3000,500,2500,500,1.0,2500,1.0,3000,1.0,1992,1992,498,498,1762,1762
books,valid,train_backbone_vocab,5059,3000,500,2500,27,0.054,47,0.0188,74,0.024666666666666667,1992,50,498,27,1762,36
books,test,train_candidate_vocab,3216,3000,500,2500,22,0.044,54,0.0216,76,0.025333333333333333,1999,45,497,22,1764,37
books,test,train_history_vocab,1843,3000,500,2500,500,1.0,2500,1.0,3000,1.0,1999,1999,497,497,1764,1764
books,test,train_backbone_vocab,5059,3000,500,2500,22,0.044,54,0.0216,76,0.025333333333333333,1999,45,497,22,1764,37
electronics,valid,train_candidate_vocab,2737,3000,500,2500,26,0.052,69,0.0276,95,0.03166666666666667,1869,58,491,26,1672,44
electronics,valid,train_history_vocab,1457,3000,500,2500,500,1.0,2500,1.0,3000,1.0,1869,1869,491,491,1672,1672
electronics,valid,train_backbone_vocab,4194,3000,500,2500,26,0.052,69,0.0276,95,0.03166666666666667,1869,58,491,26,1672,44
electronics,test,train_candidate_vocab,2737,3000,500,2500,30,0.06,55,0.022,85,0.028333333333333332,1853,59,494,30,1653,41
electronics,test,train_history_vocab,1457,3000,500,2500,500,1.0,2500,1.0,3000,1.0,1853,1853,494,494,1653,1653
electronics,test,train_backbone_vocab,4194,3000,500,2500,30,0.06,55,0.022,85,0.028333333333333332,1853,59,494,30,1653,41
movies,valid,train_candidate_vocab,2962,3000,500,2500,14,0.028,43,0.0172,57,0.019,1920,35,468,14,1721,28
movies,valid,train_history_vocab,1777,3000,500,2500,439,0.878,1956,0.7824,2395,0.7983333333333333,1920,1512,468,425,1721,1335
movies,valid,train_backbone_vocab,4031,3000,500,2500,14,0.028,40,0.016,54,0.018,1920,33,468,14,1721,26
movies,test,train_candidate_vocab,2962,3000,500,2500,14,0.028,32,0.0128,46,0.015333333333333332,1933,30,477,13,1715,24
movies,test,train_history_vocab,1777,3000,500,2500,450,0.9,1942,0.7768,2392,0.7973333333333333,1933,1532,477,439,1715,1333
movies,test,train_backbone_vocab,4031,3000,500,2500,14,0.028,30,0.012,44,0.014666666666666666,1933,28,477,13,1715,22
