method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_Bert4Rec_only,llmesr_bert4rec,0.0,1.0,0.0,minmax,0.058,0.414,0.832,1.0,0.058,0.2548538845142899,0.426374878126231,0.48621768556037875,0.3234666666666667,0.3234666666666667,1.0,3.856,4.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.08383576731227602,0.0,0.0,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.5,0.5,minmax,0.166,0.578,0.87,1.0,0.166,0.3981859507142915,0.5185970080693824,0.5649039423934252,0.42523333333333335,0.42523333333333335,1.0,3.272,3.0,6.0,6.0,6.0,True,0.606,0.848,0.5775999999999999,0.08383576731227602,0.1618333910301072,0.31461253091508656,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.75,0.25,minmax,0.106,0.52,0.866,1.0,0.106,0.3368292151500053,0.47944503662092697,0.5271767996934019,0.3758666666666667,0.3758666666666667,1.0,3.5,3.0,6.0,6.0,6.0,True,0.43366666666666664,0.75,0.7418666666666666,0.08383576731227602,0.08424028033002688,0.16199505358615005,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.9,0.09999999999999998,minmax,0.08,0.504,0.862,1.0,0.08,0.3153054961357195,0.4626511987951334,0.5118077906160404,0.35570000000000007,0.35570000000000007,1.0,3.59,3.0,6.0,6.0,6.0,True,0.32533333333333336,0.61,0.8125333333333333,0.08383576731227602,0.052630963076072394,0.09964962901896143,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.0,1.0,0.0,minmax,0.058,0.414,0.832,1.0,0.058,0.2548538845142899,0.426374878126231,0.48621768556037875,0.3234666666666667,0.3234666666666667,1.0,3.856,4.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.08383576731227602,0.0,0.0,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.5,0.5,minmax,0.166,0.578,0.87,1.0,0.166,0.3981859507142915,0.5185970080693824,0.5649039423934252,0.42523333333333335,0.42523333333333335,1.0,3.272,3.0,6.0,6.0,6.0,True,0.606,0.848,0.5775999999999999,0.08383576731227602,0.1618333910301072,0.31461253091508656,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.75,0.25,minmax,0.106,0.52,0.866,1.0,0.106,0.3368292151500053,0.47944503662092697,0.5271767996934019,0.3758666666666667,0.3758666666666667,1.0,3.5,3.0,6.0,6.0,6.0,True,0.43366666666666664,0.75,0.7418666666666666,0.08383576731227602,0.08424028033002688,0.16199505358615005,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.9,0.09999999999999998,minmax,0.08,0.504,0.862,1.0,0.08,0.3153054961357195,0.4626511987951334,0.5118077906160404,0.35570000000000007,0.35570000000000007,1.0,3.59,3.0,6.0,6.0,6.0,True,0.32533333333333336,0.61,0.8125333333333333,0.08383576731227602,0.052630963076072394,0.09964962901896143,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.05,1.0,0.0,minmax,0.072,0.434,0.846,1.0,0.072,0.27028272747143245,0.4400961367517102,0.4949520435663456,0.33463333333333334,0.33463333333333334,1.0,3.772,4.0,6.0,6.0,6.0,True,0.284,0.578,0.8434666666666665,0.08383576731227602,0.017963883802170334,0.03452184666117062,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.5,0.5,minmax,0.186,0.57,0.868,1.0,0.186,0.4018292151500053,0.5246490368501812,0.57166838554844,0.4345333333333333,0.4345333333333333,1.0,3.266,3.0,6.0,6.0,6.0,True,0.6373333333333333,0.912,0.5189333333333334,0.08383576731227602,0.17574576681548937,0.3433635614179719,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.75,0.25,minmax,0.11,0.514,0.86,1.0,0.11,0.336876653178577,0.479667769652854,0.5295367758479771,0.37906666666666666,0.37906666666666666,1.0,3.498,3.0,6.0,6.0,6.0,True,0.485,0.838,0.6765333333333333,0.08383576731227602,0.08909402429011183,0.17188788128606755,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.9,0.09999999999999998,minmax,0.086,0.484,0.854,1.0,0.086,0.3077817771214336,0.46099677849114984,0.5130030278089212,0.3575,0.3575,1.0,3.602,4.0,6.0,6.0,6.0,True,0.3866666666666666,0.728,0.7535999999999999,0.08383576731227602,0.05508919778940493,0.10521434460016478,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.1,1.0,0.0,minmax,0.072,0.438,0.844,1.0,0.072,0.2728064464857183,0.43986050141420024,0.4954288226030517,0.33526666666666666,0.33526666666666666,1.0,3.772,4.0,6.0,6.0,6.0,True,0.30166666666666664,0.616,0.8288,0.08383576731227602,0.01894447140904979,0.03647980214344593,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.5,0.5,minmax,0.192,0.56,0.868,1.0,0.192,0.3995673556428624,0.5265186479204167,0.5735379966186757,0.4371666666666667,0.4371666666666667,1.0,3.27,3.0,6.0,6.0,6.0,True,0.6443333333333334,0.918,0.5082666666666666,0.08383576731227602,0.17959098085389044,0.35150453421269584,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.75,0.25,minmax,0.116,0.504,0.848,1.0,0.116,0.33304363662857656,0.4751486949900623,0.5292921874304816,0.37910000000000005,0.37910000000000005,1.0,3.53,3.0,6.0,6.0,6.0,True,0.48533333333333334,0.842,0.68,0.08383576731227602,0.08859098126070487,0.1719909315746085,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.9,0.09999999999999998,minmax,0.086,0.482,0.848,1.0,0.086,0.30468690106429036,0.45582860619500215,0.5099720986354215,0.3537666666666667,0.3537666666666667,1.0,3.64,4.0,6.0,6.0,6.0,True,0.369,0.718,0.7709333333333332,0.08383576731227602,0.0488555101562485,0.09367271228359438,0.0
