method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_GRU4Rec_only,llmesr_gru4rec,0.0,1.0,0.0,minmax,0.098,0.434,0.862,1.0,0.098,0.28040227289286035,0.4563176795872131,0.5054742714081201,0.34873333333333334,0.34873333333333334,1.0,3.728,4.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.1381063590936022,0.0,0.0,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,minmax,0.194,0.576,0.882,1.0,0.194,0.4088292151500053,0.5357956293281898,0.5778280774069364,0.44233333333333336,0.44233333333333336,1.0,3.2,3.0,6.0,6.0,6.0,True,0.586,0.84,0.6021333333333332,0.1381063590936022,0.14314043283994937,0.26839992353278536,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,minmax,0.12,0.538,0.884,1.0,0.12,0.3538766531785769,0.4968430646562094,0.5381630983607399,0.38993333333333335,0.38993333333333335,1.0,3.402,3.0,6.0,6.0,6.0,True,0.4223333333333334,0.742,0.7575999999999999,0.1381063590936022,0.0646696158472266,0.1181418466832346,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,minmax,0.104,0.518,0.888,1.0,0.104,0.3329961986000049,0.48603590496636573,0.5259311099224642,0.37396666666666667,0.37396666666666667,1.0,3.474,3.0,6.0,6.0,6.0,True,0.328,0.62,0.8141333333333333,0.1381063590936022,0.04047058311663749,0.07235710189256356,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.0,1.0,0.0,minmax,0.098,0.434,0.862,1.0,0.098,0.28040227289286035,0.4563176795872131,0.5054742714081201,0.34873333333333334,0.34873333333333334,1.0,3.728,4.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.1381063590936022,0.0,0.0,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.5,0.5,minmax,0.194,0.576,0.882,1.0,0.194,0.4088292151500053,0.5357956293281898,0.5778280774069364,0.44233333333333336,0.44233333333333336,1.0,3.2,3.0,6.0,6.0,6.0,True,0.586,0.84,0.6021333333333332,0.1381063590936022,0.14314043283994937,0.26839992353278536,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.75,0.25,minmax,0.12,0.538,0.884,1.0,0.12,0.3538766531785769,0.4968430646562094,0.5381630983607399,0.38993333333333335,0.38993333333333335,1.0,3.402,3.0,6.0,6.0,6.0,True,0.4223333333333334,0.742,0.7575999999999999,0.1381063590936022,0.0646696158472266,0.1181418466832346,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.9,0.09999999999999998,minmax,0.104,0.518,0.888,1.0,0.104,0.3329961986000049,0.48603590496636573,0.5259311099224642,0.37396666666666667,0.37396666666666667,1.0,3.474,3.0,6.0,6.0,6.0,True,0.328,0.62,0.8141333333333333,0.1381063590936022,0.04047058311663749,0.07235710189256356,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,minmax,0.094,0.444,0.884,1.0,0.094,0.2847115704285749,0.4667592183382631,0.5080792520427937,0.3515,0.3515,1.0,3.65,4.0,6.0,6.0,6.0,True,0.283,0.576,0.8453333333333333,0.1381063590936022,0.0051535375429036705,0.007933473523226839,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,minmax,0.202,0.572,0.884,1.0,0.202,0.41135293416429114,0.5401145801758168,0.5814346138803473,0.44726666666666665,0.44726666666666665,1.0,3.198,3.0,6.0,6.0,6.0,True,0.6186666666666667,0.906,0.5445333333333332,0.1381063590936022,0.15027538842010985,0.2825463582489007,0.0
