method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_SASRec_only,minimal_sasrec,0.0,1.0,0.0,minmax,0.108,0.586,0.93,1.0,0.108,0.37370966972857733,0.5161653180967738,0.5410998211943354,0.3925,0.3925,1.0,3.264,3.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.00042267791269299425,0.0,0.0,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.5,0.5,minmax,0.214,0.68,0.932,1.0,0.214,0.4823510334642936,0.5865867985165812,0.6108088872399267,0.4837666666666667,0.4837666666666667,1.0,2.856,3.0,6.0,6.0,6.0,True,0.5696666666666667,0.804,0.6088,0.00042267791269299425,0.12882847732554564,0.2325265392781316,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.75,0.25,minmax,0.132,0.672,0.942,1.0,0.132,0.43996962853572275,0.5518699241316537,0.572529940983919,0.4325,0.4325,1.0,2.99,3.0,6.0,6.0,6.0,True,0.37533333333333335,0.672,0.7791999999999998,0.00042267791269299425,0.05808562220591725,0.10191082802547766,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.9,0.09999999999999998,minmax,0.126,0.656,0.948,1.0,0.126,0.42530359543572194,0.5471170128176561,0.5656397865472732,0.4235,0.4235,1.0,3.024,3.0,6.0,6.0,6.0,True,0.2656666666666666,0.534,0.8485333333333331,0.00042267791269299425,0.04535201157297054,0.07898089171974515,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.0,1.0,0.0,minmax,0.108,0.586,0.93,1.0,0.108,0.37370966972857733,0.5161653180967738,0.5410998211943354,0.3925,0.3925,1.0,3.264,3.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.00042267791269299425,0.0,0.0,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.5,0.5,minmax,0.214,0.68,0.932,1.0,0.214,0.4823510334642936,0.5865867985165812,0.6108088872399267,0.4837666666666667,0.4837666666666667,1.0,2.856,3.0,6.0,6.0,6.0,True,0.5696666666666667,0.804,0.6088,0.00042267791269299425,0.12882847732554564,0.2325265392781316,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.75,0.25,minmax,0.132,0.672,0.942,1.0,0.132,0.43996962853572275,0.5518699241316537,0.572529940983919,0.4325,0.4325,1.0,2.99,3.0,6.0,6.0,6.0,True,0.37533333333333335,0.672,0.7791999999999998,0.00042267791269299425,0.05808562220591725,0.10191082802547766,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.9,0.09999999999999998,minmax,0.126,0.656,0.948,1.0,0.126,0.42530359543572194,0.5471170128176561,0.5656397865472732,0.4235,0.4235,1.0,3.024,3.0,6.0,6.0,6.0,True,0.2656666666666666,0.534,0.8485333333333331,0.00042267791269299425,0.04535201157297054,0.07898089171974515,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.05,1.0,0.0,minmax,0.114,0.604,0.942,1.0,0.114,0.3888519838142924,0.5293371053457925,0.5499971221980577,0.40369999999999995,0.40369999999999995,1.0,3.172,3.0,6.0,6.0,6.0,True,0.2313333333333333,0.53,0.8789333333333331,0.00042267791269299425,0.016442993797491697,0.028535031847133584,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.5,0.5,minmax,0.222,0.674,0.932,1.0,0.222,0.48256545494286485,0.5896482218486259,0.6138703105719715,0.4879,0.4879,1.0,2.846,3.0,6.0,6.0,6.0,True,0.599,0.896,0.5629333333333334,0.00042267791269299425,0.1344862565598606,0.24305732484076428,0.0
