backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
sasrec,all_users,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5410998211943354,0.3925,0.108,0.586,0.37370966972857733,0.5161653180967738,1.0,6.0,True,0.0,0.0,500
sasrec,all_users,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6108088872399267,0.4837666666666667,0.214,0.68,0.4823510334642936,0.5865867985165812,1.0,6.0,True,0.12882847732554564,0.2325265392781316,500
sasrec,all_users,C,C_SASRec_plus_evidence_risk,0.2,1.0,0.0,minmax,0.5516807720442785,0.40653333333333336,0.128,0.58,0.3812333887428632,0.5281710976951491,1.0,6.0,True,0.01955452660580884,0.03575371549893845,500
sasrec,all_users,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.1,0.5,0.5,minmax,0.6143069134322108,0.48873333333333335,0.23,0.662,0.47768500036429284,0.5907972390830813,1.0,6.0,True,0.13529313699695922,0.24518046709129512,500
sasrec,positive_fallback_false,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5871702236123263,0.45698198198198203,0.24324324324324326,0.5135135135135135,0.39784090931467614,0.5245932853365927,1.0,6.0,True,0.0,0.0,74
sasrec,positive_fallback_false,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6212618182312614,0.4993243243243244,0.2702702702702703,0.5945945945945946,0.4572029263513569,0.6020073756848819,1.0,6.0,True,0.05806083695661606,0.09265648102513555,74
sasrec,positive_fallback_false,C,C_SASRec_plus_evidence_risk,0.2,1.0,0.0,minmax,0.5844683570703498,0.45382882882882886,0.24324324324324326,0.4864864864864865,0.38432739580116265,0.5122641975214265,1.0,6.0,True,-0.004601504697146127,-0.006899950714637803,74
sasrec,positive_fallback_false,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.1,0.5,0.5,minmax,0.6240310570351476,0.5033783783783784,0.28378378378378377,0.5540540540540541,0.44192009184363445,0.604776614488768,1.0,6.0,True,0.06277708225061211,0.1015278462296697,74
sasrec,positive_fallback_true,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5330969813376891,0.38129890453834114,0.08450704225352113,0.5985915492957746,0.3695178581572832,0.5147013050081668,1.0,6.0,True,0.0,0.0,426
sasrec,positive_fallback_true,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6089931198846243,0.4810641627543036,0.20422535211267606,0.6948356807511737,0.48671948399564885,0.5839081067080031,1.0,6.0,True,0.14236835173309484,0.26164580340652577,426
sasrec,positive_fallback_true,C,C_SASRec_plus_evidence_risk,0.2,1.0,0.0,minmax,0.5459852760538342,0.39831768388106414,0.107981220657277,0.596244131455399,0.3806959321177126,0.5309342681478614,1.0,6.0,True,0.024176266546857433,0.044633695875230854,426
sasrec,positive_fallback_true,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.1,0.5,0.5,minmax,0.6126177429471935,0.48618935837245697,0.22065727699530516,0.6807511737089202,0.48389768400403155,0.5883688968764597,1.0,6.0,True,0.14916753310057132,0.2750872152678022,426
sasrec,fallback_rate_per_user_eq_0,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5735987097702631,0.43787878787878787,0.18181818181818182,0.5454545454545454,0.3993444782467611,0.5088337666597136,1.0,6.0,True,0.0,0.0,11
sasrec,fallback_rate_per_user_eq_0,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6491813803723364,0.5333333333333333,0.2727272727272727,0.7272727272727273,0.5357081146103976,0.6491813803723364,1.0,6.0,True,0.13176924793353462,0.2179930795847751,11
sasrec,fallback_rate_per_user_eq_0,C,C_SASRec_plus_evidence_risk,0.2,1.0,0.0,minmax,0.5708127443042158,0.4348484848484848,0.18181818181818182,0.5454545454545454,0.3993444782467611,0.47366532963839164,1.0,6.0,True,-0.004856993955169614,-0.006920415224913539,11
sasrec,fallback_rate_per_user_eq_0,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.1,0.5,0.5,minmax,0.6428792492880995,0.5257575757575758,0.2727272727272727,0.6363636363636364,0.4902535691558521,0.6428792492880995,1.0,6.0,True,0.12078224434218926,0.20069204152249137,11
sasrec,fallback_rate_per_user_0_to_0.5,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.544345788075612,0.3962650602409639,0.10602409638554217,0.6144578313253012,0.3880043814802127,0.5211708626493069,1.0,6.0,True,0.0,0.0,415
sasrec,fallback_rate_per_user_0_to_0.5,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.614286009568612,0.488433734939759,0.2216867469879518,0.689156626506024,0.49012595877797677,0.5885360924282731,1.0,6.0,True,0.12848491349635474,0.2325934934630584,415
sasrec,fallback_rate_per_user_0_to_0.5,C,C_SASRec_plus_evidence_risk,0.2,1.0,0.0,minmax,0.5558685374023957,0.4119678714859438,0.13734939759036144,0.5879518072289157,0.3878900729776304,0.5352686036901245,1.0,6.0,True,0.02116806922952292,0.03962703962703959,415
sasrec,fallback_rate_per_user_0_to_0.5,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.1,0.5,0.5,minmax,0.6182117101109956,0.4939357429718876,0.2385542168674699,0.6674698795180722,0.48393039963856105,0.594178454113346,1.0,6.0,True,0.13569669069456156,0.24647815952163765,415
sasrec,fallback_rate_per_user_gt_0.5,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5180651721394033,0.36463963963963963,0.10810810810810811,0.43243243243243246,0.289732801206568,0.489183508319834,1.0,6.0,True,0.0,0.0,74
