backbone,sanity_method,repeat,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
sasrec,shuffled_calibrated_relevance_B,1,0.5474452774004547,0.40213333333333334,0.134,0.546,0.36670966972857744,0.5089749011927882,0.011726960456415114,0.024543524416135866
sasrec,shuffled_calibrated_relevance_D,1,0.5519111428396812,0.4077666666666667,0.138,0.56,0.3764952482500062,0.515578009754663,0.019980272071579454,0.03889596602972409
sasrec,random_score_same_distribution_B,1,0.5522539095903705,0.40886666666666666,0.148,0.538,0.36918595071429156,0.513071119008488,0.02061373513562679,0.04169851380042456
sasrec,random_score_same_distribution_D,1,0.5519206104605349,0.40823333333333334,0.146,0.552,0.37440037219286276,0.5162998917497327,0.019997769066556714,0.0400849256900212
sasrec,shuffled_calibrated_relevance_B,2,0.5482768479738291,0.4032666666666667,0.136,0.548,0.3687096697285773,0.5133685436372429,0.013263775921515415,0.02743099787685784
sasrec,shuffled_calibrated_relevance_D,2,0.5504384318908648,0.40613333333333335,0.14,0.54,0.3672333887428632,0.519804613799575,0.017258572874625774,0.03473460721868364
sasrec,random_score_same_distribution_B,2,0.5572177521888422,0.41486666666666666,0.148,0.586,0.39397152923572026,0.5116232322390154,0.029787352283596524,0.056985138004246226
sasrec,random_score_same_distribution_D,2,0.5583546144926025,0.41603333333333337,0.142,0.59,0.3963757028285782,0.517034580788072,0.03188837368340217,0.05995753715498942
sasrec,shuffled_calibrated_relevance_B,3,0.5539925481342195,0.4111666666666667,0.15,0.542,0.3729715292357203,0.5140973431781211,0.02382689188739109,0.04755838641188959
sasrec,shuffled_calibrated_relevance_D,3,0.5538684382040981,0.41083333333333333,0.146,0.546,0.37428082677143487,0.5132608188737837,0.023597525834659062,0.04670912951167723
sasrec,random_score_same_distribution_B,3,0.5489154948169824,0.4045666666666667,0.142,0.544,0.36944781022143447,0.5040333892413716,0.014444051386666457,0.03074309978768578
sasrec,random_score_same_distribution_D,3,0.5547720714898435,0.4123,0.15,0.546,0.3765426862785778,0.5106023802884487,0.025267519522239393,0.05044585987261142
sasrec,shuffled_calibrated_relevance_B,4,0.552899556049121,0.40903333333333336,0.134,0.562,0.37942314085714984,0.5172788373383188,0.021806946505250682,0.042123142250530814
sasrec,shuffled_calibrated_relevance_D,4,0.5661698783918395,0.42693333333333333,0.168,0.568,0.39523338874286323,0.5269870878099573,0.04633166786521672,0.087728237791932
sasrec,random_score_same_distribution_B,4,0.5484365665098596,0.4043333333333334,0.144,0.54,0.36897152923572024,0.48859375907571184,0.013558949805842224,0.030148619957537228
sasrec,random_score_same_distribution_D,4,0.5452849707742621,0.40026666666666666,0.14,0.522,0.35797152923572023,0.48757940646276243,0.0077345240489805475,0.019787685774946863
sasrec,shuffled_calibrated_relevance_B,5,0.555946976991017,0.4130333333333333,0.138,0.578,0.38968500036429277,0.5124897001638383,0.02743884809259486,0.05231422505307845
sasrec,shuffled_calibrated_relevance_D,5,0.5548278378785343,0.41156666666666675,0.136,0.558,0.37947057888572144,0.5149326329224359,0.025370580707082643,0.048577494692144535
sasrec,random_score_same_distribution_B,5,0.5576848568575318,0.41520000000000007,0.146,0.564,0.38301896726429197,0.5234889668951618,0.030650602742002864,0.057834394904458734
sasrec,random_score_same_distribution_D,5,0.5635733314501432,0.4231666666666667,0.16,0.566,0.39023338874286323,0.5300898558619891,0.04153302103520093,0.07813163481953293
gru4rec,shuffled_calibrated_relevance_B,1,0.5330999669940514,0.38433333333333336,0.13,0.5,0.3349013225428616,0.48465578954736044,0.054653020239731086,0.10208373160007653
gru4rec,shuffled_calibrated_relevance_D,1,0.5330999669940514,0.38433333333333336,0.13,0.5,0.3349013225428616,0.48465578954736044,0.054653020239731086,0.10208373160007653
gru4rec,random_score_same_distribution_B,1,0.5228791032529714,0.3718,0.124,0.45,0.3058538845142899,0.4623238814446077,0.03443267606156485,0.06614414069967504
gru4rec,random_score_same_distribution_D,1,0.5228791032529714,0.3718,0.124,0.45,0.3058538845142899,0.4623238814446077,0.03443267606156485,0.06614414069967504
gru4rec,shuffled_calibrated_relevance_B,2,0.5325149791677056,0.38423333333333337,0.136,0.466,0.3214250415571474,0.4698225142366937,0.05349571538875197,0.10179697954502016
