domain,field,mean,std,min,max,q05,q25,q50,q75,q95,near_zero_rate,near_one_rate
books_small,relevance_probability,0.3132433333333333,0.19782681177119435,0.02,0.9500000000000001,0.15,0.15,0.25,0.35000000000000003,0.75,0.018333333333333333,0.0023333333333333335
books_small,positive_evidence,0.2703866666666667,0.22283458099875095,0.01,0.9500000000000001,0.1,0.1,0.2,0.30000000000000004,0.8,0.019333333333333334,0.003
books_small,negative_evidence,0.5678566666666667,0.18412434056606664,0.05,0.9500000000000001,0.2,0.5,0.6000000000000001,0.7000000000000001,0.8,0.0033333333333333335,0.018333333333333333
books_small,abs_evidence_margin,0.45230333333333334,0.20824311430526476,0.0,0.9400000000000001,0.09999999999999998,0.19999999999999996,0.4000000000000001,0.6000000000000001,0.8,0.010333333333333333,0.0
books_small,ambiguity,0.28895000000000004,0.12299213050706403,0.05,0.7000000000000001,0.1,0.2,0.30000000000000004,0.4,0.5,0.0036666666666666666,0.0
books_small,missing_information,0.4300166666666667,0.13740390480461448,0.05,0.8,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.0003333333333333333,0.0
books_small,evidence_risk,0.42222111111111116,0.1414706486986254,0.06666666666666665,0.8333333333333334,0.19999999999999996,0.3333333333333333,0.4000000000000001,0.5333333333333333,0.6666666666666666,0.0,0.0
electronics_small,relevance_probability,0.33552000000000004,0.189656873326542,0.05,0.9500000000000001,0.15,0.15,0.35000000000000003,0.35000000000000003,0.65,0.005666666666666667,0.0003333333333333333
electronics_small,positive_evidence,0.29934000000000005,0.2204443188955736,0.02,0.9500000000000001,0.1,0.1,0.30000000000000004,0.30000000000000004,0.7000000000000001,0.005666666666666667,0.001
electronics_small,negative_evidence,0.5467166666666667,0.1665584573722458,0.05,0.9500000000000001,0.30000000000000004,0.5,0.5,0.7000000000000001,0.8,0.001,0.005666666666666667
electronics_small,abs_evidence_margin,0.41277666666666674,0.19184296561395095,0.09999999999999998,0.93,0.09999999999999998,0.19999999999999996,0.4000000000000001,0.6000000000000001,0.7000000000000001,0.0,0.0
electronics_small,ambiguity,0.29125,0.11232069043591213,0.05,0.6000000000000001,0.1,0.2,0.30000000000000004,0.4,0.4,0.001,0.0
electronics_small,missing_information,0.4220666666666667,0.11172016628861398,0.05,0.7000000000000001,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.0003333333333333333,0.0
electronics_small,evidence_risk,0.4335133333333333,0.11999467969687475,0.06666666666666665,0.7333333333333334,0.2333333333333333,0.3333333333333333,0.4333333333333333,0.5666666666666668,0.6000000000000001,0.0,0.0
