method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_Bert4Rec_only,llmesr_bert4rec,0.0,1.0,0.0,minmax,0.102,0.472,0.956,1.0,0.102,0.3165901243071494,0.521706973350919,0.5373800895836719,0.38753333333333334,0.38753333333333334,1.0,3.262,3.262,6.0,6.0,6.0,True,0.0,0.0,1.0,0.1054359433098365,0.0,0.0,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.5,0.5,minmax,0.34,0.626,0.914,1.0,0.34,0.5094478102214345,0.6298891113777859,0.6605229294690758,0.5512333333333334,0.5512333333333334,1.0,2.746,2.746,6.0,6.0,6.0,True,0.6656666666666667,0.952,0.5303999999999999,0.1054359433098365,0.22915407971442922,0.4224152761052813,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.75,0.25,minmax,0.124,0.55,0.916,1.0,0.124,0.36606640529286366,0.5183475279453855,0.5482689316624594,0.4024,0.4024,1.0,3.27,3.27,6.0,6.0,6.0,True,0.4983333333333333,0.886,0.6842666666666667,0.1054359433098365,0.02026283126199088,0.038362291415792116,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.9,0.09999999999999998,minmax,0.096,0.508,0.912,1.0,0.096,0.3276622317000057,0.49630906355931664,0.5276552960248225,0.37556666666666666,0.37556666666666666,1.0,3.402,3.402,6.0,6.0,6.0,True,0.4099999999999999,0.77,0.7429333333333331,0.1054359433098365,-0.01809667635133918,-0.030879064166523345,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.05,1.0,0.0,minmax,0.052,0.396,0.86,1.0,0.052,0.24180644648571825,0.43287561926400236,0.48274462545912544,0.31866666666666665,0.31866666666666665,1.0,3.844,3.844,6.0,6.0,6.0,True,0.3996666666666666,0.764,0.7517333333333333,0.1054359433098365,-0.10167005660160307,-0.1777051436435576,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.1,1.0,0.0,minmax,0.058,0.386,0.862,1.0,0.058,0.2387590084571466,0.434821004928956,0.48397759674986296,0.3204666666666667,0.3204666666666667,1.0,3.85,3.85,6.0,6.0,6.0,True,0.416,0.786,0.7397333333333332,0.1054359433098365,-0.09937564466741186,-0.173060381902632,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.2,1.0,0.0,minmax,0.062,0.376,0.858,1.0,0.062,0.2365445869785753,0.43492770029379196,0.4855091208631311,0.3226666666666667,0.3226666666666667,1.0,3.86,3.86,6.0,6.0,6.0,True,0.4613333333333333,0.842,0.7125333333333332,0.1054359433098365,-0.09652566167966356,-0.1673834508859452,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.5,1.0,0.0,minmax,0.086,0.382,0.836,1.0,0.086,0.2528538845142899,0.4396162917118401,0.4980342703975557,0.3395,0.3395,1.0,3.83,3.83,6.0,6.0,6.0,True,0.5646666666666667,0.938,0.6378666666666666,0.1054359433098365,-0.07321785817669359,-0.12394632719766037,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.5,0.5,minmax,0.324,0.598,0.898,1.0,0.324,0.4837817771214336,0.608427074456211,0.6447602075412292,0.5311333333333333,0.5311333333333333,1.0,2.888,2.888,6.0,6.0,6.0,True,0.6683333333333333,0.97,0.5064,0.1054359433098365,0.1998215416591795,0.37054876999827974,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.5,0.5,minmax,0.356,0.6,0.892,1.0,0.356,0.4968538845142899,0.617790826879447,0.6562612030871134,0.5468333333333334,0.5468333333333334,1.0,2.87,2.87,6.0,6.0,6.0,True,0.6706666666666667,0.972,0.4991999999999999,0.1054359433098365,0.22122351722324346,0.41106141407190794,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.5,0.5,minmax,0.36,0.6,0.888,1.0,0.36,0.49780644648571826,0.6164071501068379,0.6563023550629364,0.5471333333333334,0.5471333333333334,1.0,2.892,2.892,6.0,6.0,6.0,True,0.657,0.968,0.5018666666666667,0.1054359433098365,0.22130009612264942,0.41183554102872877,0.0
