method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_GRU4Rec_only,llmesr_gru4rec,0.0,1.0,0.0,minmax,0.104,0.478,0.96,1.0,0.104,0.3205901243071495,0.525196210241483,0.5394444977258038,0.3901,0.3901,1.0,3.236,3.236,6.0,6.0,6.0,True,0.0,0.0,1.0,0.1055009648461805,0.0,0.0,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,minmax,0.386,0.654,0.924,1.0,0.386,0.5427817771214336,0.6555585477341417,0.6826302939543514,0.5805,0.5805,1.0,2.632,2.632,6.0,6.0,6.0,True,0.6646666666666667,0.95,0.5282666666666667,0.1055009648461805,0.2654319338359958,0.48807997949243787,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,minmax,0.132,0.562,0.92,1.0,0.132,0.37659012430714944,0.5260393670068281,0.55453594197547,0.4104333333333333,0.4104333333333333,1.0,3.216,3.216,6.0,6.0,6.0,True,0.48766666666666664,0.87,0.6922666666666666,0.1055009648461805,0.027975898008578845,0.05212338716568397,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,minmax,0.088,0.52,0.926,1.0,0.088,0.3286147936714341,0.4984735686536026,0.5248329004995962,0.3714666666666667,0.3714666666666667,1.0,3.378,3.378,6.0,6.0,6.0,True,0.3973333333333333,0.752,0.7522666666666666,0.1055009648461805,-0.027086377352642164,-0.04776553020592997,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,minmax,0.048,0.372,0.872,1.0,0.048,0.22623528944286073,0.4339482358335971,0.479542755783424,0.3143,0.3143,1.0,3.838,3.838,6.0,6.0,6.0,True,0.3916666666666666,0.748,0.7573333333333333,0.1055009648461805,-0.11104338295211887,-0.19430915149961542,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.1,1.0,0.0,minmax,0.046,0.37,0.872,1.0,0.046,0.2250208679642895,0.43350751996949494,0.47910203991932176,0.31370000000000003,0.31370000000000003,1.0,3.84,3.84,6.0,6.0,6.0,True,0.4066666666666666,0.77,0.7479999999999999,0.1055009648461805,-0.11186036387593992,-0.19584721866188148,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.2,1.0,0.0,minmax,0.054,0.372,0.87,1.0,0.054,0.23185388451428993,0.43870547778887947,0.48501241211292234,0.3214666666666667,0.3214666666666667,1.0,3.81,3.81,6.0,6.0,6.0,True,0.443,0.834,0.7242666666666665,0.1055009648461805,-0.10090395924392015,-0.1759377937281039,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.5,1.0,0.0,minmax,0.088,0.386,0.858,1.0,0.088,0.2540208679642895,0.44888604321387154,0.4994674637832106,0.34106666666666674,0.34106666666666674,1.0,3.784,3.784,6.0,6.0,6.0,True,0.5526666666666666,0.932,0.6458666666666666,0.1055009648461805,-0.0741077795975839,-0.1256942664274116,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,minmax,0.35,0.616,0.912,1.0,0.35,0.5034250415571474,0.6263476326596312,0.6576938651251371,0.5481333333333335,0.5481333333333335,1.0,2.808,2.808,6.0,6.0,6.0,True,0.671,0.968,0.5117333333333334,0.1055009648461805,0.21920580874927864,0.405109800905751,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.5,0.5,minmax,0.374,0.624,0.904,1.0,0.374,0.5173301655000041,0.6336248741783467,0.6678207641407169,0.5617666666666666,0.5617666666666666,1.0,2.778,2.778,6.0,6.0,6.0,True,0.667,0.97,0.5061333333333333,0.1055009648461805,0.23797863720201645,0.4400581047594633,0.0
