method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_SASRec_only,minimal_sasrec,0.0,1.0,0.0,minmax,0.226,0.7,0.986,1.0,0.226,0.5080398352285814,0.6302492083191171,0.6352361089386295,0.5140666666666666,0.5140666666666666,1.0,2.554,2.554,6.0,6.0,6.0,True,0.0,0.0,1.0,-0.04059937482082785,0.0,0.0,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.5,0.5,minmax,0.484,0.776,0.968,1.0,0.484,0.6533054961357195,0.7332783227338022,0.7446769527212589,0.6612333333333333,0.6612333333333333,1.0,2.204,2.204,6.0,6.0,6.0,True,0.6203333333333333,0.93,0.5469333333333333,-0.04059937482082785,0.17228372607074602,0.2862793412008821,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.75,0.25,minmax,0.24,0.762,0.98,1.0,0.24,0.5455161162142957,0.6365112383189311,0.6436353820610916,0.5252,0.5252,1.0,2.524,2.524,6.0,6.0,6.0,True,0.4403333333333333,0.828,0.7234666666666666,-0.04059937482082785,0.013222285390066821,0.021657372584619587,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.9,0.09999999999999998,minmax,0.188,0.754,0.984,1.0,0.188,0.5155161162142956,0.6121175945242003,0.6178169095179287,0.49069999999999997,0.49069999999999997,1.0,2.618,2.618,6.0,6.0,6.0,True,0.3256666666666666,0.704,0.8015999999999999,-0.04059937482082785,-0.027421614066941654,-0.04545454545454532,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.05,1.0,0.0,minmax,0.102,0.608,0.96,1.0,0.102,0.38694685987143573,0.5346008707377734,0.5488491582220942,0.4015,0.4015,1.0,3.114,3.114,6.0,6.0,6.0,True,0.30666666666666664,0.682,0.8210666666666666,-0.04059937482082785,-0.135991876880036,-0.21897289586305257,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.1,1.0,0.0,minmax,0.102,0.61,0.958,1.0,0.102,0.3889942979000074,0.5347503075306961,0.549711009389233,0.40263333333333334,0.40263333333333334,1.0,3.112,3.112,6.0,6.0,6.0,True,0.333,0.726,0.7997333333333332,-0.04059937482082785,-0.13463513541806404,-0.21676825314485781,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.2,1.0,0.0,minmax,0.108,0.6,0.958,1.0,0.108,0.388041735928579,0.5376662736316132,0.55262697549015,0.40663333333333335,0.40663333333333335,1.0,3.112,3.112,6.0,6.0,6.0,True,0.396,0.808,0.7565333333333332,-0.04059937482082785,-0.1300447696314133,-0.20898716119828797,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.5,1.0,0.0,minmax,0.142,0.578,0.936,1.0,0.142,0.3911612813500069,0.539909344036264,0.5627066040111774,0.4209666666666667,0.4209666666666667,1.0,3.152,3.152,6.0,6.0,6.0,True,0.529,0.914,0.6469333333333332,-0.04059937482082785,-0.1141772388358659,-0.18110491505641266,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.5,0.5,minmax,0.464,0.764,0.968,1.0,0.464,0.6380910746571483,0.7226184874403677,0.7340171174278244,0.6472,0.6472,1.0,2.264,2.264,6.0,6.0,6.0,True,0.625,0.948,0.5384,-0.04059937482082785,0.1555028234371642,0.2589806769549996,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.5,0.5,minmax,0.462,0.754,0.966,1.0,0.462,0.6331385126857199,0.7211113379335266,0.7332223822951992,0.6462,0.6462,1.0,2.274,2.274,6.0,6.0,6.0,True,0.6313333333333333,0.952,0.5456,-0.04059937482082785,0.15425173723245672,0.25703540396835717,0.0
