method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_Bert4Rec_only,llmesr_bert4rec,0.0,1.0,0.0,minmax,0.176,0.59,0.952,1.0,0.176,0.4235882236071519,0.576600770074356,0.5936987150555411,0.46086666666666665,0.46086666666666665,1.0,2.91,2.91,6.0,6.0,6.0,True,0.0,0.0,1.0,-0.031371706871513215,0.0,0.0,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.5,0.5,minmax,0.282,0.586,0.916,1.0,0.282,0.46070966972857735,0.5979246737988457,0.6278460775159196,0.5082333333333333,0.5082333333333333,1.0,2.926,2.926,6.0,6.0,6.0,True,0.667,0.968,0.4965333333333333,-0.031371706871513215,0.05751631525290401,0.10277737595833937,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.75,0.25,minmax,0.15,0.536,0.914,1.0,0.15,0.3704952482500062,0.527330957087665,0.5579647751789548,0.4157,0.4157,1.0,3.262,3.262,6.0,6.0,6.0,True,0.518,0.904,0.6437333333333334,-0.031371706871513215,-0.06018867646234218,-0.09800376102994351,0.0
B_Bert4Rec_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.9,0.09999999999999998,minmax,0.118,0.522,0.92,1.0,0.118,0.3495901243071495,0.5150393643062761,0.5435359392749178,0.3963666666666667,0.3963666666666667,1.0,3.312,3.312,6.0,6.0,6.0,True,0.448,0.804,0.6951999999999999,-0.031371706871513215,-0.0844919729629707,-0.13995371040069424,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.05,1.0,0.0,minmax,0.086,0.478,0.888,1.0,0.086,0.30399619860000493,0.4731235497674912,0.5130187547235898,0.3573333333333334,0.3573333333333334,1.0,3.576,3.576,6.0,6.0,6.0,True,0.4183333333333334,0.772,0.7162666666666666,-0.031371706871513215,-0.13589377623026108,-0.22464921163026166,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.1,1.0,0.0,minmax,0.092,0.478,0.888,1.0,0.092,0.3059487605714332,0.4749884642372419,0.5148836691933404,0.35990000000000005,0.35990000000000005,1.0,3.574,3.574,6.0,6.0,6.0,True,0.44433333333333336,0.812,0.7031999999999999,-0.031371706871513215,-0.13275259633133524,-0.21907999421379995,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.2,1.0,0.0,minmax,0.094,0.476,0.886,1.0,0.094,0.306734339092862,0.47533580525028213,0.5159434245805967,0.3614,0.3614,1.0,3.58,3.58,6.0,6.0,6.0,True,0.4726666666666666,0.848,0.6797333333333332,-0.031371706871513215,-0.1309675909735972,-0.21582525676262113,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.5,1.0,0.0,minmax,0.102,0.476,0.878,1.0,0.102,0.3146622317000057,0.48025652290122717,0.523713799728406,0.37156666666666666,0.37156666666666666,1.0,3.54,3.54,6.0,6.0,6.0,True,0.569,0.948,0.6077333333333332,-0.031371706871513215,-0.11787951287815718,-0.19376536959351945,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.5,0.5,minmax,0.272,0.572,0.896,1.0,0.272,0.44504363662857654,0.579236343842016,0.6162818913012504,0.4935666666666667,0.4935666666666667,1.0,3.038,3.038,6.0,6.0,6.0,True,0.6803333333333333,0.976,0.47119999999999995,-0.031371706871513215,0.03803810867873733,0.070953276435701,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.5,0.5,minmax,0.284,0.576,0.892,1.0,0.284,0.4525199176142908,0.5835301548681762,0.6220005310758425,0.5012000000000001,0.5012000000000001,1.0,3.016,3.016,6.0,6.0,6.0,True,0.6726666666666667,0.968,0.4824,-0.031371706871513215,0.04767033396333661,0.08751627368725613,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.5,0.5,minmax,0.298,0.572,0.896,1.0,0.298,0.45594876057143324,0.5903167627882281,0.6273623102474624,0.5084333333333333,0.5084333333333333,1.0,2.998,2.998,6.0,6.0,6.0,True,0.669,0.97,0.48586666666666667,-0.031371706871513215,0.05670147894588595,0.10321134095182985,0.0
