method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_GRU4Rec_only,llmesr_gru4rec,0.0,1.0,0.0,minmax,0.172,0.592,0.956,1.0,0.172,0.41630359543572193,0.5701774950190728,0.5858506112518257,0.4507,0.4507,1.0,2.956,2.956,6.0,6.0,6.0,True,0.0,0.0,1.0,-0.02740555383736308,0.0,0.0,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,minmax,0.286,0.572,0.924,1.0,0.286,0.45230549613571946,0.5983818519718586,0.6254535981920681,0.5053666666666667,0.5053666666666667,1.0,2.956,2.956,6.0,6.0,6.0,True,0.668,0.964,0.5032000000000001,-0.02740555383736308,0.06759912199395018,0.12129280378670236,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,minmax,0.128,0.536,0.922,1.0,0.128,0.3626375623357211,0.5226557411329339,0.5504399017273596,0.4054,0.4054,1.0,3.272,3.272,6.0,6.0,6.0,True,0.514,0.882,0.656,-0.02740555383736308,-0.06044324072445998,-0.10051031728422456,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,minmax,0.102,0.526,0.924,1.0,0.102,0.3407096697285774,0.5059836147243486,0.5330553609445583,0.3825,0.3825,1.0,3.358,3.358,6.0,6.0,6.0,True,0.43733333333333324,0.784,0.7029333333333332,-0.02740555383736308,-0.09011725735756475,-0.15132016862658085,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,minmax,0.08,0.466,0.892,1.0,0.08,0.29316318205000447,0.4684801781332435,0.50695055434091,0.3495333333333333,0.3495333333333333,1.0,3.622,3.622,6.0,6.0,6.0,True,0.418,0.772,0.7152,-0.02740555383736308,-0.13467606825966225,-0.22446564603209826,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.1,1.0,0.0,minmax,0.08,0.47,0.89,1.0,0.08,0.29594876057143327,0.46876934480790966,0.5079521353897921,0.3508,0.3508,1.0,3.614,3.614,6.0,6.0,6.0,True,0.432,0.8,0.7074666666666666,-0.02740555383736308,-0.13296644975001862,-0.22165520301752828,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.2,1.0,0.0,minmax,0.084,0.474,0.89,1.0,0.084,0.30047247958571904,0.4715703575899019,0.5107531481717843,0.3544666666666667,0.3544666666666667,1.0,3.598,3.598,6.0,6.0,6.0,True,0.4633333333333333,0.838,0.6895999999999999,-0.02740555383736308,-0.12818534561153003,-0.21351971008061524,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.5,1.0,0.0,minmax,0.116,0.48,0.874,1.0,0.116,0.3199961986000049,0.4816191923265731,0.5265012979021839,0.3756333333333334,0.3756333333333334,1.0,3.556,3.556,6.0,6.0,6.0,True,0.5546666666666668,0.922,0.6242666666666666,-0.02740555383736308,-0.10130451724344228,-0.16655572812661773,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,minmax,0.266,0.566,0.902,1.0,0.266,0.4379961986000049,0.5768311395002588,0.6117394438368451,0.4876333333333333,0.4876333333333333,1.0,3.064,3.064,6.0,6.0,6.0,True,0.675,0.974,0.48160000000000003,-0.02740555383736308,0.044190160576432644,0.08194660158272314,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.5,0.5,minmax,0.288,0.576,0.896,1.0,0.288,0.4524250415571474,0.5846321000332603,0.6216776474924945,0.5009333333333333,0.5009333333333333,1.0,3.028,3.028,6.0,6.0,6.0,True,0.6773333333333333,0.972,0.48693333333333333,-0.02740555383736308,0.06115387703379682,0.11145625323570746,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.5,0.5,minmax,0.3,0.572,0.898,1.0,0.3,0.4553776035285757,0.5900810738514511,0.6264142069364694,0.5073333333333334,0.5073333333333334,1.0,3.014,3.014,6.0,6.0,6.0,True,0.6693333333333332,0.972,0.49466666666666664,-0.02740555383736308,0.06923880406639642,0.12565638636195567,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.5,0.5,minmax,0.278,0.558,0.896,1.0,0.278,0.4399961986000049,0.5792542551080171,0.6162998025672514,0.4939666666666667,0.4939666666666667,1.0,3.07,3.07,6.0,6.0,6.0,True,0.643,0.924,0.47786666666666666,-0.02740555383736308,0.05197432712473044,0.09599881665557296,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.75,0.25,minmax,0.126,0.54,0.9,1.0,0.126,0.3633757028285782,0.5125468811225935,0.5481675998333958,0.40263333333333334,0.40263333333333334,1.0,3.31,3.31,6.0,6.0,6.0,True,0.5266666666666667,0.9,0.6354666666666666,-0.02740555383736308,-0.06432187778708656,-0.10664891650025882,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.75,0.25,minmax,0.126,0.546,0.902,1.0,0.126,0.3666375623357211,0.5135601493873767,0.5484684537239629,0.40303333333333335,0.40303333333333335,1.0,3.31,3.31,6.0,6.0,6.0,True,0.5193333333333332,0.9,0.6447999999999999,-0.02740555383736308,-0.06380834432857525,-0.10576140817986829,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.75,0.25,minmax,0.128,0.528,0.904,1.0,0.128,0.35628082677143486,0.5115540024795252,0.5457498924418953,0.39973333333333333,0.39973333333333333,1.0,3.344,3.344,6.0,6.0,6.0,True,0.5443333333333332,0.908,0.6226666666666665,-0.02740555383736308,-0.06844871037045523,-0.11308335182309,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.75,0.25,minmax,0.17,0.506,0.89,1.0,0.17,0.36156735564286235,0.519321821297085,0.5585046118789676,0.41763333333333336,0.41763333333333336,1.0,3.368,3.368,6.0,6.0,6.0,True,0.6003333333333333,0.944,0.5645333333333333,-0.02740555383736308,-0.046677427398131556,-0.07336735448561489,0.0
