method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
A_SASRec_only,minimal_sasrec,0.0,1.0,0.0,minmax,0.242,0.74,0.978,1.0,0.242,0.5410151658642968,0.641850884153888,0.6496874422702644,0.5329333333333334,0.5329333333333334,1.0,2.476,2.476,6.0,6.0,6.0,True,0.0,0.0,1.0,0.010808323451031837,0.0,0.0,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.5,0.5,minmax,0.372,0.682,0.952,1.0,0.372,0.5524003721928628,0.6647389052971824,0.6818368502783674,0.5786666666666668,0.5786666666666668,1.0,2.566,2.566,6.0,6.0,6.0,True,0.6546666666666667,0.958,0.5013333333333333,0.010808323451031837,0.049484422687562236,0.08581436077057807,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.75,0.25,minmax,0.2,0.69,0.962,1.0,0.2,0.48375520705715147,0.5973056832843285,0.6108415563944334,0.4829000000000001,0.4829000000000001,1.0,2.772,2.772,6.0,6.0,6.0,True,0.4686666666666666,0.86,0.6794666666666666,0.010808323451031837,-0.05979165264467508,-0.09388291218413797,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.9,0.09999999999999998,minmax,0.16,0.68,0.97,1.0,0.16,0.45954078557858025,0.5809310873527561,0.5916173029659967,0.45716666666666667,0.45716666666666667,1.0,2.838,2.838,6.0,6.0,6.0,True,0.349,0.718,0.7639999999999999,0.010808323451031837,-0.08938165574102487,-0.14216912684513391,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.05,1.0,0.0,minmax,0.118,0.612,0.968,1.0,0.118,0.40035103346429357,0.5484130380377594,0.559811668025216,0.416,0.416,1.0,3.066,3.066,6.0,6.0,6.0,True,0.33,0.688,0.7829333333333331,0.010808323451031837,-0.13833694234721083,-0.21941456092069062,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.1,1.0,0.0,minmax,0.118,0.612,0.962,1.0,0.118,0.40035103346429357,0.545828978689319,0.5593648517994239,0.4155,0.4155,1.0,3.078,3.078,6.0,6.0,6.0,True,0.3656666666666667,0.752,0.7621333333333332,0.010808323451031837,-0.13902468263080134,-0.22035276457343017,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.2,1.0,0.0,minmax,0.122,0.59,0.96,1.0,0.122,0.39082731445000773,0.5441299633214016,0.5583782508057225,0.4146,0.4146,1.0,3.118,3.118,6.0,6.0,6.0,True,0.42233333333333334,0.84,0.7274666666666665,0.010808323451031837,-0.14054326053382163,-0.22204153114836128,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.5,1.0,0.0,minmax,0.142,0.596,0.952,1.0,0.142,0.40356545494286483,0.5508386320012312,0.5679365769824162,0.4274333333333334,0.4274333333333334,1.0,3.09,3.09,6.0,6.0,6.0,True,0.5443333333333333,0.932,0.6253333333333333,0.010808323451031837,-0.1258310688631728,-0.197960970728046,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.5,0.5,minmax,0.364,0.688,0.95,1.0,0.364,0.5487817771214336,0.6572366602527775,0.6750470196081786,0.5698333333333333,0.5698333333333333,1.0,2.61,2.61,6.0,6.0,6.0,True,0.657,0.966,0.4893333333333333,0.010808323451031837,0.039033503940445254,0.069239429572179,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.5,0.5,minmax,0.358,0.686,0.954,1.0,0.358,0.5458292151500054,0.6569558051314673,0.6733413357384362,0.5674333333333332,0.5674333333333332,1.0,2.606,2.606,6.0,6.0,6.0,True,0.6473333333333332,0.964,0.5032,0.010808323451031837,0.03640811246946035,0.06473605203902902,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.5,0.5,minmax,0.35,0.68,0.95,1.0,0.35,0.5393529341642911,0.6513408772618998,0.6691512366173008,0.5619333333333334,0.5619333333333334,1.0,2.632,2.632,6.0,6.0,6.0,True,0.642,0.972,0.5013333333333333,0.010808323451031837,0.02995870487972216,0.054415811858894214,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.5,0.5,minmax,0.314,0.676,0.936,1.0,0.314,0.522757107757149,0.6301753427689907,0.6529726027439042,0.5404666666666667,0.5404666666666667,1.0,2.716,2.716,6.0,6.0,6.0,True,0.6473333333333335,0.94,0.4858666666666666,0.010808323451031837,0.00505652450686157,0.014135601701275858,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.75,0.25,minmax,0.196,0.686,0.964,1.0,0.196,0.4787077690285798,0.5944040670958087,0.6072275258316975,0.47823333333333334,0.47823333333333334,1.0,2.798,2.798,6.0,6.0,6.0,True,0.4736666666666666,0.874,0.6706666666666666,0.010808323451031837,-0.06535437454385025,-0.10263947960970732,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.75,0.25,minmax,0.192,0.69,0.964,1.0,0.192,0.47949334755000855,0.5931163493782331,0.6059398081141218,0.4765,0.4765,1.0,2.804,2.804,6.0,6.0,6.0,True,0.4663333333333333,0.876,0.6797333333333331,0.010808323451031837,-0.0673364318129208,-0.10589191893920451,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.75,0.25,minmax,0.188,0.69,0.964,1.0,0.188,0.47644590952143695,0.5901565588513391,0.6029800175872279,0.4726,0.4726,1.0,2.818,2.818,6.0,6.0,6.0,True,0.481,0.874,0.6671999999999998,0.010808323451031837,-0.07189214635244047,-0.11320990743057295,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.75,0.25,minmax,0.242,0.634,0.946,1.0,0.242,0.4662808267714349,0.5951301202846382,0.6143653083884715,0.48936666666666667,0.48936666666666667,1.0,2.9,2.9,6.0,6.0,6.0,True,0.5943333333333333,0.948,0.5688,0.010808323451031837,-0.05436788766974388,-0.08174881160870659,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.9,0.09999999999999998,minmax,0.156,0.682,0.966,1.0,0.156,0.4572314880428657,0.5752489029535017,0.5873599473151746,0.45176666666666665,0.45176666666666665,1.0,2.88,2.88,6.0,6.0,6.0,True,0.36666666666666664,0.75,0.7535999999999999,0.010808323451031837,-0.09593458469397677,-0.15230172629472113,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.9,0.09999999999999998,minmax,0.156,0.678,0.968,1.0,0.156,0.4552314880428656,0.5753070772918759,0.5867057072793326,0.451,0.451,1.0,2.892,2.892,6.0,6.0,6.0,True,0.375,0.746,0.7461333333333332,0.010808323451031837,-0.09694159205363244,-0.15374030522892174,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.9,0.09999999999999998,minmax,0.156,0.642,0.964,1.0,0.156,0.43435103346429355,0.5679453300666194,0.580768788802508,0.4437,0.4437,1.0,2.964,2.964,6.0,6.0,6.0,True,0.427,0.836,0.7138666666666665,0.010808323451031837,-0.10607970692326667,-0.1674380785589193,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.9,0.09999999999999998,minmax,0.172,0.614,0.952,1.0,0.172,0.4257324383928644,0.5655163799109427,0.5826143248921279,0.44689999999999996,0.44689999999999996,1.0,3.02,3.02,6.0,6.0,6.0,True,0.5623333333333334,0.942,0.6015999999999999,0.010808323451031837,-0.1032390546810579,-0.16143357518138615,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.5,0.5,zscore,0.338,0.676,0.954,1.0,0.338,0.534757107757149,0.6506287008277334,0.6670142314347024,0.5587666666666667,0.5587666666666667,1.0,2.616,2.616,6.0,6.0,6.0,True,0.6343333333333333,0.95,0.528,0.010808323451031837,0.026669422921107,0.04847385539154373,0.0
