domain,backbone,normalization,lambda,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
books_small,sasrec,minmax,0.05,0.5145861759071181,0.3576333333333333,0.066,0.532,0.3233529341642911,0.4974882309259331,1.0,True,-0.016987601342848796,-0.03027838033261025
books_small,sasrec,minmax,0.1,0.5033400037401883,0.3436666666666666,0.06,0.478,0.290734339092862,0.4826799868879231,1.0,True,-0.038471129651857214,-0.0681489515545915
books_small,sasrec,minmax,0.2,0.4829543872111151,0.3183333333333333,0.046,0.414,0.24780644648571823,0.44875849724874495,1.0,True,-0.07741371058501882,-0.1368402024584237
books_small,sasrec,minmax,0.5,0.43508542319237753,0.25926666666666665,0.014,0.228,0.13304553732857408,0.362419157022341,1.0,True,-0.16885764620637836,-0.296999276934201
books_small,sasrec,zscore,0.05,0.5212907066898272,0.3661,0.07,0.554,0.3389715292357203,0.5056175904570742,1.0,True,-0.004179956685540241,-0.0073210412147504894
books_small,sasrec,zscore,0.1,0.518016023369626,0.36193333333333333,0.068,0.546,0.3324003721928628,0.5016304927626571,1.0,True,-0.010435574220851914,-0.018618944323933385
books_small,sasrec,zscore,0.2,0.5118294306525516,0.3544,0.068,0.514,0.3137817771214337,0.49401907129715056,1.0,True,-0.02225380337480399,-0.03904555314533614
books_small,sasrec,zscore,0.5,0.4897353311347075,0.3267,0.048,0.438,0.2634250415571474,0.45767668429498554,1.0,True,-0.06446009413828908,-0.11415401301518431
books_small,gru4rec,minmax,0.05,0.44991210638513024,0.2767666666666667,0.018,0.302,0.17152181831428828,0.38721964145411836,1.0,True,-0.012163966682505389,-0.024438961344142918
books_small,gru4rec,minmax,0.1,0.4474719670645447,0.2738,0.018,0.29,0.16447438028571662,0.3833546733851007,1.0,True,-0.017521585455106077,-0.03489601691928119
books_small,gru4rec,minmax,0.2,0.4411102566317919,0.26616666666666666,0.018,0.254,0.1446413637357162,0.37271847670705155,1.0,True,-0.031489484317613205,-0.061802373399130764
books_small,gru4rec,minmax,0.5,0.4170630902369346,0.23736666666666667,0.012,0.148,0.08497533063571538,0.31661266347247236,1.0,True,-0.08428792456160007,-0.1633180589824934
books_small,gru4rec,zscore,0.05,0.4534094704882674,0.28109999999999996,0.02,0.322,0.18304553732857412,0.39142941993147157,1.0,True,-0.004485083999244922,-0.009164610504053936
books_small,gru4rec,zscore,0.1,0.451687845903588,0.27903333333333336,0.02,0.306,0.17478367782143117,0.3897077953467922,1.0,True,-0.008265117424564145,-0.01644930090471169
books_small,gru4rec,zscore,0.2,0.44910080174506045,0.27576666666666666,0.018,0.3,0.16999809930000245,0.3856959224398325,1.0,True,-0.013945283402115012,-0.027963811538009874
books_small,gru4rec,zscore,0.5,0.44285404598150846,0.26816666666666666,0.016,0.27,0.15268880176428787,0.3751746804309843,1.0,True,-0.027660785490178728,-0.05475267301139723
books_small,bert4rec,minmax,0.05,0.4487528603286348,0.27556666666666674,0.02,0.312,0.17647438028571663,0.3803610804038945,1.0,True,-0.011755377977614147,-0.022928731828388914
books_small,bert4rec,minmax,0.1,0.44389145226294496,0.26963333333333334,0.02,0.286,0.1613795042285733,0.37549967233820475,1.0,True,-0.02246118244392094,-0.043966434227632745
books_small,bert4rec,minmax,0.2,0.43136314625218597,0.2541666666666667,0.014,0.226,0.12549904965000122,0.3544223938368532,1.0,True,-0.05005104789707107,-0.09880628767285185
books_small,bert4rec,minmax,0.5,0.4106424261445567,0.2294,0.008,0.142,0.07788045457857207,0.3002181981410698,1.0,True,-0.09568226726311528,-0.18662096678879575
books_small,bert4rec,zscore,0.05,0.45240119707769144,0.2799333333333333,0.02,0.338,0.19025995880714539,0.38614666027559935,1.0,True,-0.0037210020653548515,-0.0074459283772605345
books_small,bert4rec,zscore,0.1,0.45049569877225293,0.2776666666666667,0.02,0.322,0.18199809930000246,0.38210391884751266,1.0,True,-0.007917294989801801,-0.015482803451128773
books_small,bert4rec,zscore,0.2,0.4480229777898665,0.27470000000000006,0.02,0.304,0.17247438028571663,0.3796311978651263,1.0,True,-0.013362727049701642,-0.026001654650750394
books_small,bert4rec,zscore,0.5,0.4354363117496747,0.2592,0.016,0.248,0.13828462817142997,0.3592079737085579,1.0,True,-0.041081113099212585,-0.08095969743529147
electronics_small,sasrec,minmax,0.05,0.5044592035050437,0.34486666666666665,0.056,0.492,0.29756735564286235,0.4823743579043463,1.0,True,-0.01548764211059207,-0.02808830436824819
electronics_small,sasrec,minmax,0.1,0.4946169669909223,0.3327333333333333,0.052,0.448,0.27094876057143324,0.46968246389336066,1.0,True,-0.034695941632331334,-0.06228276186002835
electronics_small,sasrec,minmax,0.2,0.47660406709081715,0.3103666666666667,0.042,0.368,0.2217590084571466,0.44312059150266303,1.0,True,-0.06985026616414865,-0.12531705025833734
electronics_small,sasrec,minmax,0.5,0.4416404250788051,0.26816666666666666,0.03,0.238,0.14421252077857372,0.35116379955336746,1.0,True,-0.1380859875039081,-0.2442461249412871
electronics_small,sasrec,zscore,0.05,0.5094038818849651,0.351,0.058,0.516,0.3121385126857199,0.4894562794069159,1.0,True,-0.005837511957356535,-0.01080319398778791
electronics_small,sasrec,zscore,0.1,0.5064008970748778,0.34723333333333334,0.056,0.504,0.3043529341642911,0.48502846584839654,1.0,True,-0.011698195310030426,-0.021418506341005308
electronics_small,sasrec,zscore,0.2,0.5020814384226014,0.34193333333333326,0.056,0.48,0.2902580581071478,0.47928417844768795,1.0,True,-0.02012813452614757,-0.036355096289338085
electronics_small,sasrec,zscore,0.5,0.47988854556837984,0.31426666666666664,0.042,0.39,0.23328272747143244,0.44854231310287396,1.0,True,-0.06344021431473298,-0.11432597463597956
electronics_small,gru4rec,minmax,0.05,0.466643611096025,0.29893333333333333,0.046,0.342,0.20709297535714577,0.40252631741658096,1.0,True,-0.003667180943006058,-0.0067560084173221395
electronics_small,gru4rec,minmax,0.1,0.4627632087664439,0.2939666666666667,0.042,0.33,0.19830739683571702,0.3986459150869998,1.0,True,-0.01195224496226096,-0.023258389633403494
electronics_small,gru4rec,minmax,0.2,0.45524214404527263,0.2844666666666667,0.034,0.308,0.18278367782143118,0.3882751928689645,1.0,True,-0.02801050320853676,-0.05482334699302252
electronics_small,gru4rec,minmax,0.5,0.430984835914414,0.2551666666666667,0.028,0.214,0.12676090915714414,0.33195923789838383,1.0,True,-0.07980238810327972,-0.15217632074426846
electronics_small,gru4rec,zscore,0.05,0.46757000249708736,0.3000333333333333,0.046,0.344,0.2083548348642887,0.40345270881764334,1.0,True,-0.0016892386028060894,-0.0031011186177873416
electronics_small,gru4rec,zscore,0.1,0.4672194124903765,0.2996333333333333,0.046,0.344,0.2083548348642887,0.4031021188109325,1.0,True,-0.0024377848625502106,-0.004430169453981864
electronics_small,gru4rec,zscore,0.2,0.46527866982664084,0.2971666666666667,0.044,0.338,0.20409297535714577,0.4011613761471968,1.0,True,-0.006581473028948454,-0.012625982943847685
electronics_small,gru4rec,zscore,0.5,0.45716948635243354,0.2868,0.034,0.316,0.18756925634285995,0.39091494955034134,1.0,True,-0.023895426202186647,-0.047070550448554814
electronics_small,bert4rec,minmax,0.05,0.4657446603045536,0.29753333333333337,0.042,0.36,0.21356925634285995,0.4009149522508935,1.0,True,-0.012248908807659074,-0.023734004156184818
electronics_small,bert4rec,minmax,0.1,0.4594648261784849,0.2896666666666667,0.038,0.34,0.1997362397928595,0.39249787500217664,1.0,True,-0.02556717853613031,-0.04954610084217417
electronics_small,bert4rec,minmax,0.2,0.45291175633902947,0.2818,0.038,0.302,0.17890322324285912,0.38309514766585717,1.0,True,-0.039464926457382046,-0.07535819752816353
electronics_small,bert4rec,minmax,0.5,0.4356548195902882,0.26143333333333335,0.038,0.212,0.1304990496500012,0.33235473532896176,1.0,True,-0.07606343108234159,-0.14218527835502554
electronics_small,bert4rec,zscore,0.05,0.46946723579533145,0.30216666666666664,0.044,0.382,0.2263548348642887,0.4053499421158875,1.0,True,-0.0043540721805310195,-0.008531116701301515
electronics_small,bert4rec,zscore,0.1,0.46673640235046476,0.2987333333333333,0.042,0.368,0.21783111585000284,0.4019066942968047,1.0,True,-0.010145622669306935,-0.01979656567866128
electronics_small,bert4rec,zscore,0.2,0.46279890027701803,0.29379999999999995,0.04,0.356,0.20925995880714537,0.39583194910070985,1.0,True,-0.018496275507872795,-0.03598381275292578
electronics_small,bert4rec,zscore,0.5,0.45539368618160314,0.28479999999999994,0.038,0.318,0.18768880176428787,0.3862894918826469,1.0,True,-0.03420125062981184,-0.06551460133435423
