domain,backbone,stratum,num_users,num_rows,positive_rows,negative_rows,fallback_rows,fallback_rate,positive_fallback_rate,negative_fallback_rate,candidate_pool_size_mean,notes
books_small,sasrec,all_users,500,3000,500,2500,1332,0.444,0.97,0.3388,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,sasrec,positive_fallback_false,15,90,15,75,25,0.2777777777777778,0.0,0.3333333333333333,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,sasrec,positive_fallback_true,485,2910,485,2425,1307,0.4491408934707904,1.0,0.3389690721649484,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,sasrec,fallback_rate_per_user_eq_0,1,6,1,5,0,0.0,0.0,0.0,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,sasrec,fallback_rate_per_user_0_to_0.5,403,2418,403,2015,920,0.380479735318445,0.9652605459057072,0.26352357320099257,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,sasrec,fallback_rate_per_user_gt_0.5,96,576,96,480,412,0.7152777777777778,1.0,0.6583333333333333,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,gru4rec,all_users,500,3000,500,2500,1909,0.6363333333333333,0.98,0.5676,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,gru4rec,positive_fallback_false,10,60,10,50,17,0.2833333333333333,0.0,0.34,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,gru4rec,positive_fallback_true,490,2940,490,2450,1892,0.6435374149659864,1.0,0.5722448979591837,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,gru4rec,fallback_rate_per_user_eq_0,1,6,1,5,0,0.0,0.0,0.0,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,gru4rec,fallback_rate_per_user_0_to_0.5,265,1590,265,1325,606,0.38113207547169814,0.9660377358490566,0.2641509433962264,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,gru4rec,fallback_rate_per_user_gt_0.5,234,1404,234,1170,1303,0.9280626780626781,1.0,0.9136752136752136,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,bert4rec,all_users,500,3000,500,2500,1909,0.6363333333333333,0.98,0.5676,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,bert4rec,positive_fallback_false,10,60,10,50,17,0.2833333333333333,0.0,0.34,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,bert4rec,positive_fallback_true,490,2940,490,2450,1892,0.6435374149659864,1.0,0.5722448979591837,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,bert4rec,fallback_rate_per_user_eq_0,1,6,1,5,0,0.0,0.0,0.0,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,bert4rec,fallback_rate_per_user_0_to_0.5,265,1590,265,1325,606,0.38113207547169814,0.9660377358490566,0.2641509433962264,6.0,HR@10 trivial for small domains because candidate pool size is 6.
books_small,bert4rec,fallback_rate_per_user_gt_0.5,234,1404,234,1170,1303,0.9280626780626781,1.0,0.9136752136752136,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,sasrec,all_users,500,3000,500,2500,1444,0.48133333333333334,0.948,0.388,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,sasrec,positive_fallback_false,26,156,26,130,50,0.32051282051282054,0.0,0.38461538461538464,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,sasrec,positive_fallback_true,474,2844,474,2370,1394,0.490154711673699,1.0,0.3881856540084388,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,sasrec,fallback_rate_per_user_eq_0,5,30,5,25,0,0.0,0.0,0.0,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,sasrec,fallback_rate_per_user_0_to_0.5,346,2076,346,1730,785,0.378131021194605,0.9450867052023122,0.26473988439306356,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,sasrec,fallback_rate_per_user_gt_0.5,149,894,149,745,659,0.7371364653243848,0.9865771812080537,0.687248322147651,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,gru4rec,all_users,500,3000,500,2500,2012,0.6706666666666666,0.968,0.6112,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,gru4rec,positive_fallback_false,16,96,16,80,27,0.28125,0.0,0.3375,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,gru4rec,positive_fallback_true,484,2904,484,2420,1985,0.6835399449035813,1.0,0.6202479338842976,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,gru4rec,fallback_rate_per_user_eq_0,4,24,4,20,0,0.0,0.0,0.0,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,gru4rec,fallback_rate_per_user_0_to_0.5,224,1344,224,1120,524,0.3898809523809524,0.9464285714285714,0.2785714285714286,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,gru4rec,fallback_rate_per_user_gt_0.5,272,1632,272,1360,1488,0.9117647058823529,1.0,0.8941176470588236,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,bert4rec,all_users,500,3000,500,2500,2012,0.6706666666666666,0.968,0.6112,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,bert4rec,positive_fallback_false,16,96,16,80,27,0.28125,0.0,0.3375,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,bert4rec,positive_fallback_true,484,2904,484,2420,1985,0.6835399449035813,1.0,0.6202479338842976,6.0,HR@10 trivial for small domains because candidate pool size is 6.
electronics_small,bert4rec,fallback_rate_per_user_eq_0,4,24,4,20,0,0.0,0.0,0.0,6.0,HR@10 trivial for small domains because candidate pool size is 6.
