domain,backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
books_small,sasrec,all_users,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5234788255062408,0.36879999999999996,0.07,0.562,0.3442808267714349,0.5085181236477039,1.0,6.0,True,0.0,0.0,500
books_small,sasrec,all_users,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.7252660139770118,0.6356333333333333,0.448,0.776,0.6353054961357195,0.711730140866907,1.0,6.0,True,0.38547344923766236,0.7235177151120752,500
books_small,sasrec,all_users,C,C_SASRec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5526291877152049,0.40779999999999994,0.128,0.582,0.3835426862785778,0.5284070989918592,1.0,6.0,True,0.055685847810126046,0.10574837310195223,500
books_small,sasrec,all_users,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,minmax,0.728094287380366,0.6395,0.456,0.764,0.6327817771214336,0.7166956573929092,1.0,6.0,True,0.39087629127357276,0.734002169197397,500
books_small,sasrec,positive_fallback_false,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5953165499945047,0.468888888888889,0.26666666666666666,0.6,0.4507906338095277,0.47658082095849713,1.0,6.0,True,0.0,0.0,15
books_small,sasrec,positive_fallback_false,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6902423990576686,0.5888888888888889,0.4,0.7333333333333333,0.5753953169047639,0.6902423990576686,1.0,6.0,True,0.15945440969857158,0.25592417061611344,15
books_small,sasrec,positive_fallback_false,C,C_SASRec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.586930961692325,0.4577777777777778,0.26666666666666666,0.5333333333333333,0.4087286502380972,0.491942378463519,1.0,6.0,True,-0.014085931765641543,-0.023696682464455242,15
books_small,sasrec,positive_fallback_false,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,minmax,0.6989710492957658,0.6,0.4,0.7333333333333333,0.5841239671428611,0.6989710492957658,1.0,6.0,True,0.17411660956211947,0.27962085308056833,15
books_small,sasrec,positive_fallback_true,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5212570402127894,0.3657044673539519,0.06391752577319587,0.5608247422680412,0.34098670902798867,0.509505875277267,1.0,6.0,True,0.0,0.0,485
books_small,sasrec,positive_fallback_true,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.7263492185621462,0.6370790378006872,0.44948453608247424,0.777319587628866,0.6371583882768831,0.7123947102012134,1.0,6.0,True,0.3934568984730323,0.7420597632024053,485
books_small,sasrec,positive_fallback_true,C,C_SASRec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5515683081076649,0.40625429553264597,0.12371134020618557,0.5835051546391753,0.38276373893962357,0.5295348738535605,1.0,6.0,True,0.058150328065596404,0.11088141326818243,485
books_small,sasrec,positive_fallback_true,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,minmax,0.7289950060840134,0.6407216494845361,0.4577319587628866,0.7649484536082474,0.6342866578424206,0.7172438411484909,1.0,6.0,True,0.3985326812783582,0.7520202969366662,485
books_small,sasrec,fallback_rate_per_user_eq_0,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.6309297535714575,0.5,0.0,1.0,0.6309297535714575,0.6309297535714575,1.0,6.0,True,0.0,0.0,1
