domain,backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
books_small,sasrec,warm_positive_subset,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5953165499945047,0.468888888888889,0.26666666666666666,0.6,0.4507906338095277,0.47658082095849713,1.0,6.0,True,0.0,0.0,15
books_small,sasrec,warm_positive_subset,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6902423990576686,0.5888888888888889,0.4,0.7333333333333333,0.5753953169047639,0.6902423990576686,1.0,6.0,True,0.15945440969857158,0.25592417061611344,15
books_small,sasrec,warm_positive_subset,C,C_SASRec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.586930961692325,0.4577777777777778,0.26666666666666666,0.5333333333333333,0.4087286502380972,0.491942378463519,1.0,6.0,True,-0.014085931765641543,-0.023696682464455242,15
books_small,sasrec,warm_positive_subset,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,minmax,0.6989710492957658,0.6,0.4,0.7333333333333333,0.5841239671428611,0.6989710492957658,1.0,6.0,True,0.17411660956211947,0.27962085308056833,15
books_small,gru4rec,warm_positive_subset,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.6873989747914021,0.5866666666666667,0.4,0.8,0.6130929753571458,0.6517782560805999,1.0,6.0,True,0.0,0.0,10
books_small,gru4rec,warm_positive_subset,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.8786883745181416,0.8416666666666666,0.8,0.8,0.8,0.8430676558073393,1.0,6.0,True,0.27828001894356647,0.4346590909090907,10
books_small,gru4rec,warm_positive_subset,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.6735342864060807,0.5700000000000001,0.4,0.6,0.5130929753571458,0.6379135676952785,1.0,6.0,True,-0.020169783333658264,-0.028409090909090808,10
books_small,gru4rec,warm_positive_subset,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.8817529365307936,0.845,0.8,0.8,0.8,0.8817529365307936,1.0,6.0,True,0.2827382188027994,0.44034090909090906,10
books_small,bert4rec,warm_positive_subset,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.5242358113740023,0.3783333333333333,0.2,0.4,0.3,0.38175293653079345,1.0,6.0,True,0.0,0.0,10
books_small,bert4rec,warm_positive_subset,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6879926201393853,0.5833333333333333,0.3,0.9,0.6523719014285831,0.6523719014285831,1.0,6.0,True,0.31237241945792027,0.5418502202643172,10
books_small,bert4rec,warm_positive_subset,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5360109736599148,0.39333333333333337,0.2,0.4,0.31309297535714575,0.4291488175275083,1.0,6.0,True,0.022461575555188053,0.039647577092511196,10
books_small,bert4rec,warm_positive_subset,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.7010855954965309,0.6,0.3,0.9,0.6654648767857287,0.6654648767857287,1.0,6.0,True,0.3373477741991948,0.5859030837004406,10
