domain,backbone,A_NDCG@10,B_NDCG@10,C_NDCG@10,D_NDCG@10,main_contributor,risk_role,claim_level
beauty,LLM-ESR Bert4Rec,0.5230836197575035,0.5844328586952764,0.5364423634924916,0.593122520330362,calibrated_relevance_posterior,secondary_regularizer,primary_full_multiseed
beauty,LLM-ESR GRU4Rec,0.5347038252309285,0.5919794995363593,0.5453996583443498,0.6037383473477781,calibrated_relevance_posterior,secondary_regularizer,primary_full_multiseed
beauty,SASRec-style,0.5446339551000305,0.6052841046994109,0.5560325835622358,0.6098952985924221,calibrated_relevance_posterior,secondary_regularizer,primary_full_multiseed
movies_small,sasrec,0.5410998211943354,0.6108088872399267,0.5516807720442785,0.6143069134322108,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
movies_small,gru4rec,0.5054742714081201,0.5841514252292372,0.5138931995921319,0.5841514252292372,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
movies_small,bert4rec,0.4862176855603787,0.5685818860277657,0.4975319468606261,0.5749564240293306,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
books_small,sasrec,0.6352361089386295,0.7446769527212589,0.5627066040111774,0.7340171174278244,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
books_small,gru4rec,0.5394444977258038,0.6998389823807087,0.4994674637832106,0.6932308480516526,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
books_small,bert4rec,0.5373800895836719,0.683410270165082,0.4980342703975557,0.6822258293375767,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
electronics_small,sasrec,0.6496874422702644,0.6818368502783674,0.5679365769824162,0.6750470196081786,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
electronics_small,gru4rec,0.5858506112518257,0.6390178939889364,0.5265012979021839,0.6341190584824935,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
electronics_small,bert4rec,0.5936987150555411,0.6380098669217916,0.523713799728406,0.6317581200379736,calibrated_relevance_posterior,secondary_regularizer_when_D_exceeds_B,small_cross_domain_sanity_with_fallback_caveat
