pair_id,source_event_id,user_id,split_name,timestamp,positive_item_id,num_candidates,total_possible_pairs,item_a_id,item_b_id,item_a_title,item_b_title,item_a_popularity_group,item_b_popularity_group,preferred_item_true,preferred_item_pred,non_preferred_item_pred,pair_type,pair_confidence,pair_reason,pair_parse_success,item_a_uncertainty,item_b_uncertainty,item_a_uncertainty_confidence,item_b_uncertainty_confidence,item_a_matched_uncertainty,item_b_matched_uncertainty,pair_uncertainty,pair_reliability_weight,base_rank_item_a,base_rank_item_b,event_mean_uncertainty,event_uncertainty_coverage_rate,uncertainty_source
AE22XHMBOBJBXUFCTNYLFMD4UKMA::1471107037000::pair::0,AE22XHMBOBJBXUFCTNYLFMD4UKMA::1471107037000,AE22XHMBOBJBXUFCTNYLFMD4UKMA,test,2016-08-13 16:50:37.000,B00DT4757A,6,15,B08532CNY7,B00DT4757A,Feather Headbands Hippie Dreamcatcher Head Chains Boho Tribal Feather Headpiece Peacock Feather Hair Band Hair Accessories (E),"Fleece Ear Warmers Headband for Men & Women, Thermal Polar Ear Muffs Warmers Keep You Warm and Cozy for Daily Wear, Sports, Running, Skiing and More",mid,mid,B00DT4757A,B08532CNY7,B00DT4757A,positive_vs_negative,0.6000000000000001,"Both items are unrelated to skincare, but the headband is a fashion accessory which may align more with a personal care aesthetic.",True,0.1666666667,0.0,0.8333333333,1.0,True,True,0.08333333335,0.91666666665,2,3,0.055555555566666665,1.0,pointwise_calibrated
AE23ZBUF2YVBQPH2NN6F5XSA3QYQ::1654823410648::pair::0,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ::1654823410648,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,test,2022-06-10 01:10:10.648,B09XF4WD3V,6,15,B09KT4RJG6,B09XF4WD3V,"Simply Dana Rivitastore Neck Firming Cream — Skin Firming Cream for Tightening Neck, Jawline, and Chest, Collagen Peptides, and Squalane Cream for Wrinkles, Sagging, and Dryness","HMPRT 80s Costumes for Men, Halloween Heavy Metal Rocker Wig with Trucker Hat, Black T-Shirt Outfit, 90s Accessories Blow Up Guitar Music Costume Prop,L",tail,mid,B09XF4WD3V,B09KT4RJG6,B09XF4WD3V,positive_vs_negative,0.7000000000000001,"The user's history shows a strong focus on skincare and beauty items, making the neck firming cream more aligned with their interests.",True,0.5882352941,0.33333333330000003,0.4117647059,0.6666666667000001,True,True,0.4607843137,0.5392156862999999,4,6,0.5008169934333334,1.0,pointwise_calibrated
AE2574JZ364UOAJLH6PSRHJPQ4TA::1680529650810::pair::0,AE2574JZ364UOAJLH6PSRHJPQ4TA::1680529650810,AE2574JZ364UOAJLH6PSRHJPQ4TA,test,2023-04-03 13:47:30.810,B0BHWJ7BBJ,6,15,B0BHWJ7BBJ,B0BG6WX4DH,"14pcs Nail Drill Bits Set,3/32 Inch Acrylic Nail Drill Bits with Case,Quartz Pointed Nail Bits for Nails,Cuticle Remover Bits, Manicure Tools",AG Care Natural Remedy Apple Cider Vinegar Leave On Mist,mid,mid,B0BHWJ7BBJ,B0BHWJ7BBJ,B0BG6WX4DH,positive_vs_negative,0.6000000000000001,"Both are beauty-related, but the nail drill bits are a creative tool like the glitter tattoo kit.",True,0.5833333333,0.0,0.4166666667,1.0,True,True,0.29166666665,0.7083333333499999,3,5,0.37499999998333333,1.0,pointwise_calibrated
AE2ED6WSUDMW3NGBDG4NWQCYNOMQ::1675692140786::pair::0,AE2ED6WSUDMW3NGBDG4NWQCYNOMQ::1675692140786,AE2ED6WSUDMW3NGBDG4NWQCYNOMQ,test,2023-02-06 14:02:20.786,B0BSV97728,6,15,B0BSV97728,B08JP365LL,"Isaic Invisible Wire Hair Extension with Transparent Wire Headband Adjustable Size 4 Secure Clips Long straight Synthetic Hairpiece for Women （24Inch,Medium Brown with Ash Blonde)",Altaba Long Wavy Wigs Ombre gray Wig Synthetic Wigs Middle Part Natural Looking Heat Resistant Party Cosplay Full Wig for Women,tail,tail,B0BSV97728,B0BSV97728,B08JP365LL,positive_vs_negative,0.7000000000000001,The hair extension aligns more closely with the user's interest in hair accessories and wedding-related items.,True,0.5882352941,0.6666666667000001,0.4117647059,0.33333333330000003,True,True,0.6274509804,0.3725490196,2,3,0.6143790849666667,1.0,pointwise_calibrated
AE2IGWDKOWONDB3FQFX3STYGWCNQ::1661526979702::pair::0,AE2IGWDKOWONDB3FQFX3STYGWCNQ::1661526979702,AE2IGWDKOWONDB3FQFX3STYGWCNQ,test,2022-08-26 15:16:19.702,B0B4JPGX8P,6,15,B0B4JPGX8P,B09LWV3HH2,"Elli K Essential Sincerity From AZ Time Reverse Double Ampoule – Made in USA - Double Layering Serum – Repairing & Deep Hydrating – Oil and Cream Formula for Healthy and Smooth Skin, (2.02 fl.oz.)","LuminaGlow Liquid Dual Eyeliner Waterproof Vegan Black Smudge Proof Cruelty-Free Paraben-Free, 0.02oz Description of the Issue - I need to change the title to be more descriptive.",head,mid,B0B4JPGX8P,B0B4JPGX8P,B09LWV3HH2,positive_vs_negative,0.8,"The user's history shows a strong focus on facial skincare, making the serum a more relevant match than the eyeliner.",True,0.33333333330000003,0.5833333333,0.6666666667000001,0.4166666667,True,True,0.45833333330000003,0.5416666667,3,4,0.4452614379,1.0,pointwise_calibrated
AE2NWYXUAEO5SWKLRYZQD6LMTDVA::1616013663081::pair::0,AE2NWYXUAEO5SWKLRYZQD6LMTDVA::1616013663081,AE2NWYXUAEO5SWKLRYZQD6LMTDVA,test,2021-03-17 20:41:03.081,B08DXZW75W,6,15,B08T5LG5FT,B08DXZW75W,Makeup Brushes 12PCs- CLOWII Professional Premium Birch Handle Makeup Brush Foundation Concealer Brush Set of 12 with 1 Makeup Cleaner(Black),"Glass Spray Bottles 16oz Refillable Container suitable for essential oils, cleaning products, aromatherapy, water mist plants (2 Pack，Blue)",tail,mid,B08DXZW75W,B08DXZW75W,B08T5LG5FT,positive_vs_negative,0.6000000000000001,The spray bottles align more closely with the user's interest in personal care and cleansing products.,True,0.1666666667,0.5833333333,0.8333333333,0.4166666667,True,True,0.375,0.625,5,6,0.20833333335000004,1.0,pointwise_calibrated
AE2O2C43KTYO4LXXGZWJZLE67GBQ::1623979274023::pair::0,AE2O2C43KTYO4LXXGZWJZLE67GBQ::1623979274023,AE2O2C43KTYO4LXXGZWJZLE67GBQ,test,2021-06-18 01:21:14.023,B07Q4YCBWD,6,15,B07Q4YCBWD,B09KT4RJG6,Best Mom Ever French Milled Luxury Soap Set of 3 Bars (6.35oz),"Simply Dana Rivitastore Neck Firming Cream — Skin Firming Cream for Tightening Neck, Jawline, and Chest, Collagen Peptides, and Squalane Cream for Wrinkles, Sagging, and Dryness",tail,tail,B07Q4YCBWD,B07Q4YCBWD,B09KT4RJG6,positive_vs_negative,0.8,The user has shown a clear preference for soap and personal care items over specialized tools.,True,0.5882352941,0.5882352941,0.4117647059,0.4117647059,True,True,0.5882352941,0.4117647059,2,3,0.5457516339666667,1.0,pointwise_calibrated
AE2WYNQPBMS67OHFWV63NI4MSJEA::1679025823749::pair::0,AE2WYNQPBMS67OHFWV63NI4MSJEA::1679025823749,AE2WYNQPBMS67OHFWV63NI4MSJEA,test,2023-03-17 04:03:43.749,B0BXB4J297,6,15,B0B1DCQWR7,B0BXB4J297,Success at Once Self Straight Magic Perm at Home Easy & Fast Made in Korea,Moroccanoil Color Care Conditioner,tail,head,B0BXB4J297,B0BXB4J297,B0B1DCQWR7,positive_vs_negative,0.6000000000000001,"The user's history shows a focus on hair and scalp care, making a conditioner more relevant than a perm kit.",True,0.33333333330000003,0.5882352941,0.6666666667000001,0.4117647059,True,True,0.4607843137,0.5392156862999999,6,4,0.5016339869,1.0,pointwise_calibrated
AE3335XF4PMHSXKTW5B7N7EALG3Q::1606288126194::pair::0,AE3335XF4PMHSXKTW5B7N7EALG3Q::1606288126194,AE3335XF4PMHSXKTW5B7N7EALG3Q,test,2020-11-25 07:08:46.194,B08DXCVRNY,6,15,B087BH3YSR,B08DXCVRNY,"Flotig New Goddess Faux Locs Crochet Braids 24 Inch 6 Packs Natural Black Pre-twisted Knotless Crochet Hair Synthetic Braiding Hair Extensions (24Inch, 1B)","COSMOCOS FromNature Perfect Cover BB Cream - Light Beighe/Natural Beige SPF 50+ / PA+++ Sun Protection, Natural Skin Tone, High Coverage Korean Cosmetic K Beauty - 50g (1.76 fl oz) (Light Beige)",tail,head,B08DXCVRNY,B087BH3YSR,B08DXCVRNY,positive_vs_negative,0.6000000000000001,"Both are beauty items, but the mascara suggests an interest in eye makeup rather than hair extensions or base makeup.",True,0.1666666667,0.5882352941,0.8333333333,0.4117647059,True,True,0.37745098039999997,0.6225490196000001,5,1,0.20915032681666668,1.0,pointwise_calibrated
AE35PCM2KBCWJ6GVCK4WYQGR5SHQ::1668894033789::pair::0,AE35PCM2KBCWJ6GVCK4WYQGR5SHQ::1668894033789,AE35PCM2KBCWJ6GVCK4WYQGR5SHQ,test,2022-11-19 21:40:33.789,B0BGT17QQG,6,15,B0BGT17QQG,B08HQJXJ19,"Tropic Labs Smart Screen | Broad Spectrum SPF 22 Sunscreen | 2-in-1 Mineral Sunscreen & Natural Tanning Accelerator | Fast Acting Tan Boosting Body Suntan Lotion | Lightweight, Vegan, & Cruelty-Free (TSA Friendly)","10Pcs 3D Face Inner Silicone Bracket for Comfortable Breathing, Washable Reusable Silicone Bracket Under Frame Lipstick Protector Keep Fabric off Mouth to Create More Breathing Space",mid,tail,B0BGT17QQG,B0BGT17QQG,B08HQJXJ19,positive_vs_negative,0.7000000000000001,"The user's previous items are hair care and styling products, making a sunscreen more thematically related than a mask bracket.",True,0.1666666667,0.0,0.8333333333,1.0,True,True,0.08333333335,0.91666666665,5,6,0.2794117647166667,1.0,pointwise_calibrated
