split,metric,before,after
valid,num_samples,1500.0,1500.0
valid,accuracy,0.8433333333333334,0.8433333333333334
valid,avg_confidence,0.7895333333333334,0.8433333333333334
valid,avg_correctness,0.8433333333333334,0.8433333333333334
valid,brier_score,0.13620666666666667,0.12488906978399232
valid,ece,0.054333333333333345,2.2944609175586568e-17
valid,mce,0.875,2.220446049250313e-16
valid,auroc,0.6537448490454966,0.6697014548818434
test,num_samples,1500.0,1500.0
test,accuracy,0.8293333333333334,0.8293333333333334
test,avg_confidence,0.7936266666666666,0.8453879405206247
test,avg_correctness,0.8293333333333334,0.8293333333333334
test,brier_score,0.13806173333333333,0.132518786396176
test,ece,0.035706666666666685,0.01605460718729127
test,mce,0.5777777777777777,0.027173318753416886
test,auroc,0.6804238469654341,0.6854102818528939
