bin_lower,bin_upper,bin_center,count,avg_confidence,accuracy
0.0,0.1,0.05,0,,
0.1,0.2,0.15000000000000002,0,,
0.2,0.30000000000000004,0.25,9,0.2,0.7777777777777778
0.30000000000000004,0.4,0.35000000000000003,6,0.30000000000000004,0.6666666666666666
0.4,0.5,0.45,4,0.4,0.75
0.5,0.6000000000000001,0.55,9,0.5,0.8888888888888888
0.6000000000000001,0.7000000000000001,0.6500000000000001,151,0.6049668874172187,0.7549668874172185
0.7000000000000001,0.8,0.75,467,0.7018201284796572,0.7109207708779444
0.8,0.9,0.8500000000000001,319,0.8315047021943572,0.8557993730407524
0.9,1.0,0.95,535,0.9278317757009347,0.9401869158878504
