bin_lower,bin_upper,bin_center,count,avg_confidence,accuracy
0.0,0.1,0.05,0,,
0.1,0.2,0.15000000000000002,2,0.125,0.0
0.2,0.30000000000000004,0.25,21,0.20000000000000004,0.14285714285714285
0.30000000000000004,0.4,0.35000000000000003,11,0.3,0.2727272727272727
0.4,0.5,0.45,5,0.4,0.4
0.5,0.6000000000000001,0.55,12,0.5,0.08333333333333333
0.6000000000000001,0.7000000000000001,0.6500000000000001,309,0.6045307443365696,0.19093851132686085
0.7000000000000001,0.8,0.75,928,0.7018318965517241,0.2252155172413793
0.8,0.9,0.8500000000000001,689,0.8301886792452828,0.17271407837445574
0.9,1.0,0.95,1023,0.9275562072336264,0.10166177908113393
