pair_id,source_event_id,user_id,split_name,timestamp,positive_item_id,num_candidates,total_possible_pairs,item_a_id,item_b_id,item_a_title,item_b_title,item_a_popularity_group,item_b_popularity_group,preferred_item_true,preferred_item_pred,non_preferred_item_pred,pair_type,pair_confidence,pair_reason,pair_parse_success,item_a_uncertainty,item_b_uncertainty,item_a_uncertainty_confidence,item_b_uncertainty_confidence,item_a_matched_uncertainty,item_b_matched_uncertainty,pair_uncertainty,pair_reliability_weight,base_rank_item_a,base_rank_item_b,event_mean_uncertainty,event_uncertainty_coverage_rate,uncertainty_source
AE25F4NGYLPFTY6AMWWPGA34N2XQ::1653178620057000000::pair::0,AE25F4NGYLPFTY6AMWWPGA34N2XQ::1653178620057000000,AE25F4NGYLPFTY6AMWWPGA34N2XQ,test,2022-05-22 00:17:00.057,B08MXZS63L,6,15,B07239JFZT,B08MXZS63L,"Bluetooth Speaker, MIFA F10 Portable Soundbox with DSP Bass Sound, IP56 Dustproof Waterproof, 10-Hour Playtime, Built-in Mic, TF Card Slot, USB Audio Input, Clip On",Apple iPhone 12 and iPhone 12 Pro Leather Case with MagSafe - (Product) RED,mid,mid,B08MXZS63L,B08MXZS63L,B07239JFZT,positive_vs_negative,0.7000000000000001,The user's history shows a preference for device accessories and protective cases.,True,0.23812204670046663,0.23812204670046663,,,False,False,0.23812204670046663,0.7618779532995333,2,1,0.23812204670046663,0.0,pointwise_calibrated
AE2GLD4GVP3NTOM7GDRV2FSSTFBQ::1492406985000000000::pair::0,AE2GLD4GVP3NTOM7GDRV2FSSTFBQ::1492406985000000000,AE2GLD4GVP3NTOM7GDRV2FSSTFBQ,test,2017-04-17 05:29:45.000,B07HGBH1H8,6,15,B01JHLJBO8,B07HGBH1H8,SanDisk Cruzer Glide 3.0 256GB USB 3.0,"GOgroove Computer Speaker Mini Soundbar - USB Powered PC Sound Bar with Easy Setup Wired AUX, Stereo Audio, Microphone Port, Volume Control Knob, Under Monitor Design for Desktop (Blackout)",mid,mid,B07HGBH1H8,B07HGBH1H8,B01JHLJBO8,positive_vs_negative,0.6000000000000001,"The user's previous items are computer peripherals, making the computer speaker a more cohesive addition.",True,0.35354838710000003,0.35354838710000003,0.6464516129,0.6464516129,True,True,0.35354838710000003,0.6464516129,2,1,0.29038642473333337,1.0,pointwise_calibrated
AE2MPUOBVYNB5BOIVZEXAJHNDLIQ::1669154319538000000::pair::0,AE2MPUOBVYNB5BOIVZEXAJHNDLIQ::1669154319538000000,AE2MPUOBVYNB5BOIVZEXAJHNDLIQ,test,2022-11-22 21:58:39.538,B000S2U6QI,6,15,B07ZHFR2V3,B000S2U6QI,"Component to HDMI Adapter, YPbPr to HDMI Coverter + R/L, NEWCARE Component 5RCA RGB to HDMI Converter Adapter, Supports 1080P Video Audio Converter Adapter for DVD PSP to HDTV Monitor",GM Genuine Parts 15829166 Radio Antenna Base Assembly Black 11.1 x 7.3 x 1.1 inches,mid,tail,B000S2U6QI,B07ZHFR2V3,B000S2U6QI,positive_vs_negative,0.6000000000000001,"Both are electronics accessories, but the adapter aligns more closely with general home/garage gadget use.",True,0.23812204670046663,0.23812204670046663,,,False,False,0.23812204670046663,0.7618779532995333,4,6,0.23812204670046663,0.0,pointwise_calibrated
AE2OGAQ44DNV2OSR3H2XE4WNMA4A::1527032868103000000::pair::0,AE2OGAQ44DNV2OSR3H2XE4WNMA4A::1527032868103000000,AE2OGAQ44DNV2OSR3H2XE4WNMA4A,test,2018-05-22 23:47:48.103,B0773M977R,6,15,B0773M977R,B00YCC5HNM,"Security Camera System, A-ZONE Security 1080p 8 Channel PoE IP Security Surveillance Camera System with 8 Outdoor/Indoor 1080P Security Camera, Free Remote View, Super HD Night Vision- No Hard drive",Sony 128GB Class 10 UHS-1 SDXC up to 70MB/s Memory Card (SFG1UY2/TQ),mid,tail,B0773M977R,B0773M977R,B00YCC5HNM,positive_vs_negative,0.8,The user has shown prior interest in security cameras.,True,0.23812204670046663,0.23812204670046663,,,False,False,0.23812204670046663,0.7618779532995333,1,3,0.23812204670046663,0.0,pointwise_calibrated
AE373RNLKQ7Q6O34J4ADUIVCMVBA::1583202033119000000::pair::0,AE373RNLKQ7Q6O34J4ADUIVCMVBA::1583202033119000000,AE373RNLKQ7Q6O34J4ADUIVCMVBA,test,2020-03-03 02:20:33.119,B09LDBJXZJ,6,15,B099885NVR,B09LDBJXZJ,Canvaslife Pink Rose Laptop Sleeve 15 Inch 15 Case and 15.6 Laptop Bag,"APC UPS Battery Replacement, RBC24, for APC Smart-UPS Models SMT1500RM2US, SMT1500R2-NMC, SU1400RM2U, SU1400RMNET, SUA1500RM2U and select others Black",mid,head,B09LDBJXZJ,B099885NVR,B09LDBJXZJ,positive_vs_negative,0.7000000000000001,The laptop sleeve is a more general accessory that complements the user's computer-related purchases.,True,0.35354838710000003,0.1320754717,0.6464516129,0.8679245283,True,True,0.24281192940000002,0.7571880706,1,3,0.2787999387166667,1.0,pointwise_calibrated
AE3D4P4FOLBGI5CAYL2BXH2B7NGQ::1653420164964000000::pair::0,AE3D4P4FOLBGI5CAYL2BXH2B7NGQ::1653420164964000000,AE3D4P4FOLBGI5CAYL2BXH2B7NGQ,test,2022-05-24 19:22:44.964,B099KJ8XLD,6,15,B09LDBJXZJ,B099KJ8XLD,"APC UPS Battery Replacement, RBC24, for APC Smart-UPS Models SMT1500RM2US, SMT1500R2-NMC, SU1400RM2U, SU1400RMNET, SUA1500RM2U and select others Black",Meze 99 Series Cables OFC (2.5 mm (Balanced)),head,mid,B099KJ8XLD,B099KJ8XLD,B09LDBJXZJ,positive_vs_negative,0.7000000000000001,"It is an accessory for headphones, which aligns more closely with the user's interest in audio equipment.",True,0.1265306122,0.35354838710000003,0.8734693878,0.6464516129,True,True,0.24003949965000002,0.75996050035,5,1,0.20405149033333334,1.0,pointwise_calibrated
AE3GRIROYSZ4INQQWJE7IV7ZFKMA::1369673890000000000::pair::0,AE3GRIROYSZ4INQQWJE7IV7ZFKMA::1369673890000000000,AE3GRIROYSZ4INQQWJE7IV7ZFKMA,test,2013-05-27 16:58:10.000,B005GS3C2O,6,15,B085WTFKPL,B005GS3C2O,NETGEAR GS516TP-100NAS - Discontinued by Manufacturer,Apple iPod touch 8 GB White (4th Generation) (Discontinued by Manufacturer),mid,head,B005GS3C2O,B005GS3C2O,B085WTFKPL,positive_vs_negative,0.6000000000000001,"The iPod is a consumer electronics media device, which is more thematically similar to the user's TV than a network switch.",True,0.1265306122,0.35354838710000003,0.8734693878,0.6464516129,True,True,0.24003949965000002,0.75996050035,6,2,0.16713933776666667,1.0,pointwise_calibrated
AE3PATCXAZRI5TKQF6HUYHTT4ENA::1451412052000000000::pair::0,AE3PATCXAZRI5TKQF6HUYHTT4ENA::1451412052000000000,AE3PATCXAZRI5TKQF6HUYHTT4ENA,test,2015-12-29 18:00:52.000,B016VZYA5I,6,15,B016VZYA5I,B07XXVVNDB,"Procase iPad Pro 12.9 Case Sleeve, Cushion Protective Sleeve Bag Cover for Apple iPad Pro 12.9"", Surface Pro X, Compatible with Apple Smart Keyboard, Document Pocket & Apple Pencil Holder (Black)","TV Antenna, Indoor Digital HDTV Television Antenna Freeview 4K 1080P HD VHF UHF for Local Channels 130 Miles with Amplifier Support All TV 16.5 feet Cable",tail,mid,B016VZYA5I,B016VZYA5I,B07XXVVNDB,positive_vs_negative,0.8,"It is a protective case for a tablet, which aligns with the user's previous interest in an iPad case.",True,0.35354838710000003,0.1265306122,0.6464516129,0.8734693878,True,True,0.24003949965000002,0.75996050035,1,5,0.20312734708333335,1.0,pointwise_calibrated
AE3RABY276UUXWC7MM5WUFMZEBEA::1628794585254000000::pair::0,AE3RABY276UUXWC7MM5WUFMZEBEA::1628794585254000000,AE3RABY276UUXWC7MM5WUFMZEBEA,test,2021-08-12 18:56:25.254,B08KHRSPL8,6,15,B08KHRSPL8,B00YBCHJ4S,"Intoval Band for Fitbit Versa 4 / Fitbit Versa 3 / Fitbit Sense 2 / Fitbit Sense for Women Men, Classic Stainless Steel Bands of Premium Quality,with Link Remover Tool.",SquareTrade 3-Year Floor Care Extended Protection Plan ($125-149.99),mid,tail,B08KHRSPL8,B08KHRSPL8,B00YBCHJ4S,positive_vs_negative,0.6000000000000001,"The user's history shows purchases of physical accessories, making a Fitbit band more relevant than an extended warranty.",True,0.23812204670046663,0.23812204670046663,,,False,False,0.23812204670046663,0.7618779532995333,5,6,0.23812204670046663,0.0,pointwise_calibrated
AE43OA23AGP7OZ7CXS6QD6V62NAA::1591144944425000000::pair::0,AE43OA23AGP7OZ7CXS6QD6V62NAA::1591144944425000000,AE43OA23AGP7OZ7CXS6QD6V62NAA,test,2020-06-03 00:42:24.425,B00J357DGW,6,15,B00J357DGW,B07QW971RS,100 ft 10 Gauge CCA Red Black Stranded 2 Conductor Speaker Wire Car Home Audio,"COOLERPLUS FC112 USB Optical Wired Computer Mouse with Easy Click for Office and Home, 1000DPI, Premium and Portable,Compatible with Windows PC, Laptop, Desktop, Notebook (Black)",tail,mid,B00J357DGW,B00J357DGW,B07QW971RS,positive_vs_negative,0.8,The speaker wire is a relevant accessory for the user's subwoofer.,True,0.35354838710000003,0.1265306122,0.6464516129,0.8734693878,True,True,0.24003949965000002,0.75996050035,1,5,0.16436690801666667,1.0,pointwise_calibrated
