split,metric,before,after
valid,num_samples,1500.0,1500.0
valid,accuracy,0.7526666666666667,0.7526666666666667
valid,avg_confidence,0.7178599999999999,0.7526666666666667
valid,avg_correctness,0.7526666666666667,0.7526666666666667
valid,brier_score,0.2507700666666667,0.17399231658168438
valid,ece,0.20426,0.0
valid,mce,0.7393939393939394,0.0
valid,auroc,0.599754332603573,0.6511821400519029
test,num_samples,1500.0,1500.0
test,accuracy,0.772,0.772
test,avg_confidence,0.7433933333333335,0.7618779532861533
test,avg_correctness,0.772,0.772
test,brier_score,0.22831673333333333,0.16292256382253126
test,ece,0.17392666666666662,0.010122046713846831
test,mce,0.7975,0.013693658195762404
test,auroc,0.6214296175095193,0.6725625953196174
