bin_lower,bin_upper,bin_center,count,avg_confidence,accuracy
0.0,0.1,0.05,0,,
0.1,0.2,0.15000000000000002,20,0.10250000000000001,0.9
0.2,0.30000000000000004,0.25,155,0.19999999999999998,0.8774193548387097
0.30000000000000004,0.4,0.35000000000000003,48,0.30000000000000004,0.8541666666666666
0.4,0.5,0.45,7,0.39999999999999997,0.7142857142857143
0.5,0.6000000000000001,0.55,0,,
0.6000000000000001,0.7000000000000001,0.6500000000000001,69,0.6065217391304351,0.6376811594202898
0.7000000000000001,0.8,0.75,358,0.7002793296089387,0.5418994413407822
0.8,0.9,0.8500000000000001,178,0.8339887640449437,0.7191011235955056
0.9,1.0,0.95,665,0.9381052631578947,0.8902255639097745
