accuracy,bin,candidate_size,count,dataset,lower,mean_confidence,method,run_id,seed,upper
0.0,0,500,0,movielens_1m_r2,0.0,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.7
0.0,7,500,50,movielens_1m_r2,0.7,0.7069999999999999,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.8
0.0,8,500,5789,movielens_1m_r2,0.8,0.8500000000000076,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,0.9
0.0,9,500,195,movielens_1m_r2,0.9,0.9382051282051272,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed13,13,1.0
0.0,0,500,0,movielens_1m_r2,0.0,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.7
0.0,7,500,50,movielens_1m_r2,0.7,0.7069999999999999,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.8
0.0,8,500,5789,movielens_1m_r2,0.8,0.8500000000000076,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,0.9
0.0,9,500,195,movielens_1m_r2,0.9,0.9382051282051272,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed21,21,1.0
0.0,0,500,0,movielens_1m_r2,0.0,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.1
